"Title","Developer(s)","Publisher(s)","Release date","Ref."
"Beat Cop","Michael Hicks","11 Bit Studios","March 5, 2019","[71][182]"
"Beat Me!","Red Limb Studio","Red Limb Studio","November 13, 2020","[183]"
"Beat Rush","FuryLion","FuryLion Group","July 16, 2018","[184]"
"Beat Them All","Pix Arts","Pix Arts","September 11, 2021","[185]"
"Beats Runner","FuryLion","FuryLion Group","October 4, 2019","[186]"
"Beautiful Desolation","The Brotherhood","Untold Tales","May 28, 2021","[187]"
"Beauty Bounce","Dharker Studio","Gamuzumi","July 8, 2021","[188]"
"Bedtime Blues","Hannmade Studios","Forever Entertainment","January 17, 2019","[189]"
"Bee Simulator","Varsav Games","JP: Oizumi AmuzioWW: Varsav Games","November 14, 2019","[190][191][192]"
"BeeFense BeeMastered","ByteRockers Games","ByteRockers Games","May 31, 2021","[193]"
"Beekyr Reloaded","Akaoni Studio","Akaoni Studio","June 14, 2018","[194]"
"Before I Forget","Plug In Digital","Plug In Digital","April 29, 2021","[195]"
"Behind the Frame: The Finest Scenery","Silver Lining Studio","Akupara Games, Akatsuki Taiwan","2022",""
"Behind The Screen","18Light","Cosen","August 23, 2018","[196][197][198]"
"Behold the Kickmen","Size Five Games","Ant Workshop","June 18, 2020","[199]"
"Beholder: Complete Edition","Warm Lamp Games","Curve Digital","December 6, 2018","[200]"
"Beholder 2","Warm Lamp Games","Alawar Premium","August 15, 2019","[201]"
"Being Stronger While Playing! SilverStar Go DX","Silver Star Japan","Silver Star","June 25, 2020","[202]"
"Ben 10","Torus Games","Outright Games","November 10, 2017",""
"Ben 10: Power Trip","PHL Collective","Outright Games","October 9, 2020","[203]"
"Bendy and the Ink Machine","TheMeatly Games","Rooster Teeth Games","November 20, 2018",""
"Besiege","Spiderling Studios","Spiderling Studios","September 12, 2024","[204]"
"Best Day Ever","ReRolled Studio","ReRolled Studio","July 2, 2021","[205]"
"Best Friend Forever","Steve Jackson Games","Asmodee","August 27, 2020","[206][207][208]"
"Best Sniper Legacy: Dino Hunt & Shooter 3D","T-Bull","T-Bull","May 27, 2021","[209]"
"Between Time: Escape Room","mc2games","mc2games","September 15, 2021","[210]"
"Beyblade Burst Battle Zero","FuRyu","FuRyu","October 25, 2018",""
"Beyond Blue","E-Line Media","E-Line Media","TBA","[211]"
"Beyond Enemy Lines: Covert Operations","Polygon Art","Polygon Art","April 23, 2019","[212][213][214]"
"Beyond Enemy Lines: Essentials","Polygon Art","Polygon Art","March 19, 2020","[214]"
"Beyond Enemy Lines: Remastered Edition","Polygon Art","Polygon Art","September 16, 2021","[215]"
"Bezier: Second Edition","Thalamus Digital Publishing","Thalamus Digital","January 21, 2021","[216]"
"Beyond a Steel Sky","Revolution Software","Microids","November 30, 2021",""
"BFF or Die","2Awesome Studio","2Awesome Studio","November 27, 2020","[217]"
"Bibi & Tina at the Horse Farm","Treva Entertainment","NA: Treva EntertainmentPAL: Markt & Technik","October 10, 2019","[218][219][220]"
"Big Bash Boom","Big Ant Studios","Big Ant Studios","December 13, 2018","[221]"
"Big Bobby Car: The Big Race","Independent Arts Software","Wild River","September 24, 2020","[222]"
"Big Brain Academy: Brain vs. Brain","Nintendo EPD","Nintendo","December 3, 2021","[223]"
"Big Buck Hunter Arcade","Soma Sim","Kalypso Media","October 16, 2018",""
"The Big Con","Mighty Yell","Skybound Games","June 1, 2022","[224]"
"Big Crown: Showdown","Hyper Luminal Games","Sold Out","January 10, 2019","[225]"
"Big Dipper","Top Hat Studios","Top Hat Studios","August 13, 2020","[226]"
"The Big Journey","Konstructors Entertainment","Nestor Yavorskyy","October 31, 2019","[227]"
"Big Pharma","Nussoft","Klabater","December 5, 2019",""
"Big Rumble Boxing: Creed Champions","Survios","Survios","September 3, 2021","[228]"
"Bike Rider DX","Spicysoft","Spicysoft","February 8, 2018","[229]"
"Bilshana Senki: Genpei Hika Musou","Idea Factory","Idea Factory","September 17, 2020","[230]"
"Billy Bomber","Jakub Lange","Ultimate Games","October 15, 2019","[218][231]"
"Billion Road","Acttil","Bandai Namco Entertainment","November 29, 2018","[232]"
"Binaries","Ant Workshop","Ant Workshop","September 28, 2017","[233]"
"Binarystar Infinity","Ricci Cedric Design","Forever Entertainment","February 4, 2021","[234]"
"The Binding of Isaac: Afterbirth+","Nicalis","Nicalis","March 17, 2017",""
"The Binding of Isaac: Rebirth","Nicalis","Pikii","November 22, 2018",""
"The Binding of Isaac: Repentance","Nicalis","Nicalis","November 4, 2021",""
"Bingo","SIMS Co., Ltd.","Starsign","March 15, 2018","[235][236]"
"Biolab Wars","Forever Entertainment","Forever Entertainment","November 15, 2019","[237]"
"Biomutant","Experiment 101","THQ Nordic","May 14, 2024",""
"BioShock","Blind Squirrel Games","2K Games","May 29, 2020",""
"BioShock 2","Blind Squirrel Games","2K Games","May 29, 2020",""
"BioShock Infinite","Blind Squirrel Games","2K Games","May 29, 2020",""
"BioShock: The Collection","Blind Squirrel Games","2K Games","May 29, 2020",""
"Biped","Next Studios","JP: BilibiliWW: Meta Publishing","July 2, 2020","[238][239][240][241][242]"
"Bird Game +","Bryan Tabor","Ratalaika Games","May 3, 2019","[243]"
"Birds and Blocks","Sprakelsoft","Sprakelsoft","September 18, 2020","[244]"
"Birthday of Midnight","Petite Games","Ratalaika Games","October 2, 2020","[245]"
"Bishoujo Battle Cyber Panic!","EastAsiaSoft, Zoo Corporation","EastAsiaSoft","March 11, 2021","[246]"
"Bishoujo Battle: Double Strike!","EastAsiaSoft, Zoo Corporation","EastAsiaSoft","April 15, 2022",""
"Bishoujo Battle Mahjong Solitaire","eastasiasoft, ZOO Corporation","eastasiasoft","July 22, 2021","[247]"
"Bit Dungeon Plus","KintoGames","Dolores Entertainment","March 8, 2018","[248][249]"
"Bite the Bullet","Mega Cat Studios","Graffiti Games","August 13, 2020",""
"Bitlogic: A Cyberpunk Arcade Adventure","OXiAB Game Studio","OXiAB Game Studio","June 27, 2019","[61][250][62]"
"Bitmaster","Sometimes You","Sometimes You","June 23, 2021","[251][252]"
"Bit.Trip Beat","Choice Provisions","QubicGames","December 25, 2020",""
"Bit.Trip Core","Choice Provisions","QubicGames","December 25, 2020",""
"Bit.Trip Fate","Choice Provisions","QubicGames","December 25, 2020",""
"Bit.Trip Flux","Choice Provisions","QubicGames","December 25, 2020",""
"Bit.Trip Runner","Choice Provisions","QubicGames","December 25, 2020",""
"Bit.Trip Void","Choice Provisions","QubicGames","December 25, 2020",""
"Biz Builder Delux","Kairosoft","Kairosoft","December 3, 2020","[24]"
"Black & White Bushido","Good Catch","Good Catch","October 25, 2018","[253][254]"
"Black Bird","Onion Games","Onion Games","October 18, 2018","[255][256][257]"
"Black Book","Morteshka","HypeTrain Digital","August 10, 2021",""
"Black Jack","Sabec","Sabec","May 14, 2020","[258]"
"Black Jack World Tour","Dolores Entertainment","Dolores Entertainment","February 18, 2021","[259]"
"Black the Fall","Sand Sailor Studio","Sand Sailor Studio","December 14, 2017",""
"Black Future '88","Super Scary Snakes","JP: TeyonWW: Good Shepherd Entertainment","November 21, 2019","[260]"
"Black Hole","Dufgames","Dufgames","February 6, 2018",""
"Black Legend","Warcave","Warcave","March 25, 2021","[261]"
"Black Paradox","Fantastico Studio","Digerati","May 3, 2019","[262][263][264][265]"
"Black Rainbow","Ocean Media","Ocean Media","April 9, 2020","[266][267][144]"
"Black Widow: Recharged","AdamVision Studios, SneakyBox","Atari","October 28, 2021","[268][269][270][271]"
"Blackjack Hands","Minimol games","QUByte Interactive","October 20, 2020","[272]"
"Blackmoor 2","Four Fats","Four Fats","January 6, 2020","[273][274][275]"
"Blacksad: Under the Skin","Pendulo Studios, Ys Interactive","Microids","December 10, 2019",""
"Blacksea Odyssey","Digerati","Digerati","December 24, 2018","[276]"
"Blacksmith of the Sand Kingdom","Rideon","Kemco","January 7, 2021","[277][278]"
"Blackwind","Drakkar Dev","Blowfish Studios","January 20, 2022","[279][280]"
"Blade Arcus: Rebellion from Shining","Studio Saizensen","Sega","March 14, 2019","[281][282]"
"Blade II: The Return of Evil","Action Square","Action Square","June 19, 2019","[283]"
"Blade Assault","TeamSuneat","Neowiz","TBA","[284]"
"Blade Runner: Enhanced Edition","Nightdive Studios","Alcon Entertainment","TBA",""
"Blade Strangers","Studio Saizensen","Nicalis","August 28, 2018",""
"Bladed Fury","Next Studios","PM Studios","January 22, 2021","[285]"
"Blades of Time","Gaijin Entertainment","Konami","May 14, 2019",""
"Blair Witch","Bloober Team","JP: NA PublishingWW: Lionsgate Games","June 25, 2020",""
"Blasphemous","The Game Kitchen","JP: Team17WW: The Game Kitchen","September 10, 2019",""
"Blast Brawl 2","Mind's Eye Games","Mind's Eye Games","August 27, 2020","[286][287]"
"Blast Brigade vs. the Evil Legion of Dr. Cread","Allods Team","My.Games","2021","[288]"
"Blaster Master Zero","Inti Creates","Inti Creates","March 3, 2017",""
"Blaster Master Zero 2","Inti Creates","Inti Creates","March 20, 2019",""
"Blaster Master Zero 3","Inti Creates","Inti Creates","July 29, 2021","[289][290][291]"
"Blaster Master Zero Trilogy: MetaFight Chronicle","Inti Creates","Inti Creates","July 29, 2021","[292]"
"Blastful","Playstige Interactive","Playstige Interactive","February 25, 2021","[293]"
"BlazBlue: Central Fiction","Arc System Works","JP: Arc System WorksNA: Aksys GamesEU: PQube","February 7, 2019",""
"BlazBlue: Cross Tag Battle","Arc System Works","Arc System Works","May 31, 2018",""
"Blaze and the Monster Machines: Axle City Racers","3D Clouds","Outright Games","October 1, 2021","[294]"
"Blazerush","Targem Games","Targem Games","February 19, 2019",""
"Blazing Beaks","QubicGames","QubicGames","May 10, 2019","[295][296][297]"
"Blazing Chrome","JoyMasher","The Arcade Crew","July 11, 2019","[298][299][300]"
"Blazing Strike","RareBreed Makes Games","Aksys Games","2022","[301]"
"Bleak Sword DX","more8bit","Devolver Digital","June 8, 2023","[302]"
"Bleed","Bootdisk Revolution","Digerati","December 14, 2017",""
"Bleed 2","Bootdisk Revolution","Digerati","March 8, 2018",""
"Bleep Bloop","Ludipe & Friends","Zerouno Games","January 31, 2019","[303]"
"Blind Men","Man Eater Games","Ratalaika Games","April 17, 2020","[304][305]"
"Blind Postman","DillyFrame","DillyFrame","September 24, 2021","[306][307][308]"
"Blindy","Radoslaw Felich","Ultimate Games","November 8, 2019","[309]"
"Blink: Rogues","Fox Dive Studio","Ultimate Games","May 7, 2021","[310][311][312]"
"Blitz Breaker","Boncho Games, Ratalaika Games","eastasiasoft","July 7, 2021","[313][314][315][316]"
"Blizzard Arcade Collection","Blizzard Entertainment","Blizzard Entertainment","February 19, 2021","[317][318][319]"
"BlobCat","BySamb","BySamb","August 9, 2018","[320][321]"
"Block Puzzle","Pix Arts","Pix Arts","September 3, 2021","[322][323][324][325]"
"Block-a-Pix Deluxe","Lightwood Games","Lightwood Games","March 21, 2019","[326]"
"Blocky Puzzle","Benjamin Kistler","Kistler Benjamin","June 15, 2021","[252][327][328]"
"Bloo Kid 2","winterworks","Headup Games","November 18, 2019","[329]"
"Blood Bowl 3","Cyanide Studio","Nacon","February 2022",""
"Blood Breed","Cool Small Games","Cool Small Games","February 21, 2020","[330][331][332]"
"Blood Waves","Sometimes You","Sometimes You","March 15, 2019","[333]"
"Blood Will Be Spilled","Attu Games","Attu Games","February 20, 2020","[330][331][334]"
"BloodRayne Betrayal: Fresh Bites","WayForward","Ziggurat Interactive","September 9, 2021","[335][336]"
"Bloodroots","Paper Cult","Paper Cult","February 28, 2020","[337][338][339]"
"Bloodshore","Wales Interactive","Wales Interactive","November 3, 2021","[340]"
"Bloodstained: Curse of the Moon","Inti Creates","Inti Creates","May 24, 2018",""
"Bloodstained: Curse of the Moon 2","Inti Creates","Inti Creates","July 10, 2020",""
"Bloodstained: Ritual of the Night","ArtPlay, Dico","505 Games","June 25, 2019",""
"Bloody Bunny","Digital Innovative Design and Technology Center","DigiPen Game Studios","March 11, 2021","[341]"
"Bloody Rally Show","Kodo Linija","Digerati","November 4, 2021","[342]"
"Bloody Zombies","Paw Print Games","nDreams","December 23, 2017","[343][344]"
"Bloons TD 5","Ninja Kiwi","Ninja Kiwi","June 13, 2018",""
"Blossom Tales: The Sleeping King","Castle Pixel","FDG Entertainment","December 21, 2017","[345][346][347][348]"
"Blossom Tales 2: The Minotaur Prince","Castle Pixel","Playtonic Friends","2022","[349]"
"Blow Up Monsters","Piotr Skalski","Piotr Skalski","February 4, 2021","[234]"
"Blue Fire","Robi Studios","Graffiti Games","February 4, 2021","[350]"
"The Bluecoats: North and South","Appeal Studios","Microids","October 27, 2020","[351]"
"Blue Reflection: Second Light","Gust Co. Ltd.","Koei Tecmo","October 21, 2021","[352]"
"Blue Rider","Ravegan, Ratalaika Games","EastAsiaSoft","December 13, 2018","[353]"
"Bluey: The Videogame","Artax Games","Outright Games","November 17, 2023",""
"Bob Help Them","No Gravity Games","No Gravity Games","March 11, 2021","[354]"
"Bocce","Benoit Varasse","Pix Arts","June 26, 2021","[355][356][357][358]"
"Body of Evidence","Empyrean","No Gravity Games","December 17, 2020","[359]"
"BodyQuest","Artax Games","Artax Games","March 25, 2021","[360]"
"Bohemian Killing","Ultimate Games","Ultimate Games","March 23, 2020","[361][362][363]"
"Bokosuka Wars II","Pygmy Studio","Pygmy Studio","March 19, 2020",""
"Boku to Joi no Shinsatsu Nisshi","Entergram","Entergram","January 30, 2020","[364]"
"Boku to Nurse no Kenshuu Nisshi","Entergram","Entergram","August 29, 2019","[365]"
"Bokuhime Project","Wizard Soft","Nippon Ichi Software","April 23, 2020",""
"Bokura no School Battle","Sat Box","Sat Box","March 12, 2020","[366][367][368]"
"Bomb","Sabec","Sabec","May 7, 2020","[369][370][371]"
"Bomb Chicken","Nitrome","Nitrome","July 12, 2018",""
"Bomber Crew","Runner Duck Games","JP: TeyonWW: Curve Digital","July 10, 2018",""
"Bomber Fox","Laughing Fox Games","Forever Entertainment","September 17, 2020","[132]"
"BombFall","Tackorama","Tackorama","March 12, 2019","[71][19][372]"
"Bombfest","Sudden Event Studios","Whitethorn Digital","January 31, 2019","[373]"
"Bombing Busters","Sanuk Games","Sanuk Games","October 8, 2018","[124][374][375]"
"Bomb Rush Cyberfunk","Team Reptile","Team Reptile","August 18, 2023","[376]"
"Bombslinger","Mode4","Plug In Digital","April 11, 2018","[377][378]"
"Bonds of the Skies","Kemco","Kemco","March 14, 2019","[20]"
"Bone Marrow","Huge Pixel","Ratalaika Games","August 6, 2021","[379][380][381]"
"Bonfire Peaks","Draknek & Friends","Draknek","September 30, 2021","[382][383][384][385]"
"Bonito Days","Studio Somewhere","Studio Somewhere","October 14, 2021","[386][387][388][389]"
"Bonkies","Studio Gauntlet","Crunching Koalas","January 29, 2021","[390]"
"Boo Party","Cosmi Kankei, EastAsiasoft","EastAsiaSoft","June 29, 2023","[391]"
"Book of Demons","Thing Trunk, Sonka}","505 Games","April 30, 2020",""
"The Book of Unwritten Tales 2","King Art Games, The Adventure Company}","THQ Nordic","February 5, 2019",""
"Bookbound Brigade","Digital Tales","Intragames","January 30, 2020","[392][393]"
"Boom Ball: Boost Edition","Virtual Air Guitar Company","VirtualAirGuitar","October 11, 2018","[394]"
"Boom Blaster","BigBread","ChiliDog Interactive","February 19, 2021","[395]"
"Boomerang Fu","Cranky Watermelon","JP: Flyhigh WorksWW: Cranky Watermelon","August 13, 2020","[396][397][398][399]"
"Boomerang X","Dang!","Devolver Digital","July 8, 2021","[400]"
"Boost Beast","Arzest","Arc System Works","July 20, 2017",""
"Boot Hill Bounties","Experimental Gamer Studios","Experimental Gamer Studios","April 14, 2020","[401][402][403]"
"Boot Hill Heroes","Experimental Gamer Studios","Experimental Gamer Studios","December 15, 2020","[404][405]"
"Borderlands: Game of the Year Edition","Gearbox Software","2K Games","May 29, 2020",""
"Borderlands: The Handsome Collection","Gearbox Software","2K Games","May 29, 2020",""
"Boreal Blade","Frozenbyte","Frozenbyte","August 28, 2019","[406][407]"
"Boris The Rocket","toR Studio","Big Way","April 30, 2021","[408][409]"
"Boss Rush: Mythology","Alexey Suslin","Ultimate Games","October 31, 2020","[410]"
"Bossgard","Sand Sailor Studio","Sand Sailor Studio","July 15, 2020","[411]"
"Bot Vice","DYA Games","DYA Games","April 11, 2019","[412]"
"BOT.vinnik Chess","DeepGreen Games","Silesia Games","September 2, 2021","[413][414][415]"
"Boulder Dash 30th Anniversary","BBG Entertainment","BBG Entertainment","February 27, 2020","[416]"
"Boulder Dash Deluxe","BBG Entertainment","BBG Entertainment","September 9, 2021","[417]"
"Bounce Mania","Benoit Varasse","Pix Arts","May 14, 2021","[168][418][419][420]"
"Bouncing Hero","ZPink","Turtle Cream","January 21, 2021","[421]"
"Bouncy Bob","All Those Moments","Ultimate Games","April 27, 2018","[422]"
