"Title","Developer(s)","Publisher(s)","Release date","Ref."
"Caterpillar Royale","Starsign","Starsign","February 14, 2019","[62][63][64][65]"
"Cathedral","Decemberborn Interactive","Elden Pixels","February 18, 2021","[66]"
"Catherine: Full Body","Atlus","Atlus","July 2, 2020",""
"Cattails","Falcon Development","Falcon Development","November 29, 2018","[67][68][69][70]"
"Cave Bad","EastAsiaSoft, Panda Indie Studio","EastAsiaSoft","March 3, 2021","[71]"
"Cave Story+","Nicalis","JP: PikiiWW: Nicalis","June 20, 2017",""
"Caveblazers","Deadpan Games","Yogscast","January 10, 2019","[72][73]"
"Caveman Tales","Cateia Games","Ocean Media","September 10, 2020","[74][75]"
"Caveman Warriors","JanduSoft","JanduSoft","December 5, 2017","[76][77][78][79]"
"Caverns of Mars: Recharged","SneakyBox","Atari","March 8, 2023",""
"Cecconoid","Triple Eh?","Thalamus Digital","August 17, 2020","[80][81][82]"
"Cel Damage","Finish Line Games","Finish Line Games","March 28, 2019",""
"Celebrity Life","Gaming Factory","Gaming Factory","2022","[83][84]"
"Celeste","EXOK Games","Matt Makes Games","January 25, 2018",""
"Cendrillon palikA","Idea Factory","Idea Factory","October 25, 2018","[85]"
"The Centennial Case: A Shijima Story","h.a.n.d.","Square Enix","May 12, 2022","[86]"
"Centipede: Recharged","Adamvision Studios, SneakyBox","Atari","September 29, 2021",""
"Chained Echoes","Ark Heiral","Deck13 Spotlight","TBA","[87]"
"Chalk Dash Carnival","Sat Box","Sat Box","November 14, 2018","[88]"
"Chameleon","Joyfulstar","NA: UFO InteractivePAL: Tommo","November 26, 2019","[89][90]"
"Champion Jockey Special","Koei Tecmo","Koei Tecmo","September 14, 2017",""
"Chaos on Deponia","Daedalic Entertainment","Daedalic Entertainment","November 27, 2019",""
"Chaos Code: New Sign of Catastrophe","F K Digital","Arc System Works","March 26, 2020",""
"Chaos;Head Noah / Chaos;Child Double Pack","Mages","Mages","February 24, 2022",""
"Chapeau","Salt Castle Studio","Salt Castle Studio","March 31, 2020","[91][92][93]"
"Charade Maniacs","Idea Factory","Idea Factory","September 16, 2021","[94]"
"The Charming Empire","OperaHouse Corporation","D3 Publisher","March 29, 2018","[95][96]"
"Chasing Static","Headware Games","Ratalaika Games","January 12, 2023",""
"Checkers","Sabec","Sabec","July 23, 2020","[97][98][99]"
"Chess Ace","Mythic Owl","Cool Small Games","July 23, 2020","[100][101][102]"
"Chess Ultra","Ripstone","Ripstone","November 2, 2017","[103][104][105][106]"
"Chicken Assassin: Reloaded","OneShark","Akupara Games","July 19, 2018","[107]"
"Chicken Police: Paint it Red!","The Wild Gentlemen","HandyGames","November 5, 2020","[108][109][110]"
"Chicken Range","Funbox Media","Funbox Media","October 25, 2018","[111][112][113]"
"Chicken Rider","Ultimate Games","Ultimate Games","June 24, 2019","[114][115]"
"Chicory: A Colorful Tale","Greg Lobanov","Finji","December 15, 2021",""
"Chiki-Chiki Boxy Racers","Pocket","Pocket","January 25, 2018","[116]"
"Chiki-Chiki Boxy Pro Wrestling","Pocket","Pocket","June 27, 2019","[117][118][119][120]"
"Child of Light","Ubisoft Montreal","Ubisoft","October 11, 2018",""
"The Child's Sight","Forever Entertainment","Forever Entertainment","June 20, 2019","[121]"
"Children of Morta","Dead Mage","JP: DMM GamesWW: Dead Mage","November 20, 2019",""
"Children of Zodiarcs","Plug In Digital","JP: Circle EntertainmentWW: Plug In Digital","March 27, 2020","[91][122][123][124]"
"Chime Sharp","Chilled Mouse","Chilled Mouse","May 28, 2019",""
"Chinatown Detective Agency","General Interactive","General Interactive, Whisper Games","April 8, 2022",""
"Chinese Parents","Coconut Island","Playism","August 20, 2020","[125]"
"Chocobo GP","Square Enix","Square Enix","March 10, 2022",""
"Chocobo's Mystery Dungeon Every Buddy!","Square Enix","Square Enix","March 20, 2019",""
"Choju Giga Wars","Silver Star Japan","Silver Star Japan","March 1, 2018","[126][127]"
"Chou no Doku Hana no Kusari: Taishou Tsuya Koi Ibun","Aromarie","Prototype","February 20, 2020","[128]"
"Christmas Tina","Coconut Island Games","Coconut Island Games","July 29, 2021","[129][130]"
"ChromaGun","Pixel Maniacs","Pixel Maniacs","January 22, 2018",""
"Chroma Squad","Behold Studios","Bandai Namco Entertainment","August 1, 2019",""
"Chrono Clash: Fantasy Tactics","Tyler Projects","Tyler Projects","January 28, 2019","[131]"
"Chronos: Before the Ashes","Gunfire Games","THQ Nordic","December 1, 2020",""
"Chronus Arc","Hit Point","Kemco","December 20, 2018","[132]"
"Clash of Elementalists Burst","Amuzy","Amuzy","April 23, 2020","[133][134]"
"Chuka Taisen","Taito","Joyful Table","September 6, 2018",""
"The Church in the Darkness","Paranoid Productions","Fellow Traveller","August 2, 2019",""
"Ciel Fledge: A Daughter Raising Simulator","Studio Namaapa","PQube","February 21, 2020","[135][136][137][138][139]"
"Ciel Nosurge DX","Gust Co. Ltd.","Koei Tecmo","March 4, 2021",""
"Cinders","MoaCube, Crunching Koalas","Crunching Koalas","February 14, 2019",""
"Circa Infinity","Kenny Sun","Red Deer Games","2021","[140]"
"Circle of Football","Yonder","Fantastico Studio","TBA","[141]"
"Circle of Sumo","Yonder","Strelka Games","November 16, 2018","[142]"
"Circle of Sumo: Online Rumble!","Yonder, Strelka Games","Strelka Games","October 17, 2020","[143]"
"Circuit Dude","Crait","Crait","September 7, 2020","[144][145][146]"
"Circuit Superstars","Original Fire Games","Square Enix","TBA",""
"Circuits","Digital Tentacle","Hidden Trap","April 5, 2019","[147]"
"Cities: Skylines","Colossal Order","Paradox Interactive","September 13, 2018",""
"Citizens of Space","Eden Industries","Sega","June 18, 2019","[148]"
"Citizens Unite!: Earth x Space","Eden Industries","Kemco","January 28, 2021","[149][150][151]"
"City Bus Driving Simulator","BoomBit Games","BoomBit Games","August 13, 2020","[152][153][154]"
"City of Brass","Uppercut Games","Uppercut Fames","February 8, 2019",""
"Civilization VI","Firaxis Games","2K Games","November 16, 2018",""
"Civilization VII","Firaxis Games","2K Games","February 11, 2025",""
"Clan N","Creamative","Creamative","August 6, 2020","[155]"
"Clannad","Key","Prototype","July 4, 2019",""
"Clash Force","Spicy Gyro Games","Ratalaika Games","July 3, 2020","[156]"
"Class of Heroes Anniversary Edition","Acquire","Acquire","April 26, 2018","[157][158][159]"
"Classic Games Collection Vol.1","Baltoro Games","Baltoro Games","July 26, 2019","[160]"
"Classic Pool","Revulo Games","Revulo Games","July 10, 2021","[161][162]"
"Claws of Furry","Terahard","Terahard","August 9, 2018","[163][164][165][166]"
"Claybook","Second Order","Second Order","March 12, 2019","[167][168][169]"
"Clea","Invert Mouse","Sekai Games","October 30, 2020","[170]"
"Clive 'N' Wrench","Dinosaur Bytes","Numskull Games","2021","[171][172]"
"Clocker","Wild Kid Games","Gamera Game","February 25, 2021","[49]"
"Clockwork Aquario","Westone Bit Entertainment","Inin Games","November 30, 2021",""
"Clock Zero: Shuuen no Ichibyou − Devote","Otomate","Idea Factory","June 20, 2019","[173][174]"
"Clone Drone in the Danger Zone","Doborog Games","Doborog Games","July 27, 2021","[175]"
"Close to the Sun","Storm in a Teacup","Wired Productions","October 29, 2019",""
"Cloudpunk","Ion Lands","Merge Games","October 15, 2020",""
"Clouds & Sheep 2","HandyGames","HandyGames","December 21, 2018","[176][177]"
"Clouzy!","Tinymoon","indie.io","February 17, 2022","[178]"
"Closed Nightmare","Nippon Ichi Software","Nippon Ichi Software","July 19, 2018",""
"Clubhouse Games: 51 Worldwide Classics","Nintendo","Nintendo","June 5, 2020",""
"Clue: The Classic Mystery Game","Hasbro","Hasbro","November 30, 2018",""
"Clumsy Rush","Red Deer Games","Red Deer Games","December 23, 2019","[179][180]"
"ClusterPuck99","PHL Collective","Coatsink","March 29, 2018","[181]"
"Clustertruck","Landfall Games","TinyBuild","March 15, 2018",""
"Cobra Kai: The Karate Kid Saga Continues","Flux Game Studio","GameMill Entertainment","October 27, 2020",""
"CoComelon: Play with JJ","SockMonkey Studios","Outright Games","October 28, 2022","[182]"
"Code of Princess EX","Studio Saizensen","Nicalis","July 31, 2018",""
"Code Shifter","Arc System Works","Arc System Works","January 30, 2020","[183]"
"Code: Realize − Bouquet of Rainbows","Design Factory","Idea Factory","September 13, 2018",""
"Code: Realize − Future Blessings","Idea Factory","JP: Idea FactoryWW: Aksys Games","September 13, 2018",""
"Code: Realize − Guardian of Rebirth","Idea Factory","JP: Idea FactoryWW: Aksys Games","September 13, 2018",""
"Code: Realize − Wintertide Miracles","Idea Factory","JP: Idea FactoryWW: Aksys Games","July 16, 2020","[184][49]"
"Codebreaker Puzzle 1000!: ENG & JAN","Success","Success","February 25, 2021","[49]"
"Coffee Talk","Toge Productions","Chorus Worldwide","January 29, 2020",""
"Coffee Talk Episode 2: Hibiscus & Butterfly","Toge Productions","Chorus Worldwide","April 20, 2023",""
"Coffin Dodgers","Milky Tea Studio","Wales Interactive","March 13, 2018","[185][186][187]"
"Cogen: Sword of Rewind","Gemdrops","Gemdrops","January 27, 2022","[188]"
"Collapsed","Glaive Games","OverGamez","August 29, 2020","[189][190][191][192]"
"Collar × Malice","Idea Factory","JP: Idea FactoryWW: Aksys Games","March 12, 2020",""
"Collar × Malice: Unlimited","Idea Factory","Aksys Games","August 13, 2020",""
"Collidalot","Grunka Munka Games","Grunka Munka","November 9, 2018","[193]"
"Collide-a-Ball 2","Sims","Starsign","July 25, 2019","[9]"
"Collection of Mana","Square Enix","Square Enix","June 1, 2017",""
"Collection of Saga Final Fantasy Legend","Square Enix","Square Enix","December 15, 2020","[194][195][196]"
"Colloc","Pazolab Studio","NoobO Games","July 25, 2020","[197][102]"
"Color Jumper","Tallbeard Studios","Noble Robot","August 28, 2020","[198][199]"
"Colors Live","Collecting Smiles","Collecting Smiles","September 14, 2021",""
"Colossal Cave","Cygnus Entertainment","Cygnus Entertainment","January 19, 2023","[200]"
"The Coma: Recut","Devespresso Studios, Stage Clear Studios","JP: Chorus WorldwideWW: Digerati","December 21, 2017",""
"The Coma 2: Vicious Sisters","Devespresso Studios, Stage Clear Studios","JP: Chorus WorldwideWW: Digerati","June 19, 2020",""
"Comic Coloring Book","Red Deer Games","Red Deer Games","December 28, 2020","[201]"
"Commander '85","Moonwalls","Ultimate Games","TBA","[202]"
"Commander Keen in Keen Dreams","id Software","Lone Wolf Technology","February 7, 2019",""
"Commandos 2 - HD Remaster","Yippee Entertainment","Kalypso Media","December 4, 2020",""
"Commandos 3 - HD Remaster","Raylight Games","Kalypso Media","2022","[203]"
"The Company Man","Forust","Leoful","2022","[204]"
"The Complex","Wales Interactive","Wales Interactive","March 31, 2020","[205][206][207]"
"Concept Destruction","Thinice Games","Ratalaika Games","May 22, 2020","[208]"
"Conduct Together!","Northplay","Northplay","December 6, 2018","[209][210]"
"Conga Master Party!","Undercoders","Rising Star Games","September 28, 2017","[211]"
"Conan Chop Chop","Mighty Kingdom","Funcom","TBA","[212]"
"Conglomerate 451: Overloaded","RuneHeads","34BigThings","June 3, 2021","[213]"
"ConnecTank","Yummy Yummy Tummy","Inin Games","September 28, 2021","[214]"
"/Connection Haunted <SERVER ERROR>","No Gravity Games","No Gravity Games","September 3, 2020","[215][216]"
"Construction Simulator 2 US","Weltenbauer","Astragon Entertainment","November 6, 2019","[217]"
"Construction Simulator 3","Weltenbauer","Astragon Entertainment","October 21, 2020","[218][219]"
"Construction Simulator 4","Weltenbauer","Astragon Entertainment","May 28, 2024",""
"Constructor Plus","System 3","System 3","February 28, 2019",""
"Contra Anniversary Collection","Konami","Konami","June 11, 2019",""
"Contra: Rogue Corps","Konami","Konami","September 24, 2019",""
"Control: Ultimate Edition Cloud Version","Remedy Entertainment","505 Games","October 28, 2020",""
"Conway: Disappearance at Dahlia View","White Paper Games","Sold Out","November 2, 2021","[220]"
"Cook, Serve, Delicious! 2","Vertigo Gaming","Vertigo Gaming","April 10, 2019",""
"Cook, Serve, Delicious! 3","Vertigo Gaming","Vertigo Gaming","October 14, 2020",""
"Cooking Mama: Cookstar","First Playable Productions","Planet Entertainment","March 31, 2020",""
"Cooking Simulator","Forever Entertainment","Forever Entertainment","May 14, 2020",""
"CopperBell","Ultimate Games","Ultimate Games","March 27, 2020","[91][122]"
"Coromon","Tragsoft","indie.io","2022","[221]"
"Corpse Factory","River Crow Studio","River Crow Studio","January 2022",""
"Corpse Killer: 25th Anniversary Edition","Screaming Villains, Flash Film Works","Limited Run Games","July 27, 2021","[222]"
"Corpse Party","Team GrisGris, Mages","JP: MagesWW: Xseed Games","February 18, 2021",""
"Corpse Party: Blood Drive","Team GrisGris, 5pb.","JP: MagesNA: Marvelous USAEU: Marvelous Europe","October 10, 2019",""
"Corridor Z","Mass Creation","Mass Creation","February 20, 2020","[135][136]"
"Cosmic","King's Pleasure","Feardemic","2022","[223]"
"Cosmic Defenders","Fiery Squirrel","Natsume Inc.","June 11, 2020","[224]"
"Cosmic Star Heroine","Zeboyd Games","Limited Run Games","August 14, 2018",""
"Cosmonauta","QuByte Interactive","QuByte Interactive","February 11, 2020","[225][226]"
"Cotton 100%","Success","JP: SunsoftWW: ININ Games","October 29, 2021",""
"Cotton Reboot!","Sangatu Usagi no Mori","JP: BeepWW: Inin Games","February 25, 2021",""
"Cotton Rock 'n' Roll","Success","Success","December 23, 2021","[227]"
"The Count Lucanor","Baroque Decay Games, Ratalaika Games","Merge Games","October 18, 2017","[228]"
"Counter Recon: The First Mission","HitGames Studio","Troooze","March 4, 2021",""
"Country Tales","Cateia Games","Ocean Media","July 30, 2020","[229][230]"
"Cozy Grove","Spry Fox","The Quantum Astrophysicists Guild","April 8, 2021",""
"The Crackpet Show","Vixa Games","Vixa Games","2021",""
"Crane Game Toreba","CyberStep","CyberStep","April 25, 2019",""
"Crash Bandicoot 4: It's About Time","Vicarious Visions","JP: SegaWW: Activision","March 12, 2021",""
"Crash Bandicoot N. Sane Trilogy","Vicarious Visions","JP: SegaWW: Activision","June 29, 2018",""
"Crash Drive 2","M2H","M2H","February 7, 2020",""
"Crash Drive 3","M2H","M2H","July 8, 2021","[231]"
"Crash Team Racing Nitro-Fueled","Beenox","JP: SegaWW: Activision","June 21, 2019",""
"Crashlands","Butterscotch Shenanigans","Butterscotch Shenanigans","November 8, 2018",""
"Crawl","Powerhoof","Powerhoof","December 19, 2017",""
"Crawlco Block Knockers","EastAsiaSoft","EastAsiaSoft","December 17, 2020",""
"Crayola Scoot","Climax Studios","Outright Games","October 16, 2018",""
"Crayon Shin-chan: Ora to Hakase no Natsuyasumi – Owaranai Nanokakan no Tabi","Millennium Kitchen","Neos","July 15, 2021",""
"Crayon Shin-chan: The Storm Called! Flaming Kasukabe Runner","Bushiroad","Bushiroad","January 14, 2020",""
"Crazy BMX World","Lireneosoft","JP: SpicysoftWW: Shinyuden","February 8, 2018","[232][233]"
"Crazy Chicken Xtreme","Korion Interactive","TREVA","February 8, 2018","[234]"
"Crazy Mini Golf Arcade","Carnival Games","Planet Entertainment","October 7, 2019",""
"Crazy Oce","FunAlter Games","FunAlter Games","February 18, 2021",""
"Crazy Strike Bowling EX","Corecell Technology","Corecell Technology","January 17, 2019","[235][236]"
"Crazy Zen Mini Golf","Onteca","JP: OntecaWW: Corecell Technology","December 23, 2019","[237]"
"Creaks","Amanita Design","JP: PlayismWW: Amanita Design","July 22, 2020",""
"Creature in the Well","Flight School","Flight School","September 6, 2019","[238]"
"Creepy Tale 2","Creepy Brothers","No Gravity Games","October 7, 2021","[239]"
"Cresteaju","PLiCy, Shou","PLiCy","September 17, 2020","[240]"
"Cricket 19","Big Ant Studios","Big Ant Studios","May 28, 2019","[241]"
"Cricket 22","Big Ant Studios","Nacon","April 28, 2022","[242]"
"Crimzon Clover: World Explosion","Yotsubane","Degica","October 29, 2020",""
"Cris Tales","Dreams Uncorporated, Syck","Modus Games","July 20, 2021",""
"Crisis Core: Final Fantasy VII Reunion","Square Enix","Square Enix","December 13, 2022",""
"Critadel","Pixelian Studio","Nicalis","October 13, 2021","[243]"
"Croc's World","Sprakelsoft","Sprakelsoft","November 9, 2018",""
"Croc's World 2","Sprakelsoft","Sprakelsoft","April 18, 2019",""
"Croc's World 3","Sprakelsoft","Sprakelsoft","December 26, 2019",""
"Croc's World Run","Sprakelsoft","Sprakelsoft","February 21, 2019",""
"Croixleur Sigma","Souvenir, Circ.","Playism","November 1, 2018","[244][245]"
"Cross Channel: For All People","Regista, FlyingShine","Regista","August 20, 2020","[246]"
"Crossbow: Bloodnight","Hyperstrange","Hyperstrange","January 29, 2021",""
"CrossCode","Radical Fish Games","Deck13","July 9, 2020",""
"Crossing Souls","Fourattic","Devolver Digital","July 26, 2018",""
"CrossKrush","Thinice Games","Ratalaika Games","October 22, 2020","[247]"
"Crossniq+","Future Memory","Future Memory","October 4, 2019","[248]"
"Crossroads Inn","Klabater","Klabater","TBA",""
"Crowdy Farm Rush","Incuvo","7Levels","August 6, 2020","[249][250]"
"Crown Trick","Next Studios","Team17","October 16, 2020","[251][252]"
"Cruel Bands Career","Wang Heran, Yang Zhongjue","Indienova","August 6, 2020","[253][254][255]"
"The Cruel King and the Great Hero","Nippon Ichi Software","JP: Nippon Ichi SoftwareWW: NIS America","June 24, 2021","[256]"
"CrunchTime","Umiringo Studio","Navila Software Japan","October 10, 2019",""
"Cruis'n Blast","Raw Thrills","GameMill Entertainment","September 14, 2021",""
"Cry Babies Magic Tears: The Big Game","Drakhar Studio","Merge Games","September 22, 2023","[257][258]"
"Crying Suns","Alt Shift Studio","Humble Games","May 27, 2021",""
"Crypt of the NecroDancer","Brace Yourself Games","Brace Yourself Games","February 1, 2018",""
"Crysis Remastered","Saber Interactive","Crytek","July 23, 2020",""
"Crysis 2 Remastered","Crytek","Crytek","October 15, 2021",""
"Crysis 3 Remastered","Crytek","Crytek","October 15, 2021",""
"Crystal Crisis","Nicalis","JP: PikiiWW: Nicalis","May 28, 2019",""
"Crystal Ortha","Hit Point","Kemco","December 17, 2020",""
"Crystar","Gemdrops","JP: FuRyuWW: NIS America","February 24, 2022",""
"Cthulhu Saves Christmas","Zeboyd Games","Zeboyd Games","October 28, 2020",""
"Cube Creator X","Arc System Works","Arc System Works","April 26, 2018","[259][260]"
"Cube Life: Island Survival HD","Cypronia","Cypronia","December 26, 2020",""
"Cubicity","Pirate Parrot","OverGamez","July 25, 2020","[261]"
"Cubixx","Ghostlight","Ghostlight","October 3, 2019","[262][263]"
"Cult of the Lamb","Massive Monster","Devolver Digital","August 11, 2022",""
"Cultic","Jasozz Games","3D Realms","2022","[264]"
"Cultist Simulator","Weather Factory","Playdigious","February 2, 2021",""
"Cuphead","StudioMDHR","StudioMDHR","April 18, 2019",""
"Cupid Parasite","Idea Factory","Idea Factory","August 20, 2020","[265]"
"Curious Cases","OnSkull Games","OnSkull Development","January 14, 2020",""
"Curious Expedition","Maschinen-Mensch","Thunderful Publishing","April 2, 2020","[266]"
"Curious Expedition 2","Maschinen-Mensch","Thunderful Publishing","August 11, 2021","[267]"
"Curse of the Dead Gods","Passtech Games","Focus Home Interactive","February 23, 2021",""
"Curse of the Sea Rats","Petoons Studio","pQube","April 6, 2023","[268]"
"Cursed Castilla","Locomalito, Gryzor87","Abylight Studios","January 24, 2019",""
"Curved Space","Only By Midnight","Maximum Games","July 13, 2021",""
"Cyanide & Happiness: Freakpocalypse","Skeleton Crew Studios, Explosm Games","Serenity Forge","March 11, 2021",""
"Cybarian: The Time Traveling Warrior","Ritual Games","Ratalaika Games","June 21, 2019",""
"Cyber Hook","Blazing Stick","Graffiti Games","June 24, 2021","[269]"
"Cyber Protocol","Red Deer Games","Red Deer Games","September 26, 2019","[270]"
"Cyber Shadow","Mechanical Head Studios","JP: Inti CreatesWW: Yacht Club Games","January 26, 2021",""
"Cytus Alpha","Rayark","Flyhigh Works","April 25, 2019",""
"D/Generation HD","West Coast Software","West Coast Software","March 27, 2018",""
"D/Generation: The Original","West Coast Software","West Coast Software","June 7, 2018",""
"Da Capo 4","Circus","Entergram","December 19, 2019",""
"Daemon X Machina","Marvelous First Studio","Nintendo","September 13, 2019",""
"Daggerhood","Woblyware","Ratalaika Games","February 21, 2019","[62][63][271]"
"Daifugo: Honkaku Ai Tousai","Silver Star Japan","Silver Star Japan","August 30, 2018",""
"Dairoku: Agents of Sakuratani","Idea Factory","JP: Idea FactoryWW: Aksys Games","May 28, 2020","[272][273]"
"Daisenryaku Perfect 4.0","SystemSoft Alpha","Systemsoft Beta","September 20, 2018",""
"Daitoshokan no Hitsujikai: Library Party","Aria","Aria","July 26, 2018",""
"Damascus Gear: Operation Osaka","A+ Games, Arc System Works","Arc System Works","August 29, 2019","[274][275]"
"Damascus Gear: Operation Tokyo","A+ Games, Arc System Works","Arc System Works","March 1, 2018","[276]"
"Damsel","Screwtape Studios","JP: EastAsiaSoftWW: Screwtape Studios","August 7, 2019","[277][278]"
"Dandara","Long Hat House","Raw Fury","February 6, 2018",""
"Dandy Ace","Mad Mimic","Neowiz","September 28, 2021","[279]"
"Dandy and Randy DX","Asterstic Game Studio","Ratalaika Games","April 29, 2022","[280]"
"Dandy Dungeon: Legend of Brave Yamada","Onion Games","Onion Games","June 27, 2019","[117][118][281]"
"Danganronpa: Trigger Happy Havoc","Spike Chunsoft","Spike Chunsoft","November 4, 2021",""
"Danganronpa 2: Goodbye Despair","Spike Chunsoft","Spike Chunsoft","November 4, 2021",""
"Danganronpa S: Ultimate Summer Camp","Spike Chunsoft","Spike Chunsoft","November 4, 2021",""
"Danganronpa V3: Killing Harmony","Spike Chunsoft","Spike Chunsoft","November 4, 2021",""
"Danger Gazers","ShotX Studio","Ultimate Games","December 4, 2020",""
"Danger Mouse: The Danger Games","9th Impact Studios","9th Impact Studios","September 13, 2018",""
"Dangerous Driving 2","Three Fields Entertainment","Three Fields Entertainment","TBA","[282]"
"Dangerous Relationship","D3 Publisher","D3 Publisher","July 9, 2020",""
"Danmaku Unlimited 3","Doragon Entertainment","Doragon Entertainment","March 13, 2018","[283]"
