"Title","Developer(s)","Publisher(s)","Release date","Ref."
"Hidden Objects Collection Volume 2","","Solutions 2 Go Inc","January 17, 2022",""
"Hidden Objects Collection Volume 3","","Solutions 2 Go Inc","February 11, 2022",""
"Hidden Paws","Manic Hyena","Silesia Games","January 27, 2022","[64]"
"Hidden Paws Mystery","Manic Hyena","Silesia Games","October 27, 2022","[65]"
"Higurashi no Naku Koro ni Hou","07th Expansion","Entergram","July 26, 2018",""
"Himehibi: Princess Days","Takuyo","Takuyo","September 10, 2020","[66]"
"Himehibi: Another Princess Days ~White or Black~","Takuyo","Takuyo","December 10, 2020","[67]"
"Hindsight 20/20: Wrath of the Raakshasa","Triple-I Games","Triple-I Games","September 9, 2021","[68]"
"Hiragana Pixel Party","Springloaded","Springloaded","December 15, 2017","[69]"
"History 2048","Run-Down Games","Run-Down Games","March 1, 2019","[70]"
"Hitman 3: Cloud Version","IO Interactive","IO Interactive","January 20, 2021",""
"Hix: Puzzle Islands","Gamedia","Gamedia","September 2, 2021","[71]"
"Hoa","Skrollcat Studio","Skrollcat Studio","August 21, 2021","[72]"
"Hob: The Definitive Edition","Runic Games, Panic Button","Perfect World Entertainment","April 3, 2019",""
"Hogwarts Legacy","Avalanche Software","Portkey Games","November 14, 2023",""
"A Hole New World","Mad Gear Games","Dolores Entertainment","March 1, 2018","[73]"
"Hollow","MMEU","Forever Entertainment","February 22, 2018","[74]"
"Hollow Knight","Team Cherry","Team Cherry","June 12, 2018",""
"Hollow Knight: Silksong","Team Cherry","Team Cherry","TBA",""
"Holy Potatoes! A Weapon Shop?!","Daylight Studios","Rising Star Games","July 12, 2018","[75]"
"Holy Potatoes! We're in Space?!","Daylight Studios","Rising Star Games","January 17, 2019","[76][77]"
"Home Escape","Pat-o-logic Studio","Pat-o-logic Studio","June 21, 2019","[25][26]"
"Home Sheep Home: Farmageddon Party Edition","Aardman Animations","JP: Greenlight GamesWW: Aardman Animations","October 18, 2019",""
"The Hong Kong Massacre","Vreski","Untold Tales","December 26, 2020",""
"Hook","Rainbow Train","Rainbow Train","March 14, 2019","[78][79]"
"Horace","Paul Helman, Sean Scapelhorn","505 Games","October 21, 2020","[80]"
"Horgihugh with Friends","PiXEL","PiXEL","June 3, 2021","[81]"
"Horizon Chase Turbo","Aquiris Game Studio","Aquiris Game Studio","July 30, 2019",""
"Horned Knight","Josep Monzonis Hernandez","JP: EastAsiaSoftWW: 2Awesome Studios","February 26, 2021","[82]"
"Hot Gimmick: Axes-jong","Zerodiv","Zerodiv","July 4, 2019","[83]"
"Hot Gimmick: Cosplay-jong","Zerodiv","Zerodiv","July 5, 2018","[84][85][86]"
"Hot Springs Story","Kairosoft","Samsung Electronics","October 11, 2018",""
"Hot Wheels Unleashed","Milestone","JP: Koch MediaWW: Milestone","September 30, 2021",""
"Hotel Life: A Resort Simulator","RingZero Game Studio","Nacon","August 26, 2021",""
"Hotel Sowls","CFK","CFK","July 30, 2020","[87]"
"Hotel Transylvania 3: Monsters Overboard","Torus Games","NA: Outright GamesPAL: Bandai Namco Entertainment","July 10, 2018",""
"Hotel Transylvania: Scary-Tale Adventures","Drakhar Studio","Outright Games","October 2021",""
"Hotline Miami Collection","Dennaton Games","Devolver Digital","August 19, 2019",""
"Hototogisu Tairan 1553: Ryuuko Aiutsu","Granzella","Granzella","April 26, 2018","[88]"
"Hotshot Racing","Lucky Mountain Games","Curve Digital","September 10, 2020","[89]"
"The House of the Dead 2","Forever Entertainment","Forever Entertainment","TBA",""
"The House of the Dead: Remake","MegaPixel Studios","Forever Entertainment","April 7, 2022",""
"How To Take Off Your Mask Remastered","Roseverte","Ratalaika Games","February 4, 2021",""
"Hue","Fiddlesticks Games","JP: Digital BardsWW: Curve Digital","June 6, 2019",""
"Human: Fall Flat","No Brakes Games","JP: TeyonWW: Curve Digital","December 7, 2017",""
"Human Resource Machine","Tomorrow Corporation","Tomorrow Corporation","March 16, 2017",""
"Human Rocket Person","2nd Studio","2nd Studio","June 27, 2019","[25][26]"
"Hungry Baby: Party Treats","Digital Melody","QubicGames","May 24, 2019","[55][56]"
"Hungry Shark World","Ubisoft","Ubisoft","July 17, 2018",""
"Huntdown","Easy Trigger Games","Coffee Stain Publishing","May 12, 2020","[90]"
"Hunter Shooting Camp","Pix Arts","Pix Arts","July 23, 2021",""
"Hyper Jam","Bit Dragon","Bit Dragon","April 17, 2020","[91][92]"
"Hyper Light Drifter","Heart Machine","Abylight","September 6, 2018",""
"Hyper Sentinel","Four5six Games","JP: EastAsiaSoftWW: Huey Games","May 11, 2018","[93][94]"
"HyperBrawl Tournament","Milky Tea Studios","Milky Tea Studios","October 20, 2020","[95]"
"Hypercharge: Unboxed","Digital Cybercherries","Digital Cybercherries","January 31, 2020",""
"Hyperforma","Nord Unit","HeroCraft","September 5, 2019","[96]"
"Hyperlight Ultimate","CatfishBlues Games","CatfishBlues Games","July 9, 2019","[97]"
"HyperParasite","Troglobytes Games","JP: EastAsiaSoftNA: Houndpicked GamesPAL: QubicGames","April 2, 2020",""
"Hypnospace Outlaw","Tendershoot","No More Robots","August 27, 2020",""
"Hyrule Warriors: Age of Calamity","Koei Tecmo, Omega Force","Nintendo","November 20, 2020",""
"Hyrule Warriors: Definitive Edition","Omega Force, Team Ninja","Nintendo","March 22, 2018",""
"I-Chu","OperaHouse","D3 Publisher","2022",""
"I Am Dead","Hollow Ponds","Annapurna Interactive","October 8, 2020",""
"I Am Setsuna","Tokyo RPG Factory","Square Enix","March 3, 2017",""
"I Am the Hero","Crazyant","Ratalaika Games","November 22, 2018","[98]"
"I and Me","Wish Fang","Ratalaika Games","July 6, 2017",""
"I Hate Running Backwards","Binx Interactive, Croteam Incubator","Devolver Digital","October 19, 2018",""
"I Wanna Fly","Ultimate Games","Ultimate Games","February 20, 2019","[41][42]"
"I, Zombie","Awesome Game Studio","Awesome Game Studio","March 8, 2018","[99][100]"
"Ibb & Obb","Sparpweed","Sparpweed","March 5, 2020",""
"Ice Age: Scrat's Nutty Adventure","Just Add Water","Outright Games","October 18, 2019",""
"Ice Cream Surfer","Dolores Entertainment","Dolores Entertainment","May 17, 2018","[101]"
"Icewind Dale: Enhanced Edition","Beamdog","Skybound Games","October 15, 2019",""
"Icey","X.D. Network","X.D. Network","May 31, 2018",""
"Iconoclasts","Joakim Sandberg","Bifrost Entertainment","August 2, 2018",""
"IdolDays","Qureate","Qureate","June 17, 2021","[102]"
"Idol Manager","Glitch Pitch","Playism","August 25, 2022","[103]"
"If Found...","Dreamfeel","Annapurna Interactive","October 22, 2020",""
"If My Heart Had Wings","Pulltop","MoeNovel","September 5, 2019",""
"Ikai","Endflame","PM Studios","March 29, 2022","[104][105]"
"Ikaruga","Treasure","Nicalis","May 29, 2018",""
"Ikenfell","Happy Ray Games","Humble Games","October 8, 2020",""
"Illmatic Envelope Swamp","RS34","RS34","October 14, 2021","[106]"
"Illusion of L'Phalcia","Exe Create","Kemco","August 1, 2019",""
"Immortal Planet","Teedoubleu Games","Monster Couch","December 6, 2019","[107]"
"Immortal Realms: Vampire Wars","Palindrome","Kalypso Media","August 28, 2020","[108]"
"Immortals Fenyx Rising","Ubisoft Quebec","Ubisoft","December 3, 2020",""
"Implosion: Never Lose Hope","Rayark, Esquadra","Flyhigh Works","July 5, 2017",""
"In Other Waters","Jump Over The Age","Fellow Traveller","April 3, 2020","[109][110]"
"Inazuma Eleven: Victory Road","Level-5","Level-5","2024",""
"Inbento","Afterburn","7Levels","March 12, 2020","[111]"
"In Celebration of Violence","Julian Edison","Dolores Entertainment","November 26, 2020",""
"The Incredible Adventures of Super Panda","Chaos Rift Entertainment","Ultimate Games","February 14, 2020","[47][48]"
"Incredible Mandy","Dotoyou Games","Circle Entertainment","November 7, 2019","[112]"
"Indie Pogo","Lowe Bros. Studios","Lowe Bros. Studios","TBA",""
"Indiecalypse","JanduSoft","JanduSoft","May 29, 2020","[113]"
"Indigo 7: Quest for love","Dolores Entertainment","Dolores Entertainment","July 8, 2021","[114]"
"Indivisible","Lab Zero Games","JP: Spike ChunsoftWW: 505 Games","April 28, 2020",""
"Inertial Drift","Level 91 Entertainment","PQube","September 11, 2020","[115]"
"Infected Maze","Masatoko Games","Masatoko Games","TBA","[116]"
"The Infectious Madness of Doctor Dekker","D'Avekki Studios","Wales Interactive","June 5, 2018",""
"Infernax","Berzerk Studio","The Arcade Crew","2022","[117]"
"Infernium","Carlos Coronado","Undercoders","April 5, 2018","[118]"
"Infinite: Beyond the Mind","Emilie Coyo","Blowfish Studios","May 7, 2020","[119][120]"
"Infinite Minigolf","Zen Studios","Zen Studios","July 28, 2017","[121]"
"Infliction: Extended Cut","Caustic Reality","Blowfish Studios","July 2, 2020","[122]"
"Inked: A Tale of Love","Somnium Games","Pixmain","August 26, 2021","[123]"
"Inksplosion","Petite Games","Ratalaika Games","April 18, 2018","[124]"
"Inkulinati","Yaza Games","Yaza Games","2021","[125]"
"Inmost","Hidden Layer Games","Chucklefish","August 21, 2020","[126][127]"
"The Inner World: The Last Wind Monk","Studio Fizbin","Headup Games","July 18, 2018","[128]"
"InnerSpace","PolyKnight Games","Aspyr","January 16, 2018",""
"Inops","ZRZStudio","ZRZStudio","January 26, 2019","[129]"
"In Rays of the Light","Sergey Noskov","Sometimes You","March 17, 2021",""
"Inside","Playdead","Playdead","June 28, 2018",""
"In Sound Mind","We Create Stuff","Modus Games","2022","[130]"
"Inspector Waffles","Goloso","Hitcents","October 14, 2021","[131]"
"Instant Sports Summer Games","Break First","Plug In Digital","July 30, 2020","[132][133]"
"Into the Breach","Subset Games","Subset Games","August 28, 2018",""
"Into the Dead 2","Pikpok","Versus Evil","October 25, 2019","[134]"
"Inuwashi: Urabure Tantei to Ojou-sama Keiji no Ikebukuro Jiken File","Orange","Orange","March 26, 2020","[135]"
"Inversus Deluxe","Hypersect","Hypersect","September 28, 2017","[136]"
"Invisible Fist","Failcore","Pineapple Works","January 6, 2020","[137]"
"Invisible, Inc.","Klei Entertainment","Klei Entertainment","June 15, 2020",""
"Ion Fury","Voidpoint","3D Realms","May 14, 2020",""
"Irem Collection Vol. 1","Irem","ININ Games","November 21, 2023",""
"Irem Collection Vol. 2","Irem","ININ Games","February 20, 2024",""
"Irem Collection Vol. 3","Irem","ININ Games","TBA","[138][139][140]"
"Iris.Fall","NExT Studios","PM Studios","January 7, 2021","[141][142]"
"Iris and the Giant","Louis Rigaud","Plug In Digital","November 5, 2020",""
"Iro Hero","Artax Games","EastAsiaSoft","June 7, 2018","[143]"
"Iron Crypticle","Tikipod","Confused Pelican","February 13, 2019","[144]"
"Ironcast","Dreadbit","Ripstone","August 10, 2017",""
"Irony Curtain: From Matryoshka with Love","Artifex Mundi","Artifex Mundi","June 27, 2019","[25][26]"
"Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combat","5pb.","5pb.","November 28, 2019",""
"Ise Shima Mystery Guide: The False Black Pearl","Happymeal","Flyhigh Works","January 24, 2019","[145]"
"Island","Frontwing","Prototype","April 8, 2021",""
"Islanders","Grizzly Games","Coatsink","August 11, 2021",""
"Island Flight Simulator","Caipirinha Games","Joindots","January 25, 2018","[146]"
"Island Saver","Stormcloud Games","National Wetminster Bank","May 13, 2020",""
"Issho ni Asobo Koupen-chan","Neos Corporation","Neos Corporation","September 24, 2020","[147]"
"It Came From Space, and Ate Our Brains","Triangle Studios","All In! Games","January 28, 2020","[148][149]"
"It's Raining Fists and Metal","Corvostudio di Amadei Marco","Corvostudio di Amadei Marco","January 20, 2020","[150]"
"It's Spring Again","Baba Yaga Games","Sometimes You","April 17, 2018","[151]"
"It Takes Two","Hazelight Studios","Electronic Arts","November 4, 2022",""
"Itta","Glass Revolver","Armor Games Studios","April 22, 2020","[152]"
"Ittle Dew","Ludosity","Nicalis","August 15, 2019",""
"Ittle Dew 2+","Ludosity","Nicalis","March 19, 2020",""
"IxShe Tell","Hooksoft","Entergram","January 30, 2020","[153]"
"Jack Jeanne","Broccoli","Broccoli","March 18, 2021",""
"Jack Move","So Romantic","HypeTrain Digital","September 8, 2022",""
"The Jackbox Party Pack","Jackbox Games","Jackbox Games","August 17, 2017",""
"The Jackbox Party Pack 2","Jackbox Games","Jackbox Games","August 17, 2017",""
"The Jackbox Party Pack 3","Jackbox Games","Jackbox Games","April 13, 2017",""
"The Jackbox Party Pack 4","Jackbox Games","Jackbox Games","October 19, 2017",""
"The Jackbox Party Pack 5","Jackbox Games","Jackbox Games","October 17, 2018",""
"The Jackbox Party Pack 6","Jackbox Games","Jackbox Games","October 17, 2019",""
"The Jackbox Party Pack 7","Jackbox Games","Jackbox Games","October 15, 2020",""
"The Jackbox Party Pack 8","Jackbox Games","Jackbox Games","October 14, 2021",""
"The Jackbox Party Pack 9","Jackbox Games","Jackbox Games","October 20, 2022",""
"The Jackbox Party Starter","Jackbox Games","Jackbox Games","June 30, 2022",""
"Jamestown+","Final Form Games","Final Form Games","December 12, 2019",""
"Jang-Navi Mahjong Online","Winlight","Winlight","February 8, 2018","[154]"
"J.B. Harold Murder Club","Riverhillsoft","Mebius","August 10, 2017",""
"Japanese Rail Sim: Journey to Kyoto","Sonic Powered","Sonic Powered","November 28, 2019","[155]"
"JDM Racing","Starkom","Nikita Alexeevich","December 19, 2019","[156]"
"Jelly Champs!","Art Games Studio","Art Games Studio","September 3, 2020","[157][158]"
"Jenny LeClue: Detectivú","Mografi","Mografi","August 26, 2020",""
"Jeopardy!","Ubisoft","Ubisoft","October 30, 2018",""
"Jetboard Joust","BitBull","indie.io","May 18, 2021",""
"Jet Kave Adventure","7Levels","JP: Circle EntertainmentWW: 7Levels","September 17, 2019","[159][160]"
"Jet Lancer","Code Wakers","Armor Games Studios","May 12, 2020","[161][162]"
"Jets 'n' Guns","Rake in Grass","Rake in Grass","December 16, 2019","[163]"
"Jets 'n' Guns 2","Rake in Grass","Rake in Grass","August 26, 2020","[164][165]"
"Jettomero: Hero of the Universe","Ghost Time Games","Ghost Time Games","October 4, 2018","[166]"
"Jewel Wars","Tom Create","Tom Create","January 23, 2020","[167]"
"JigSaw Abundance","Playstige Interactive","Playstige Interactive","March 26, 2020","[168][169]"
"JigSaw Solace","Playstige Interactive","Playstige Interactive","December 3, 2019","[170]"
"Jikkyou Powerful Pro Baseball","Konami","Konami","June 27, 2019",""
"Jinki Resurrection","Giga","Entergram","February 25, 2021",""
"Jisei: The First Case HD","Sakevisual","Ratalaika Games","July 24, 2020",""
"Joe Dever's Lone Wolf","Reply Forge","Reply Forge","February 16, 2018",""
"Joggernauts","Space Mace","Graffiti Games","October 11, 2018",""
"John Wick Hex","Bithell Games","Good Shepherd Entertainment","December 4, 2020",""
"JoJo's Bizarre Adventure: All Star Battle R","CyberConnect2","Bandai Namco Entertainment","September 1, 2022","[171]"
"JoJo Siwa: Worldwide Party","Cocodrilo Dog Games","Outright Games","October 21, 2022","[172]"
"Jotun: Valhalla Edition","Thunder Lotus Games","Thunder Lotus Games","April 27, 2018",""
"Journey of the Broken Circle","Lovable Hat Cult","JP: Rainy FrogWW: Nakana","September 18, 2020","[173]"
"The Journey Down: Chapter One","Skygoblin","BlitWorks","June 21, 2018",""
"The Journey Down: Chapter Two","Skygoblin","BlitWorks","July 5, 2018",""
"The Journey Down: Chapter Three","Skygoblin","BlitWorks","June 28, 2018",""
"Journey to the Savage Planet","Typhoon Studios","JP: H2 InteractiveWW: 505 Games","May 21, 2020",""
"A Juggler's Tale","Kaleidoscube","Mixtvision Games","September 29, 2021","[174]"
"Juiced!","TimothyvanderHoeven","TimothyvanderHoeven","October 8, 2020","[175]"
"Juicy Realm","SpaceCan Studio","X.D. Network","November 7, 2019",""
"Jumanji: The Video Game","Funsolve","Outright Games","November 8, 2019",""
"Jump Force","Spike Chunsoft","Bandai Namco Entertainment","August 27, 2020",""
"Jump King","Nexile","JP: PikiiWW: Ukiyo Publishing","June 9, 2020","[176]"
"Jump Rope Challenge","Nintendo EPD","Nintendo","June 15, 2020",""
"Jumping Joe & Friends","QubicGames, Vixa Games","QubicGames","May 25, 2018","[177]"
"Jurassic Pinball","EnjoyUp Games","EnjoyUp Games","May 25, 2018","[178]"
"Jurassic World Evolution","Frontier Developments","Frontier Developments","November 3, 2020",""
"Just Dance 2017","Ubisoft Paris","Ubisoft","March 3, 2017",""
"Just Dance 2018","Ubisoft Paris","Ubisoft","October 24, 2017",""
"Just Dance 2019","Ubisoft Paris","Ubisoft","October 23, 2018",""
"Just Dance 2020","Ubisoft Paris","Ubisoft","November 5, 2019",""
"Just Dance 2021","Ubisoft Paris","Ubisoft","November 12, 2020",""
"Just Dance 2022","Ubisoft Paris","Ubisoft","November 4, 2021",""
"Just Dance 2023 Edition","Ubisoft Paris","Ubisoft","November 22, 2022",""
"Just Die Already","DoubleMoose","Curve Digital","May 20, 2021",""
"Just Glide","Cool Small Games","Cool Small Games","January 23, 2020","[167]"
"Just Ignore Them","Stranga Games","Ratalaika Games","October 18, 2019","[179][180]"
"Just Shapes & Beats","Berzserk Studio","Berzserk Studio","May 31, 2018",""
"Justice League: Cosmic Chaos","PHL Collective","Outright Games","March 10, 2023",""
"Jydge","10tons","10tons","October 19, 2017",""
"Kaiji: Steel Beam Crossing of Despair","Solid Sphere","Solid Sphere","December 28, 2017",""
"Kaleidoscope of Phantom Prison","07th Expansion","Entergram","TBA",""
"Kamen Rider: Climax Scramble Zi-O","Bandai Namco Studios","Bandai Namco Entertainment","November 29, 2018",""
"Kamen Rider: Memory of Heroez","Bandai Namco","Bandai Namco","October 29, 2020",""
"Kamiko","Skipmore","Flyhigh Works","April 13, 2017",""
"Kaminazo: Mirai kara no Omoi de","Gift Ten Industry","DelightWorks","November 28, 2019","[181]"
"Kamiwaza: Way of the Thief","Acquire","JP: AcquireWW: NIS America","October 11, 2022","[182]"
"Kanon","Key","Prototype","April 20, 2023",""
"Kansei: The Second Turn HD","Sakevisual","Ratalaika Games","January 14, 2022",""
"Kao the Kangaroo","Tate Multimedia","Tate Multimedia","May 27, 2022",""
"Katamari Damacy Reroll","Bandai Namco Studios","Bandai Namco Entertainment","December 7, 2018",""
"Katana Kami: A Way of the Samurai Story","Acquire","Spike Chunsoft","February 20, 2020","[183]"
"Katana Zero","Askiisoft","Devolver Digital","April 18, 2019",""
"Kathy Rain","Clifftop Games","Raw Fury","October 26, 2021",""
"Kawaii Deathu Desu","Pippin Games, Top Hat Studios","EastAsiaSoft","April 16, 2020","[184][185]"
"Kaze and the Wild Masks","PixelHive","Soedesco","March 26, 2021","[186]"
"Keen: One Girl Army","Cat Nigiri","Phoenixx","July 2, 2020","[187][188]"
"Keep Talking and Nobody Explodes","Steel Crate Games","Steel Crate Games","August 16, 2018",""
"Keiji J.B. Harold no Jikenbo: Manhattan Requiem","Mebius","Mebius","October 26, 2017","[189]"
"Keiken Zero na Classmate","Prekano","Entergram","October 28, 2021","[190]"
"Kentucky Route Zero: TV Edition","Cardboard Computer","Annapurna Interactive","January 28, 2020",""
"Kero Blaster","Studio Pixel","Playism","August 23, 2018",""
"KeyWe","Stonewheat & Sons","JP: Game Source EntertainmentWW: Sold Out","August 31, 2021","[191]"
"Kholat","Imgn Pro","Imgn Pro","May 14, 2020",""
"Kid Tripp","Four Horses","JP: Rainy FrogWW: Four Horses","November 23, 2017","[192]"
"The Kids We Were: Complete Edition","Gagex","Gagex","January 26, 2022","[193][194]"
"#killallzombies","Beatshapers","Beatshapers","January 24, 2019",""
"Kill It With Fire","Case Donnella Games","tinyBuild","March 4, 2021",""
"Kill la Kill: If","A+ Games","WW: Arc System WorksPAL: PQube","July 25, 2019",""
"Killer Frequency","Team17","Team17","June 1, 2023",""
"Killer Queen Black","Bumblebear Games","Bumblebear Games","October 11, 2019",""
"Kimi wa Yukima ni Koinegau","Idea Factory","JP: Idea FactoryWW: Aksys Games","July 29, 2021","[195]"
"Kine","Gwen Frey","Gwen Frey","October 17, 2019","[196]"
"King of the Hat","Hyroglyphik Games","Hyroglyphik Games","TBA","[197]"
"King Lucas","Hidden Trap","Hidden Trap","February 21, 2020","[23][198]"
"King Oddball","10tons","10tons","October 30, 2017","[199]"
"King of Fighters R-2","Code Mystics","SNK","August 6, 2020",""
"King of Seas","3DClouds","Team17","May 25, 2021","[200]"
"The King's Bird","Serenity Forge","Graffiti Games","February 12, 2019",""
"King's Bounty II","1C Company","Prime Matter","August 24, 2021",""
"Kingdom: New Lands","Noio and Licorice","Raw Fury","September 13, 2017",""
"Kingdom: Two Crowns","Noio and Licorice","Raw Fury","December 11, 2018",""
"Kingdom Come: Deliverance","Warhorse Studios, Saber Interactive","Prime Matter","TBA",""
"Kingdom Hearts III","Square Enix","Square Enix","February 10, 2022",""
"Kingdom Hearts HD 1.5 Remix","Square Enix","Square Enix","February 10, 2022",""
"Kingdom Hearts HD 2.5 Remix","Square Enix","Square Enix","February 10, 2022",""
"Kingdom Hearts HD 2.8 Final Chapter Prologue","Square Enix","Square Enix","February 10, 2022",""
"Kingdom Hearts: Melody of Memory","Square Enix","Square Enix","November 11, 2020",""
"Kingdom of Arcadia","Spoonbox Studio","EastAsiaSoft","April 14, 2021",""
"Kingdom of Night","Black Seven Studios","Dangen Entertainment","2022",""
"Kingdom Rush: Frontiers","Ironhide Game Studio","Ironhide Game Studio","February 27, 2020",""
"Kingdoms of Amalur: Re-Reckoning","Kaiko","THQ Nordic","March 16, 2021",""
"Kingpin: Reloaded","Slipgate Ironworks","3D Realms, Interplay","TBA",""
"Kings of Paradise","Voltage","Voltage","May 27, 2021","[201]"
"Kin'iro Loveriche","Saga Planets","Entergram","February 25, 2021",""
"Kin'iro Loveriche: Golden Time","Saga Planets","Entergram","February 25, 2021",""
"Kirby and the Forgotten Land","HAL Laboratory","Nintendo","March 25, 2022",""
"Kirby Fighters 2","HAL Laboratory, Vanpool","Nintendo","September 23, 2020",""
