"Title","Developer(s)","Publisher(s)","Regions released","","","Ref."
"Brunswick Circuit Pro Bowling","Adrenalin Entertainment","THQ","Unreleased","November 1998","September 30, 1998",""
"Brunswick Circuit Pro Bowling 2","Adrenalin Entertainment","THQ","Unreleased","March 2000","February 10, 2000",""
"Bubble Bobble featuring Rainbow Islands","Probe Entertainment","Acclaim","Unreleased","October 1996","September 6, 1996",""
"Bubsy 3D","Eidetic Inc","Accolade","Unreleased","August 1997","November 26, 1996",""
"Buckle Up!","Shangri-La","Shangri-La","January 29, 1998","Unreleased","Unreleased",""
"Bug Riders","GT Interactive","n-Space","Unreleased","1998","January 11, 1997",""
"A Bug's Life","Traveller's Tales","SCEANA, SCEEPAL, KonamiJP","February 1999","October 28, 1998","November 18, 1998",""
"A Bug's Life Activity Centre","Disney Interactive Studios","SCEE","Unreleased","December 1, 1999","Unreleased",""
"Bugs Bunny: Lost in Time","Behaviour Interactive","Infogrames","Unreleased","June 29, 1999","June 15, 1999",""
"Bugs Bunny & Taz: Time Busters","Artificial Mind & Movement","Infogrames","Unreleased","November 24, 2000","December 29, 2000",""
"Builder's Block•Land MakerJP,PAL","Taito","Jaleco","December 9, 1999","September 30, 2000","December 7, 2000",""
"Building Crush!","Shoeisha","Shoeisha","October 25, 1999","Unreleased","Unreleased",""
"Burger Burger","Rytmix","Gaps","November 27, 1997","Unreleased","Unreleased",""
"Burger Burger 2","Biox","Gaps","July 15, 1999","Unreleased","Unreleased",""
"Burning Road","TokaJP","Funsoft","January 31, 1997","November 15, 1996","September 30, 1996",""
"Burstrick Wake Boarding!!•Simple 1500 Series Vol. 83: The Wake Board - Burstrick Wake BoardingJP","Metro","MetroJP, JVC Music EuropePAL, Natsume Inc.NA","July 6, 2000","February 28, 2001","February 28, 2001",""
"Bushido Blade","Square","Sony Computer Entertainment","March 14, 1997","February 1, 1998","October 1, 1997",""
"Bushido Blade 2","Square, Light Weight","Square, Square EA","March 19, 1998","Unreleased","October 1, 1998",""
"Bust a Groove•Bust a MoveJP","Metro Graphics","SCEE","January 29, 1998","November 25, 1998","November 15, 1998",""
"Bust a Groove 2•Bust a Move 2JP","Metro Graphics","SCEE","April 15, 1999","Unreleased","March 31, 1999",""
"Bust-A-Move 2: Arcade Edition•Puzzle Bobble 2JP","Taito","Acclaim","March 29, 1996","August 1996","June 1996",""
"Bust-A-Move 3 DXPAL•Bust-A-Move '99NA•Puzzle Bobble 3 DXJP","Taito","Acclaim","November 6, 1997","February 27, 1998","March 1, 1999",""
"Bust-A-Move 4•Puzzle Bobble 4JP•Simple 1500 Series Vol. 93: The Puzzle Bobble - Puzzle Bobble 4JP","Taito","Acclaim","August 6, 1998","April 15, 1999","October 31, 1998",""
"Buster Bros. Collection•Super Pang CollectionJP,PAL","Mitchell Corporation","Capcom","March 14, 1997","June 1998","May 20, 1997",""
"Butagee de Iin Janai?","Shangri-La","Shangri-La","February 26, 1998","Unreleased","Unreleased",""
"Buttsubushi","Phoenix GamesPAL, SelenJP","Phoenix GamesPAL, SelenJP","March 15, 2001","August 13, 2004","Unreleased",""
"Buzz Lightyear of Star Command•Les Aventures de Buzz l'éclairFR","Traveller's Tales","Activision","Unreleased","February 2, 2001","October 11, 2000",""
"C-12: Final Resistance","SCE Studio Cambridge","SCEE","Unreleased","April 6, 2001","July 22, 2002",""
"C1 Circuit","Invex","Invex","October 4, 1996","Unreleased","Unreleased",""
"C3 Racing•Max Power Racing","Eutechnyx","Infogrames","Unreleased","1998","Unreleased",""
"C: The Contra Adventure","Appaloosa Interactive","Konami","Unreleased","Unreleased","September 1, 1998",""
"Cabela's Big Game Hunter: Ultimate Challenge","Coresoft","Activision","Unreleased","Unreleased","December 4, 2001",""
"Cabela's Ultimate Deer Hunt: Open Season","Coresoft","Activision","Unreleased","Unreleased","October 30, 2002","[58]"
"Cadillac","Hect","Hect","May 27, 1999","Unreleased","Unreleased",""
"Caesars Palace","Interplay","Interplay","Unreleased","January 1998","August 28, 1997",""
"Caesar's Palace 2000","Runecraft","Interplay Entertainment Corp.","Unreleased","June 16, 2000","June 29, 2000",""
"Caesar's Palace II","Runecraft","Interplay Entertainment Corp.","Unreleased","Unreleased","October 15, 1998",""
"Calamity Adventure 1: The Natural World","Lightspan","Lightspan","Unreleased","Unreleased","1997",""
"Calamity Adventure 2: People and Traditions","Lightspan","Lightspan","Unreleased","Unreleased","1997",""
"Calamity Adventure 3: Around the World","Lightspan","Lightspan","Unreleased","Unreleased","1997",""
"Calcolo!","Clef","Clef","November 6, 1997","Unreleased","Unreleased",""
"California Surfing","Midas Interactive","Midas Interactive","Unreleased","December 13, 2001","Unreleased",""
"California Watersports","Theyer GFX","Midas Interactive","Unreleased","March 30, 2001","Unreleased",""
"Cali's Geo Tools","Lightspan","Lightspan","Unreleased","Unreleased","1997",""
"Capcom Generation 1: Dai 1 Shuu Gekitsuiou no Jidai","Capcom","Capcom","August 27, 1998","Unreleased","Unreleased",""
"Capcom Generation 2: Dai 2 Shuu Makai to Kishi","Capcom","Capcom","September 23, 1998","Unreleased","Unreleased",""
"Capcom Generation 3: Dai 3 Shuu Koko ni Rekishi Hajimaru","Capcom","Capcom","October 15, 1998","Unreleased","Unreleased",""
"Capcom Generation 4: Dai 4 Shuu Kokou no Eiyuu","Capcom","Capcom","November 12, 1998","Unreleased","Unreleased",""
"Capcom VS SNK: Pro","Capcom","Capcom","April 18, 2002","July 12, 2002","August 14, 2002",""
"Captain Commando","NEW Corporation","Capcom","September 17, 1998","Unreleased","Unreleased",""
"Captain Love!!","Rit's","Toshiba EMI","March 11, 1999","Unreleased","Unreleased",""
"Captain Tsubasa: Aratanaru Densetsu Joshou","WinkySoft","Konami","May 16, 2002","Unreleased","Unreleased",""
"Captain Tsubasa J: Get In The Tomorrow","Bandai","Bandai","May 3, 1996","Unreleased","Unreleased",""
"Car & Driver Presents: Grand Tour Racing '98•Total DrivinPAL•M6 Turbo RacingFR","Eutechnyx","ActivisionNA, Ocean SoftwarePAL, AtlusJP","April 23, 1998","October 15, 1997","September 30, 1997",""
"Card Games•Simple 1500 Series Vol. 44: The Card 2JP","Amedio","JP D3, NA Agetec Inc.","October 26, 2000","Unreleased","August 28, 2001",""
"Card II","Success","Success","September 22, 1999","Unreleased","Unreleased",""
"Cardcaptor Sakura: Clow Card Magic","Arika","Arika","January 27, 2000","Unreleased","Unreleased",""
"Cardinal Syn","Kronos Digital Entertainment","SCEE","Unreleased","June 1998","January 8, 1998",""
"Carmageddon","SCi","Ubisoft","Unreleased","October 1, 1999","Unreleased",""
"Carnage Heart","Artdink","SCEEPAL, SCEANA, ArtdinkJP","December 8, 1995","May 1997","January 10, 1997",""
"Carnage Heart EZ: Easy Zapping","Artdink","Artdink","July 24, 1997","Unreleased","Unreleased",""
"Carom Shot","Agenda","Argent","April 25, 1997","Unreleased","Unreleased",""
"CART World Series","SCEA","SCEE","Unreleased","March 28, 1998","September 16, 1997",""
"Casper","Funcom","Interplay","Unreleased","October 1996","September 27, 1996",""
"Casper - Friends Around the World","Realtime Associates","Sound Source","Unreleased","December 15, 2000","November 14, 2000",""
"Castlevania Chronicles•Castlevania Chronicle: Akumajou DraculaJP","Konami Digital Entertainment","Konami","May 24, 2001","November 9, 2001","October 9, 2001",""
"Castlevania: Symphony of the Night•Akumajou Dracula X: Nocturne in the MoonlightJP","Konami","Konami","March 20, 1997","November 1, 1997","October 15, 1997",""
"Castrol Honda Superbike Racing","Midas Interactive Entertainment","NA Electronic Arts, PAL THQ, JP Success","May 25, 2000","October 13, 2000","April 30, 1999",""
"Castrol Honda VTR","Interactive Entertainment","Midas InteractivePAL, SuccessJP","October 25, 2001","February 9, 2001","Unreleased",""
"Catan - Die erste Insel (German)","Similis","Ravensburger Interactive Media GmbH","Unreleased","March 2001","Unreleased",""
"The Cat in the Hat","NewKidCo","DC Studios","Unreleased","Unreleased","April 23, 2004",""
"Cat the Ripper: Jyusanninme no Tanteishi","Tonkin House","Tonkin House","July 17, 1997","Unreleased","Unreleased",""
"Catch! Kimochi Sensation","Pandora Box","Pandora Box","August 10, 2000","Unreleased","Unreleased",""
"Celebrity Deathmatch","Big Ape Productions","Gotham Games","Unreleased","2003","October 21, 2003",""
"Centipede","Leaping Lizard Software, Real Sports Games","Hasbro Interactive (Under the Atari Interactive Label)","Unreleased","November 22, 1999","June 1, 1999",""
"Champion Wrestler: Jikkyou Live","Taito","Taito","February 16, 1996","Unreleased","Unreleased",""
"CG Mukashi Banashi: Jiisan 2-do Bikkuri!!","Axes Art Amuse","Idea Factory","March 8, 1996","Unreleased","Unreleased",""
"Championship Bass","EA Seattle","Electronic Arts","Unreleased","March 31, 2000","March 7, 2000",""
"Championship Manager Quiz","King of the Jungle","Eidos Interactive","Unreleased","November 30, 2001","Unreleased",""
"Championship Motocross featuring Ricky Carmichael","Funcom Dublin","THQ","Unreleased","July 31, 1999","September 13, 1999",""
"Championship Motocross 2001 featuring Ricky Carmichael","Funcom Dublin","THQ","Unreleased","April 6, 2001","February 1, 2001",""
"Championship Surfer","Krome Studios","Mattel","Unreleased","October 19, 2001","December 2, 2000",""
"Chaos Break","Eon","TaitoJP, EonPAL","January 27, 2000","December 8, 2000","Unreleased",""
"Chaos Control","Infogrames","Virgin Interactive","October 4, 1996","Unreleased","Unreleased",""
"Charumera","Bits Laboratory","Victor Interactive Software","November 25, 1999","Unreleased","Unreleased",""
"Checkmate•Checkmate IIEU","Altron","Midas InteractivePAL, AltronJP","June 18, 1998","April 12, 2001","Unreleased",""
"Cheesy","CTA Developments","Ocean SoftwarePAL, JalecoJP","July 24, 1997","November 15, 1996","Unreleased",""
"Chess","Success","A1 GamesNA, SuccessJP","November 29, 2001","Unreleased","November 29, 2001",""
"Chess & Reversi","Yuki","DigiCube","January 24, 2002","Unreleased","Unreleased",""
"Chess 2000","Oxford Softworks","Unbalance","April 6, 2000","Unreleased","Unreleased",""
"Chessmaster II","Starsphere Interactive","Mindscape","Unreleased","October 15, 1999","September 27, 1999",""
"The Chessmaster 3-D•The ChessmasterJP","Mindscape, Altron","Mindscape","November 1, 1996","July 1996","January 17, 1996",""
"Chibi Maruko-Chan: Maruko Enikki World","KID","Takara","December 22, 1995","Unreleased","Unreleased",""
"Chibi-Chara Game Gingaeiyu Densetsu","Tokuma Shoten","Tokuma Shoten","May 27, 1999","Unreleased","Unreleased",""
"Chicken Run","Blitz Games","Eidos Interactive","Unreleased","November 24, 2000","November 1, 2000",""
"Chiisana Kyojin Microman","Wavedge","Takara","March 11, 1999","Unreleased","Unreleased",""
"Chiisana Oukoku Eltoria","KSS","KSS","June 29, 2000","Unreleased","Unreleased",""
"Chill","Silicon Dreams Studio","Eidos Interactive","Unreleased","April 1998","Unreleased",""
"China: The Forbidden City","Cryo Interactive, Canal+Multimedia, Réunion des Musées Nationaux","Cryo Interactive","Unreleased","1999","Unreleased",""
"Chinmoku no Kantai","Opera House","Kodansha","September 28, 2000","Unreleased","Unreleased",""
"Chō Aniki: Kyūkyoku Muteki Ginga Saikyō Otoko","Pre-Stage","Masaya","December 29, 1995","Unreleased","Unreleased",""
"Cho-Nazo-Oh","Bandai","Bandai Visual","January 27, 2000","Unreleased","Unreleased",""
"Chocobo Collection","Square, ParityBit, Denyusha Co.","Square","December 22, 1999","Unreleased","Unreleased",""
"Chocobo Racing","Square Co","SCEE","March 18, 1999","October 11, 1999","August 10, 1999",""
"Chocobo's Dungeon 2NA•Chokobo no Fushigi na Danjon 2JP","SquareSoft","Square EA","December 23, 1998","Unreleased","January 1, 2000",""
"Chocobo no Fushigi na Dungeon","Square","Square","December 23, 1997","Unreleased","Unreleased",""
"Chocobo Stallion","Square Co","Square Co","December 22, 1999","Unreleased","Unreleased",""
"Chocolate Kiss","Infinity","DigiCube","February 14, 2002","Unreleased","Unreleased",""
"Choro Q•Penny RacersPAL","Tamsoft","TakaraJP, SCEEPAL","March 22, 1996","October 6, 1996","Unreleased",""
"Choro Q 2","Takara","Takara","February 21, 1997","Unreleased","Unreleased",""
"Choro Q 3","Takara","Takara","February 19, 1998","Unreleased","Unreleased",""
"Choro Q Jet: Rainbow Wings","C-Lab","Takara","February 26, 1998","Unreleased","Unreleased",""
"Choro Q Marine: Q-Boat","Takara","Takara","June 25, 1998","Unreleased","Unreleased",""
"Choro Q Wonderful!","Takara","Takara","August 5, 1999","Unreleased","Unreleased",""
"Chō Hatsumei Boy Kanipan: Hirameki☆Wonderland","Quintet","Taito","September 30, 1999","Unreleased","Unreleased",""
"Chou Jiryoku Senshi Microman: Generation 2000","Barnhouse Effect","Takara","December 16, 1999","Unreleased","Unreleased",""
"Chou Mashin Eiyuuden Wataru: Another Step","Aspect","Banpresto","April 23, 1998","Unreleased","Unreleased",""
"Chou Sentou Kyuugi Vanborg","Avit","Hect","February 18, 1999","Unreleased","Unreleased",""
"Chou-Kousoku GranDoll","Emotion Digital Software","Bandai","July 24, 1997","Unreleased","Unreleased",""
"Choujin Gakuen Gowcaizer","Urban Plant","Urban Plant","July 17, 1997","Unreleased","Unreleased",""
"Chris Kamara's Street Soccer","Pixel Storm","Midas Interactive","Unreleased","August 25, 2000, September 1, 2000","Unreleased",""
"Chronicles of the Sword","Synthetic Dimensions","Psygnosis","Unreleased","Unreleased","November 27, 1996",""
"Chrono Cross","SquareSoft","SquareSoftJP, Square EANA","November 18, 1999","Unreleased","August 15, 2000",""
"Chrono Trigger","TOSE","SquareSoft","November 2, 1999","Unreleased","June 21, 2001",""
"Chuushingura","Toei","Toei","January 29, 1998","Unreleased","Unreleased",""
"Cindy's Caribbean Holiday","Phoenix Games","Phoenix Games","Unreleased","January 2003","Unreleased",""
"Cindy's Fashion World","Phoenix Games","Phoenix Games","Unreleased","January 2003","Unreleased",""
"Circadia","Alvion","SCEI","January 14, 1999","Unreleased","Unreleased",""
"Circuit Beat","Prism Arts","Prism Arts","May 17, 1996","Unreleased","Unreleased",""
"Circuit Breakers","Supersonic","Mindscape","Unreleased","July 1998","July 31, 1998",""
"City Bravo!","Altron","Altron","January 10, 1997","Unreleased","Unreleased",""
"City Bravo! Business Hen","Altron","Altron","July 27, 2000","Unreleased","Unreleased",""
"The City of Lost Children","Psygnosis","Psygnosis","Unreleased","June 1997","May 31, 1997",""
"Civilization","Microprose","Asmik Ace Entertainment, Inc","April 26, 1996","Unreleased","Unreleased",""
"Civilization II","Alpha Unit","Human EntertainmentJP, ActivisionPAL,NA","December 23, 1998","January 1, 1999","December 31, 1998",""
"Civizard: Majutsu no Keifu","Opera House","Asmik Ace Entertainment, Inc","January 17, 1997","Unreleased","Unreleased",""
"Classic Road","Victor Interactive Software","Victor Interactive Software","December 15, 1995","Unreleased","Unreleased",""
"Classic Road 2","[[[Victor Interactive Software]]","Victor Interactive Software","April 1, 1999","Unreleased","Unreleased",""
"Classic Road Yuushun 2","Victor Interactive Software","Victor Interactive Software","April 2, 1998","Unreleased","Unreleased",""
"Cleopatra's Fortune","Altron","Midas Interactive","May 17, 2001","February 7, 2003","May 16, 2003",""
"Click Medic","Game Freak","Sony Music Entertainment Japan","January 28, 1999","Unreleased","Unreleased",""
"Clock Tower","Human Entertainment","ASCII Entertainment","December 13, 1996","February 1998","January 10, 1997",""
"Clock Tower: The First Fear","Human Entertainment","ASCII Entertainment","July 17, 1997","Unreleased","Unreleased",""
"Clock Tower II: The Struggle Within","Human Entertainment","Human Entertainment, Agetec","March 12, 1998","Unreleased","November 2, 1999",""
"ClockWerx","Axes Art Amuse","Tokuma Shoten","July 26, 1996","Unreleased","Unreleased",""
"Cocktail Harmony•Cocktail no RecipeJP","Astroll","Astroll","September 10, 1998","Unreleased","Unreleased",""
"Codename: Tenka•Lifeforce TenkaPAL","Psygnosis","SCEANA, PsygnosisPAL","Unreleased","July 1997","May 31, 1997",""
"Colin McRae Rally","Codemasters","Codemasters","Unreleased","July 15, 1998","March 1, 2000",""
"Colin McRae Rally 2.0","Codemasters","Codemasters","Unreleased","September 6, 2000","December 5, 2000",""
"College Slam","Iguana Entertainment","Acclaim","Unreleased","Unreleased","February 10, 1996",""
"Colony Wars","Psygnosis","Psygnosis","Unreleased","November 5, 1997","October 31, 1997",""
"Colony Wars: Red Sun","Psygnosis","SCEE","Unreleased","May 2, 2000","April 12, 2000",""
"Colony Wars: Vengeance","Psygnosis","Psygnosis","Unreleased","November 13, 1998","October 15, 1998",""
"Combi Mahjong Awaseuchi with Maboroshi Tsukiyo Characters","Gaps","Gaps","June 1, 2000","Unreleased","Unreleased",""
"Covert Ops: Nuclear Dawn•Chase the ExpressJP","Sugar & Rockets Inc., Tyo Entertainment","SCEE","January 27, 2000","September 8, 2000","May 31, 2000",""
"Combat Choro Q","Barnhouse Effect","Takara","February 25, 1999","Unreleased","Unreleased",""
"Colorful Logic","Altron","Altron","June 22, 2000","Unreleased","Unreleased",""
"Colorful Logic 2","Altron","Altron","January 18, 2001","Unreleased","Unreleased",""
"Colorful Logic 3","Altron","Altron","July 12, 2001","Unreleased","Unreleased",""
"Combination Pro Soccer","Kuusoukagaku","Axela","June 18, 1998","Unreleased","Unreleased",""
"Command & Conquer","Westwood Studios","Virgin Interactive","Unreleased","December 1996","March 10, 1997",""
"Command & Conquer: Red Alert","Westwood Studios","Virgin Interactive, EA Games (Platinum Re-Release)","April 16, 1998","November 1997","October 15, 1997",""
"Command & Conquer Red Alert: Retaliation (Expansion)","Westwood Studios","Virgin Interactive","Unreleased","September 1998","August 28, 1998",""
"Community Pom","Fill-in-Cafe","Fill-in-Cafe","October 30, 1997","Unreleased","Unreleased",""
"Community Pom: Omoide o Dakishimete","Family Soft","Family Soft","June 24, 1999","Unreleased","Unreleased",""
"Complete Onside Soccer•Zinedine Zidane FootballFR","MotiveTime","TelstarPAL, IchikawaJP","January 29, 1998","June 1996","Unreleased",""
"Constructor","System 3","Acclaim","Unreleased","1998","Unreleased",""
"Contender•Victory Boxing 2UK•Victory Boxing ContenderPAL•Dynamite BoxingJP","Victor Interactive Software","SCEANA","May 21, 1998","October 1998","January 13, 1999",""
"Contender 2•Victory Boxing ChallengerPAL•Funky BoxersJP","Bam Entertainment","Bam Entertainment","November 28, 2002","October 12, 2000","December 19, 2000",""
"Contra: Legacy of War","Appaloosa Interactive","Konami","Unreleased","March 30, 1997","November 29, 1996",""
"Conveni: Ano Machi wo Dokusen Seyo","Human Entertainment","Human Entertainment","March 28, 1997","Unreleased","Unreleased",""
"Conveni 2: Zenkoku Chain Tenkai da!","Human Entertainment","Human Entertainment","December 18, 1997","Unreleased","Unreleased",""
"The Conveni Special","Masterpiece","Artdink","March 12, 1998","Unreleased","Unreleased",""
"Cool Boarders","UEP Systems","SCEE","August 30, 1996","January 9, 1997","December 31, 1996",""
"Cool Boarders 2","UEP Systems","SCEE","August 28, 1997","February 1, 1998","November 11, 1997",""
"Cool Boarders 3","989 Studios, Idol Minds","SCEE","November 28, 1998","November 15, 1998","October 30, 1998",""
"Cool Boarders 4","Idol Minds","SCEE","March 9, 2000","February 25, 2000","October 26, 1999",""
"Cool Boarders 2001","Idol Minds","SCEE","Unreleased","Unreleased","October 23, 2000",""
"Cosmic Cookoff: Language Arts","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Cosmic Cookoff: Mathematics","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Cosmic Race","Neorex","Neorex","January 20, 1995","Unreleased","Unreleased",""
"Cosmowarrior Zero","Taito","Taito","May 18, 2000","Unreleased","Unreleased",""
"Cotton 100%","Success","Success","March 27, 2003","Unreleased","Unreleased",""
"Cotton Original","Success","Success","April 28, 1999","Unreleased","Unreleased",""
"Countdown Vampires","K2 LLC","Bandai","December 22, 1999","Unreleased","January 8, 2000",""
"Courier Crisis","New Level Software","GT Interactive","Unreleased","November 1997","November 30, 1997",""
"Chase The Express","Sugar & Rockets","JP/EU: Sony Computer Entertainment NA: Activision","January 27, 2000","June 14, 2000","September 8, 2000",""
"Cowboy Bebop","Bandai","Bandai","May 14, 1998","Unreleased","Unreleased",""
"Cranky Pro","Syscom","Syscom","October 2, 1997","Unreleased","Unreleased",""
"Crash Bandicoot","Naughty Dog","SCEEPAL, SCEAUS","December 6, 1996","November 2, 1996","September 9, 1996","[59]"
"Crash Bandicoot 2: Cortex Strikes Back","Naughty Dog","SCEEPAL, SCEAUS","December 18, 1997","December 6, 1997","October 15, 1997","[59]"
"Crash Bandicoot: Warped","Naughty Dog","SCEEPAL, SCEAUS","December 17, 1998","December 5, 1998","November 15, 1998","[59]"
"Crash Team Racing","Naughty Dog","SCEEPAL, SCEAUS","December 16, 1999","October 20, 1999","October 1, 1999",""
"Crash Bash","Eurocom","SCEEPAL, SCEAUS","December 14, 2000","December 1, 2000","November 10, 2000",""
"Crayon Shin-chan","Bandai","Bandai","November 29, 2001","Unreleased","Unreleased",""
"Crazy Balloon 2000","Success","Success","October 26, 2000","Unreleased","Unreleased",""
"Crazy Climber 2000","ISCO","Nihon Bussan","February 3, 2000","Unreleased","Unreleased",""
"Creative Camp","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Creative Isle","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Creative Journey","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Creative Voyage","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Creatures","Creature Labs","Swing Entertainment","Unreleased","Unreleased","May 18, 2002",""
"Creatures 3: Raised in Space","Elo Interactive","Play It","Unreleased","January 30, 2003","May 14, 2003",""
"Creature Shock","Interactive Studios","Data East","August 23, 1996","Unreleased","Unreleased",""
"Cricket 2000","Krisalis Software","Electronic Arts","Unreleased","March 2000","Unreleased",""
"Crime Crackers","Media.Vision","SCEI","December 3, 1994","Unreleased","Unreleased",""
"Crime Crackers 2","Media.Vision","SCEI","November 27, 1997","Unreleased","Unreleased",""
"Crime Killer","Pixelogic","Interplay Entertainment","Unreleased","June 26, 1998","June 30, 1998",""
"Crisis Beat","Studio 3PAL, BandaiJP","Virgin Interactive, Play It (2003 Re-Release)","July 18, 1998","July 31, 2000","Unreleased",""
"Crisis City","Takara","Takara","June 4, 1998","Unreleased","Unreleased",""
"Critical Blow","Racdym","Banpresto","December 4, 1997","Unreleased","Unreleased",""
"Critical Depth","SingleTrac","GT Interactive","Unreleased","December 1999","November 22, 1997",""
"Criticom","Kronos Digital Entertainment","Vic Tokai","October 4, 1996","November 29, 1995","November 15, 1995",""
"Croc: Legend of the Gobbos","Argonaut Games","Fox Interactive, EA Games","Unreleased","September 15, 1997","September 1, 1997",""
"Croc 2","Argonaut Games","Fox Interactive","September 2, 1999","August 3, 1999","August 15, 1999",""
"Croket! Kindan no Kinka Box","Konami","Konami","March 20, 2003","Unreleased","Unreleased",""
"Crossroad Crisis","Success","A1 Games","Unreleased","Unreleased","August 17, 2001",""
"Cross Romance: Koi to Mahjong to Hanafuda to","Nihon Bussan","Nihon Bussan","March 28, 1997","Unreleased","Unreleased",""
"Cross Tantei Monogatari","WorkJam","WorkJam","October 21, 1999","Unreleased","Unreleased",""
"Cross Tantei Monogatari 1: Kouhen","WorkJam","WorkJam","October 28, 2000","Unreleased","Unreleased",""
"Cross Tantei Monogatari 1: Zenpen","WorkJam","WorkJam","September 28, 2000","Unreleased","Unreleased",""
"Crossword","Success","Success","January 27, 2000","Unreleased","Unreleased",""
"Crossword 2","Success","Success","November 30, 2000","Unreleased","Unreleased",""
"Crossword 3","Success","Success","May 24, 2001","Unreleased","Unreleased",""
"The Crow: City of Angels","Gray Matter","Acclaim","April 25, 1997","April 1997","February 28, 1997",""
"Crusader: No Remorse","Realtime Associates","EA","Unreleased","March 1997","December 31, 1996",""
"Crusaders of Might and Magic","The 3DO Company","The 3DO Company","Unreleased","February 15, 2000","February 15, 2000",""
"CRW: Counter Revolution War","Natsu System","Acclaim Japan","August 30, 1996","Unreleased","Unreleased",""
"Crypt Killer•Henry ExplorerJP","Konami","Konami","March 7, 1997","May 1997","May 3, 1997",""
"CT Special Forces","Light and Shadow Productions","Hip Interactive","Unreleased","February 23, 2004","Unreleased",""
"CT Special Forces: Back To Hell•Elite Squad","LSP","LSP","Unreleased","August 15, 2004","Unreleased",""
"CT Special Forces 3: Bioterror","The Code Monkeys","LSP","Unreleased","December 15, 2004","Unreleased",""
"Cu-On-Pa","T&E Soft","T&E Soft","October 9, 1997","Unreleased","Unreleased",""
"Cubix - Robots for Everyone: Race 'N Robots","The 3DO Company","Blitz Games","Unreleased","Unreleased","November 9, 2001",""
"Culdcept Expansion","Media Factory","Media Factory","May 1, 1999","Unreleased","Unreleased",""
"Culdcept Expansion Plus","Media Factory","Media Factory","November 30, 2000","Unreleased","Unreleased",""
"Curiosity kills the cat? (Koukishin wa Neko o Korosuka)","Eyst Pty. Ltd.","ASCII","November 26, 1998","Unreleased","Unreleased",""
"The Curling","Success","Success","July 1, 1999","Unreleased","Unreleased",""
"Cyberbots: Full Metal Madness","OeRSTED","Capcom","December 25, 1997","Unreleased","Unreleased",""
"Cyber Daisenryaku: Shutsugeki! Haruka-tai","Alfa System","SystemSoft","February 4, 1999","Unreleased","Unreleased",""
"Cyber Egg: Battle Champion","Bandai","Bandai","December 18, 1997","Unreleased","Unreleased",""
"Cyberia","Xatrix Entertainment","Interplay","February 16, 1996","August 1996","January 2, 1996",""
"Cybernetic Empire","Wolf Team, Nippon Telenet","Telenet Japan","August 5, 1999","Unreleased","Unreleased",""
"Cyber Org","Squaresoft","Squaresoft","April 22, 1999","Unreleased","Unreleased",""
"Cyber Sled","Namco","SCEE","January 27, 1995","November 1995","October 18, 1995",""
"Cyberspeed","Mindscape","Mindscape","Unreleased","December 7, 1995","September 15, 1995",""
"CyberTiger","EA","EA","Unreleased","December 3, 1999","November 6, 1999",""
"Cyberwar","Soft Vision","Coconuts Japan","July 21, 1995","Unreleased","Unreleased","[60]"
"Cyborg 009: The Block Kuzushi","Access","Bandai","October 10, 2002","Unreleased","Unreleased",""
"D","WARP","Acclaim","December 1, 1995","March 1996","February 3, 1996",""
"Dai-2-Ji Super Robot Taisen","WinkySoft","Banpresto","December 2, 1999","Unreleased","Unreleased",""
"Dai-3-Ji Super Robot Taisen","WinkySoft","Banpresto","December 22, 1999","Unreleased","Unreleased",""
"Dai-4-Ji Super Robot Taisen S","WinkySoft","Banpresto","January 26, 1996","Unreleased","Unreleased","[61]"
"Daibouken Deluxe: Harukanaru Umi","Soft Office","Soft Office","April 18, 1997","Unreleased","Unreleased",""
"Daikoukai Jidai II","Koei","Koei","December 27, 1996","Unreleased","Unreleased",""
"Daikoukai Jidai Gaiden","Koei","Koei","October 2, 1997","Unreleased","Unreleased",""
"Daikoukai Jidai IV","Koei","Koei","December 2, 1999","Unreleased","Unreleased",""
"Daiobake Yashiki","Visit","Visit","July 2, 1998","Unreleased","Unreleased",""
"Daisenryaku: Master Combat","Dual","Oz Club","December 3, 1998","Unreleased","Unreleased",""
"Daisenryaku: Player's Spirit","Dual","Oz Club","March 29, 1996","Unreleased","Unreleased",""
"Dakar '97","Elcom","Virgin Interactive","April 25, 1997","Unreleased","Unreleased",""
"The Dalmatians","The Code Monkeys","Midas Interactive","Unreleased","September 1, 2000","Unreleased",""
"Dalmatians 2","Phoenix Games","Phoenix Games","Unreleased","March 28, 2003","Unreleased",""
"DamDam StompLand","Atelier Double","Sony Music Entertainment Japan","December 4, 1997","Unreleased","Unreleased",""
"Dance! Dance! Dance!","Konami","Konami","December 3, 1998","Unreleased","Unreleased",""
"Dance Dance Revolution (Japan)","Konami","Konami","April 10, 1999","Unreleased","Unreleased",""
"Dance Dance Revolution","Konami","Konami","Unreleased","Unreleased","March 22, 2001",""
"Dance Dance Revolution 2ndReMix","Konami","Konami","August 26, 1999","Unreleased","Unreleased",""
