"Title","Genre(s)","Developer(s)","Publisher(s)","Release date","","","Addons","Ref."
"Acorn Assault: Rodent Revolution","Turn-based strategy","High Tale Studios","Black Shell Media","Unreleased","Jan 11, 2017","Jan 11, 2017","","[3]"
"Action Henk","Platform","RageSquid","Curve Digital","Unreleased","May 4, 2016","May 4, 2016","","[4]"
"Action News Heroes","Shoot 'em up","Krewe Studios","Krewe Studios","Unreleased","Jul 27, 2016","Jul 27, 2016","",""
"Active Soccer 2 DX","Sports","The Fox Software","The Fox Software","Unreleased","Mar 30, 2016","Mar 30, 2016","",""
"Active Soccer 2019","Sports","The Fox Software","The Fox Software","Unreleased","Oct 11, 2019","Oct 11, 2019","",""
"Adam's Venture: Origins","Adventure","Soedesco","Soedesco","Apr 1, 2016","Apr 1, 2016","Apr 1, 2016","",""
"Adios Amigos","Action-adventure","Cosmic Picnic","Cosmic Picnic","Unreleased","Sep 12, 2018","Sep 12, 2018","X",""
"The Adventures of 00 Dilly","Physics puzzler","Caipirinha Games","Toplitz Productions","Feb 12, 2020","Feb 12, 2020","Feb 12, 2020","",""
"Adventures of Bertram Fiddle Ep 1: A Dreadly Business","Adventure","Rumpus Animation","Chorus Worldwide","May 7, 2019","May 8, 2019","May 7, 2019","",""
"The Adventures of Elena Temple","Platformer, Retro","Grimtalin","Grimtalin","Unreleased","Sep 27, 2019","Sep 27, 2019","",""
"Adventures of Pip","Platform","TicToc Games","TicToc Games","Unreleased","Aug 21, 2015","Aug 21, 2015","",""
"The Adventure Pals","Platformrole-playing","Massive Monster","Armor Games","Unreleased","Apr 3, 2018","Apr 3, 2018","",""
"Adventure Time: Finn & Jake Investigations","Action-adventure","Vicious Cycle Software","Little Orbit","Unreleased","Oct 20, 2015","Nov 6, 2015","",""
"Adventure Time: Pirates of the Enchiridion","Action-adventure","Climax Studios","Outright Games","Unreleased","Jul 17, 2018","Jul 17, 2018","",""
"Aeon Must Die!","Beat 'em up","Limestone Games","Focus Home Interactive","Oct 14, 2021","Oct 14, 2021","Oct 14, 2021","",""
"AER: Memories of Old","Adventure","Forgotten Key","Daedalic Entertainment","Unreleased","Oct 25, 2017","Oct 25, 2017","","[5]"
"AereA","Action role-playingmusic","Triangle Studios","Soedesco","Unreleased","Jun 30, 2017","Jun 30, 2017","",""
"Aery: Little Bird Adventure","Casual, action","Epixr","Epixr","Dec 20, 2019","Dec 20, 2019","Dec 20, 2019","X",""
"Aeterna Noctis","Metroidvania","Aeternum Game Studios","Aeternum Game Studios","Unreleased","Dec 15, 2021","Dec 15, 2021","","[6]"
"AeternoBlade","Action-adventure","Corecell Technology","Corecell Technology","Unreleased","Aug 30, 2017","Aug 30, 2017","",""
"AeternoBlade II","Action-adventure","Corecell Technology","Corecell Technology","Unreleased","Oct 11, 2019","Oct 11, 2019","","[7]"
"AEW Fight Forever","Sports","Yuke's","THQ Nordic","Jun 29, 2023","Jun 29, 2023","Jun 29, 2023","",""
"AFL Evolution","Sports","Wicked Witch Software","Tru Blu Entertainment","Unreleased","May 5, 2017","May 5, 2017","",""
"AFL Evolution 2","Sports","Wicked Witch Software","Tru Blu Entertainment","Apr 9, 2020","Apr 9, 2020","Apr 9, 2020","",""
"Aftercharge","Asymmetrical multiplayer shooter","Chainsawesome Games","Chainsawesome Games","Jan 10, 2019","Jan 10, 2019","Jan 10, 2019","",""
"Afterparty","Adventure","Night School Studio","Night School Studio","Oct 28, 2019","Oct 29, 2019","Oct 29, 2019","",""
"Agatha Christie – Hercule Poirot: The First Cases","Point-and-click adventure","Blazing Griffin","Microïds","Unreleased","Sep 28, 2021","Sep 28, 2021","",""
"Agatha Christie: The ABC Murders","Point-and-click adventure","Artefacts Studio","Microïds","Unreleased","Feb 23, 2016","Feb 4, 2016","",""
"Agatha Knife","Adventure","Mango Protocol","Mango Protocol","Unreleased","Apr 27, 2018","Apr 27, 2018","",""
"Age of Wonders: Planetfall","Strategy4X","Triumph Studios","Paradox Interactive","Unreleased","Aug 6, 2019","Aug 6, 2019","X",""
"Agent A: A Puzzle in Disguise","Adventure","Yak","Yak","Aug 29, 2019","Aug 29, 2019","Aug 29, 2019","X",""
"Agents of Mayhem","Open worldaction","Volition","Deep Silver","Unreleased","Aug 15, 2017","Aug 18, 2017","X",""
"Agents vs Villain","Party","Process","Process","Unreleased","Nov 7, 2018","Nov 7, 2018","",""
"Ages of Mages: The Last Keeper","Roguelikeaction role-playing","YFC Games","YFC Games","Feb 6, 2019","Feb 6, 2019","Feb 6, 2019","",""
"Aggelos","Retro action-adventure, metroidvania","Look At My Game","PQube","Jul 11, 2019","Jul 12, 2019","Jul 11, 2019","",""
"Ailment","Top-down shooter","BeardyBird Games","Epixr Games","Feb 21, 2020","Feb 21, 2020","Feb 21, 2020","X",""
"AIPD","Twin-stick shooter","Blazing Badger","Blazing Badger","Unreleased","Jan 29, 2016","Jan 29, 2016","","[8]"
"Air Guitar Warrior","Musicshooter","Virtual Air Guitar Company","Virtual Air Guitar Company","Unreleased","Mar 29, 2017","Mar 29, 2017","K",""
"Air Missions: Hind","Simulation","3Division Entertainment","3Division Entertainment","Unreleased","Jun 14, 2017","Jun 14, 2017","",""
"Airheart: Tales of Broken Wings","Shooter","Blindflug Studios","Blindflug Studios","Unreleased","Aug 14, 2018","Aug 14, 2018","X",""
"Akuatica: Turtle Racing","Racing","Tianyu Studio Software","Tianyu Studio Software","Unreleased","Nov 17, 2017","Nov 17, 2017","",""
"Alaloth: Champions of The Four Kingdoms","Actionrole-playing","Gamera Interactive","Gamera Interactive","Unreleased","2022","2022","",""
"Alan Wake Remastered","Action-adventure","Remedy Entertainment","Epic Games Publishing","Oct 5, 2021","Oct 5, 2021","Oct 5, 2021","",""
"Alba: A Wildlife Adventure","Adventure","Ustwo","Ustwo","Unreleased","Jun 9, 2021","Jun 9, 2021","",""
"Albedo: Eyes from Outer Space","Adventure","Z4G0","Merge Games","Unreleased","Jan 20, 2016","Jan 20, 2016","",""
"Albert and Otto","Puzzleplatformer","K Bros Games","Digerati","Unreleased","Jan 9, 2018","Jan 9, 2018","",""
"Alekhine's Gun","Actionstealth","Haggard Games","Maximum Games","Unreleased","May 1, 2016","May 25, 2016","",""
"Alex Kidd in Miracle World DX","Platform","Jankenteam","Merge Games","Unreleased","Jun 24, 2021","Jun 24, 2021","",""
"Alien: Isolation","Action-adventuresurvival horrorstealth","The Creative Assembly","Sega","Jun 11, 2015","Oct 7, 2014","Oct 7, 2014","",""
"Alien Cruise","Shoot 'em up","Cotton Games","E-Home Entertainment","Mar 27, 2019","Mar 27, 2019","Mar 27, 2019","X",""
"All-Star Fruit Racing","Kart racing","3D Clouds","PQube","Unreleased","Aug 21, 2018","Aug 21, 2018","",""
"Alluris","Role-playing","562 Studios","562 Studios","Oct 11, 2019","Oct 11, 2019","Oct 11, 2019","X",""
"Almost There: The Platformer","Platformer","The Quantum Astrophysicists Guild","The Quantum Astrophysicists Guild","Feb 19, 2019","Feb 19, 2019","Feb 19, 2019","",""
"Alteric","Platformer","Sometimes You","Sometimes You","Dec 7, 2018","Mar 30, 2018","Mar 29, 2018","",""
"Alvastia Chronicles","Japanese role-playing","Exe Create","Kemco","Jan 18, 2019","Jan 18, 2019","Jan 18, 2019","PA",""
"Alwa's Awakening","Action-adventuremetroidvania","Elden Pixels","Elden Pixels","Nov 5, 2019","Nov 5, 2019","Nov 5, 2019","","[9]"
"The Amazing American Circus","Business simulation","Juggler Games","Klabater","Unreleased","May 20, 2021","May 20, 2021","","[10]"
"Amazing Princess Sarah","Platform-adventure","Haruneko","Haruneko","Unreleased","Jan 29, 2016","Jan 29, 2016","",""
"The Amazing Spider-Man 2","Action-adventure","Beenox","Activision","Unreleased","Apr 29, 2014","May 16, 2014","",""
"American Fugitive","Open worldaction-adventure","Fallen Tree Games","Curve Digital","May 23, 2019","May 24, 2019","May 23, 2019","",""
"American Ninja Warrior: Challenge","Action","Gaming Corps","GameMill Entertainment","Unreleased","Mar 19, 2019","Unreleased","",""
"Amnesia: The Dark Descent","Horrorstealth","Frictional Games","Frictional Games","Unreleased","Sep 28, 2018","Sep 28, 2018","",""
"Amoeba Battle: Microscopic RTS Action","Strategyreal-time strategy","Grab Games","Grab Games","Mar 3, 2020","Mar 3, 2020","Mar 3, 2020","",""
"Among the Sleep","Survival horror","Krillbite Studio","Krillbite Studio","Unreleased","Jun 3, 2016","Jun 3, 2016","",""
"Among Us","Social deduction","Innersloth","Innersloth","Unreleased","Dec 14, 2021","Dec 14, 2021","",""
"Anamorphine","Adventure","Artifact 5","Artifact 5","Unreleased","TBA","TBA","",""
"Anarcute","Actionadventure","AnarTeam","AnarTeam","Unreleased","Jul 12, 2016","Jul 12, 2016","","[11]"
"Ancestors: The Humankind Odyssey","Survival","Panache Digital Games","Private Division","Dec 6, 2019","Dec 6, 2019","Dec 6, 2019","",""
"Ancestors Legacy","Real-time strategy","Destructive Creations","1C Company","Jul 1, 2019","Aug 13, 2019","Aug 13, 2019","",""
"AngerForce Reloaded","Shoot 'em up","E-Home Entertainment","E-Home Entertainment","Apr 2, 2019","Apr 2, 2019","Apr 2, 2019","",""
"Angry Birds Star Wars","Puzzlestrategy","Rovio EntertainmentExient Entertainment","Activision","Unreleased","Nov 22, 2013","Nov 22, 2013","",""
"The Angry Video Game Nerd I & II Deluxe","Platform","FreakZone Games","Screenwave Media","Unreleased","Oct 29, 2020","Oct 29, 2020","",""
"Anima: Gate of Memories","Action role-playing","Anima Project","Badland Games","Unreleased","Jun 3, 2016","Jun 3, 2016","",""
"Animal Super Squad","Platformracing","Doublemoose Games","Digerati","Unreleased","Feb 1, 2019","Feb 1, 2019","",""
"Animus: Stand Alone","Action role-playing","Tenbirds","Tenbirds","Aug 7, 2019","Aug 7, 2019","Aug 7, 2019","PA",""
"Ankora: Lost Days","Adventuresurvival","Chibig","Chibig","2022","2022","2022","","[12]"
"Anode","Puzzle","Kittehface Software","Kittehface Software","Unreleased","Aug 10, 2016","Unreleased","",""
"Anodyne","Action-adventure","Epiphany GamesAnalgesic Productions","Nnooo","Unreleased","Sep 21, 2018","Sep 21, 2018","",""
"Anodyne 2: Return to Dust","Action-adventure","Analgesic Productions","Ratalaika Games","Unreleased","Feb 18, 2021","Feb 18, 2021","",""
"Another Sight","Action-adventure","Lunar Great Wall Studios","Toplitz Productions","Jun 18, 2019","Jun 18, 2019","Jun 18, 2019","X",""
"Another World: 20th Anniversary Edition","Action-adventure","Martial Hesse-Dreville","The Digital Lounge","Unreleased","Jun 25, 2014","Jun 25, 2014","",""
"Anoxemia","Adventurepuzzle","BSK Group","BadLand Games","Unreleased","Mar 28, 2017","Mar 28, 2017","",""
"Anthem","Action role-playing","BioWare","Electronic Arts","Feb 22, 2019","Feb 22, 2019","Feb 22, 2019","X",""
"Antigraviator","Racing","Cybernetic Walrus","Iceberg Interactive","May 1, 2020","Jun 6, 2018","Jun 6, 2018","",""
"Antiquia Lost","Japanese role-playing","Exe Create","Kemco","Jun 19, 2019","Jun 19, 2019","Jun 19, 2019","",""
"AO Tennis","Sports","Big Ant Studios","Big Ant Studios","Unreleased","Apr 30, 2018","Apr 30, 2018","X",""
"AO Tennis 2","Sports","Big Ant Studios","Bigben Interactive","Unreleased","Feb 11, 2020","Jan 9, 2020","X",""
"Apocalipsis","Point & click adventure","Punch Punk Games","Klabater","Unreleased","Sep 6, 2019","Sep 6, 2019","",""
"Apollo Justice: Ace Attorney Trilogy","Adventurevisual novel","Capcom","Capcom","Jan 25, 2024","Jan 25, 2024","Jan 25, 2024","",""
"Aqua Kitty UDX: Xbox One Ultra Edition","Action-adventureshooter","Tikipod","Tikipod","Unreleased","Feb 2, 2017","Feb 2, 2017","",""
"Aqua Moto Racing Utopia","Racing","Zordix","Zordix","Unreleased","May 4, 2018","May 4, 2018","",""
"AquaNox: Deep Descent","Shooter","Digital Arrow","THQ Nordic","Unreleased","TBA","TBA","",""
"The Aquatic Adventure of the Last Human","Metroidvania","YCJYStage Clear Studios","Digerati","Unreleased","Jan 19, 2018","Jan 19, 2018","",""
"Ara Fell: Enhanced Edition","Japanese role-playing","Stegosoft","Dangen Entertainment","Mar 26, 2020","Mar 26, 2020","Mar 26, 2020","",""
"Aragami: Shadow Edition","Action-adventurestealth","Lince Works","Lince Works","Unreleased","Jun 5, 2018","Jun 5, 2018","",""
"Aragami 2","Action-adventurestealth","Lince Works","Lince Works","Sep 17, 2021","Sep 17, 2021","Sep 17, 2021","",""
"Arcade Classics Anniversary Collection","Arcadeshoot 'em up","Konami","Konami","Apr 18, 2019","Apr 18, 2019","Apr 18, 2019","",""
"Arcade Islands: Volume One","Party","Teyon","Mastiff","Unreleased","Sep 4, 2018","Sep 4, 2018","",""
"Arietta of Spirits","Action-adventure","Third Spirits","Red Art Games","Unreleased","Aug 20, 2021","Aug 20, 2021","","[13][14]"
"Arise: A Simple Story","Action-adventure","Piccolo Studios","Techland","Dec 3, 2019","Dec 3, 2019","Dec 3, 2019","","[15]"
"Aritana & the Harpy's Feather","Platform","Duaik","Duaik","Unreleased","Sep 9, 2015","Unreleased","","[11]"
"Aritana & the Twin Masks","Action-adventure","Duaik","Duaik","Aug 16, 2019","Aug 16, 2019","Aug 16, 2019","",""
"Ark: Survival Evolved","Survival","Studio Wildcard","Studio Wildcard","Aug 29, 2017","Aug 29, 2017","Aug 29, 2017","PA  PC  X",""
"Armello","Role-playingboard game","League of Geeks","League of Geeks","Unreleased","Aug 30, 2016","Aug 30, 2016","",""
"Armikrog","Action-adventure","Pencil Test Studios","Versus Evil","Unreleased","Aug 22, 2016","Aug 22, 2016","",""
"Armored Freedom","Strategyboard game","Killer Bees Games","Killer Bees Games","Unreleased","Oct 5, 2018","Oct 5, 2018","",""
"Arrest of a Stone Buddha","Shooter","Yeo","Yeo","Unreleased","May 14, 2021","May 14, 2021","","[16]"
"Arslan: The Warriors of Legend","Action","Koei Tecmo","Koei Tecmo","Unreleased","Feb 9, 2016","Feb 9, 2016","",""
"The Artful Escape","Adventure","Beethoven and Dinosaur","Annapurna Interactive","Unreleased","Sep 9, 2021","Sep 9, 2021","",""
"Art of Rally","Racing","Funselektor Labs","Funselektor Labs","Aug 12, 2021","Aug 12, 2021","Aug 12, 2021","","[17]"
"Ary and the Secret of Seasons","Adventure","eXiin","Modus Games","Unreleased","Sep 1, 2020","Sep 1, 2020","",""
"Ascendance: First Horizon","3D Platformer","Onevision","Onevision","May 10, 2019","May 10, 2019","May 10, 2019","X",""
"The Ascent","Action role-playing","Neon Giant","Curve Digital","Jul 29, 2021","Jul 29, 2021","Jul 29, 2021","",""
"Asdivine Dios","Japanese role-playing","Exe Create","Kemco","Jun 5, 2019","Jun 5, 2019","Jun 5, 2019","",""
"Asdivine Hearts","Japanese role-playing","Exe Create","Kemco","Jul 6, 2018","Jul 6, 2018","Jul 6, 2018","PA",""
"Asdivine Hearts II","Japanese role-playing","Exe Create","Kemco","Dec 21, 2018","Dec 21, 2018","Dec 21, 2018","PA",""
"Asdivine Kamura","Japanese role-playing","Exe Create","Kemco","Oct 2, 2019","Oct 2, 2019","Oct 2, 2019","",""
"Asdivine Menace","Japanese role-playing","Exe Create","Kemco","Aug 2, 2019","Aug 2, 2019","Aug 2, 2019","PA",""
"Asemblance","Adventure","Nilo Studios","Nilo Studios","Unreleased","Jan 30, 2018","Jan 30, 2018","",""
"Asemblance: Oversight","Adventure","Nilo Studios","Nilo Studios","Unreleased","Aug 3, 2018","Aug 3, 2018","",""
"Ash of Gods: Redemption","Tactical role-playing","Aurum Dust","Ravenscourt","Unreleased","Jan 31, 2020","Jan 30, 2020","",""
"Ashen","Action role-playing","A44","Annapurna Interactive","Apr 30, 2020","Dec 7, 2018","Dec 7, 2018","",""
"Ashes Cricket","Sports","Big Ant Studios","Big Ant Studios","Unreleased","Nov 16, 2017","Nov 16, 2017","X",""
"Aspire: Ina's Tale","Action-adventure","Wondernaut Studio","Untold Tales","Unreleased","Dec 17, 2021","Dec 17, 2021","","[18][19]"
"Assassin's Creed III: Remastered","Action-adventurestealth","Ubisoft","Ubisoft","Mar 29, 2019","Mar 29, 2019","Mar 29, 2019","X",""
"Assassin's Creed IV: Black Flag","Action-adventureopen worldstealth","Ubisoft Montreal","Ubisoft","Sep 4, 2014","Nov 22, 2013","Nov 22, 2013","",""
"Assassin's Creed Chronicles: China","Action-adventure","Climax Studios","Ubisoft","Apr 20, 2015","Apr 20, 2015","Apr 20, 2015","",""
"Assassin's Creed Chronicles: India","Action-adventure","Climax Studios","Ubisoft","Feb 8, 2016","Feb 8, 2016","Feb 8, 2016","",""
"Assassin's Creed Chronicles: Russia","Actionstealth","Climax Studios","Ubisoft","Jan 11, 2016","Jan 11, 2016","Jan 11, 2016","",""
"Assassin's Creed: Odyssey","Action-adventure","Ubisoft Quebec","Ubisoft","Oct 5, 2018","Oct 5, 2018","Oct 5, 2018","X",""
"Assassin's Creed: Origins","Action-adventure","Ubisoft","Ubisoft","Oct 27, 2017","Oct 27, 2017","Oct 27, 2017","X",""
"Assassin's Creed: Rogue Remastered","Action-adventure","Ubisoft Sofia","Ubisoft","Mar 20, 2018","Mar 20, 2018","Mar 20, 2018","",""
"Assassin's Creed: Syndicate","Action-adventureopen world","Ubisoft Quebec","Ubisoft","Nov 12, 2015","Oct 23, 2015","Oct 23, 2015","",""
"Assassin's Creed: The Ezio Collection","Action-adventureopen world","Virtuos","Ubisoft","Nov 14, 2016","Nov 14, 2016","Nov 14, 2016","",""
"Assassin's Creed: Unity","Action-adventureopen worldstealth","Ubisoft Toronto","Ubisoft","Nov 20, 2014","Nov 11, 2014","Nov 14, 2014","",""
"Assassin's Creed Valhalla","Action role-playing","Ubisoft Montreal","Ubisoft","Nov 10, 2020","Nov 10, 2020","Nov 10, 2020","",""
"The Assembly","Adventure","nDreams","nDreams","Unreleased","Jan 20, 2017","Jan 20, 2017","",""
"Assetto Corsa","Racing","Kunos Simulazioni","505 Games","Unreleased","Aug 30, 2016","Aug 26, 2016","",""
"Astalon: Tears of the Earth","Actionplatform","LABSworks","Dangen Entertainment","Unreleased","Jun 3, 2021","Jun 3, 2021","",""
"Asterix & Obelix: Slap Them All!","Beat 'em up","Mr. Nutz Studio","Microids","Unreleased","Nov 25, 2021","Nov 25, 2021","",""
"Asterix & Obelix XXL 2: Mission: Las Vegum","Platform","OSome Studios","Microids","Unreleased","Nov 29, 2018","Nov 29, 2018","",""
"Asterix & Obelix XXL 3: The Crystal Menhir","Platform","Anuman Interactive","Microids","Unreleased","Oct 2, 2019","Nov 21, 2019","",""
"Astria Ascending","Role-playing","Artisan Studios","Dear Villagers","Sep 30, 2021","Sep 30, 2021","Sep 30, 2021","",""
"Astroneer","Simulation, Survival","System Era Softworks","System Era Softworks","Feb 6, 2019","Feb 6, 2019","Feb 6, 2019","PA  PC  X",""
"At Sundown: Shots in the Dark","Competitive stealth arena shooter","Mild Beast Games","Versus Evil","Unreleased","Jan 22, 2019","Jan 22, 2019","",""
"Atari Flashback Classics: Volume 1","Arcade","Code Mystics","Atari","Unreleased","Nov 1, 2016","Nov 1, 2016","",""
"Atari Flashback Classics: Volume 2","Arcade","Code Mystics","Atari","Unreleased","Nov 1, 2016","Nov 1, 2016","",""
"Atari Flashback Classics: Volume 3","Arcade","Code Mystics","Atari","Unreleased","Oct 11, 2018","Oct 11, 2018","",""
"Atlas","MMO","Grapeshot Games","Grapeshot Games","Unreleased","TBA","Unreleased","",""
"Atomic Heist","Shooter","Live Aliens","Live Aliens","Unreleased","Apr 20, 2018","Apr 20, 2018","",""
"Atomicrops","Roguelike top-down shooter","Bird Bath Games","Raw Fury","May 28, 2020","May 28, 2020","May 28, 2020","","[20]"
"Attack Heroes","Action","Ejoy Games","Tencent","Jan 1, 2017","Unreleased","Unreleased","",""
"Attack of the Earthlings","Strategystealth","Team Junkfish","Wales Interactive","Mar 5, 2019","Mar 5, 2019","Mar 5, 2019","","[21]"
"Attack of the Toy Tanks","Shooter","Petite Games","Ratalaika Games","Jun 26, 2019","Jun 26, 2019","Jun 26, 2019","",""
"Attack on Titan","Action","Omega Force","Koei Tecmo","Feb 18, 2016","Aug 30, 2016","Aug 26, 2016","",""
"Attack on Titan 2","Action","Omega Force","Koei Tecmo","Mar 15, 2018","Mar 20, 2018","Mar 20, 2018","",""
"ATV Drift & Tricks: Definitive Edition","Racing","Artefacts Studio","Microïds","Unreleased","Nov 20, 2018","Nov 20, 2018","",""
"ATV Renegades","Racing","Nighthawk Interactive","Nighthawk Interactive","Unreleased","Apr 18, 2017","Apr 18, 2017","",""
"Aven Colony","Simulation","Mothership Entertainment","Team17","Unreleased","Jul 25, 2017","Jul 25, 2017","",""
"Marvel's Avengers","Action-adventure","Crystal DynamicsEidos Montréal","Square Enix","Sep 4, 2020","Sep 4, 2020","Sep 4, 2020","",""
"AVICII Invector","Music","Hello There Games","Wired Productions","Dec 9, 2019","Dec 10, 2019","Dec 10, 2019","",""
"Away: Journey to the Unexpected","Adventure","Playdius Entertainment","Playdius Entertainment","Unreleased","Feb 8, 2019","Feb 8, 2019","","[22]"
"Awesomenauts Assemble","2Dmultiplayer online battle arena","Ronimo Games","Ronimo Games","Unreleased","Sep 7, 2016","Sep 7, 2016","",""
"Awesome Pea","Platformer","PigeonDev","Sometimes You","Mar 1, 2019","Mar 1, 2019","Mar 1, 2019","",""
"The Awesome Adventures of Captain Spirit","Graphic adventure","Dontnod Entertainment","Square Enix","Unreleased","Jun 26, 2018","Jun 26, 2018","",""
"Awkward","Party","Snap Finger Click","Snap Finger Click","Unreleased","Jun 5, 2018","Jun 5, 2018","",""
"Axiom Verge","Metroidvania","Thomas Happ Games","Thomas Happ Games","Unreleased","Sep 29, 2016","Sep 29, 2016","",""
"Axis Football 2018","Sports","Axis Games","Axis Games","Unreleased","Nov 30, 2018","Nov 30, 2018","",""
"Axis Football 2019","Sports","Axis Games","Axis Games","Unreleased","Sep 27, 2019","Sep 27, 2019","",""
