"Title","Developer(s)","Publisher(s)","Release date","Ref."
"Abyss","EnjoyUp Games","EnjoyUp Games","December 25, 2018","[190][191] [192][193]"
"Abyss: The Wraiths of Eden","Artifex Mundi","Artifex Mundi","January 21, 2021","[194][195][196][197]"
"Abyss of the Sacrifice","Intense","D3 Publisher","December 17, 2020",""
"Abzû","Giant Squid Studios","505 Games","November 29, 2018",""
"The Academy","Pine Studio","Pine Studio","TBA","[198]"
"Acalesia","BAkau","Victory Road","April 1, 2021","[183][199][200]"
"Access Denied","Stately Snail","Ratalaika Games","February 8, 2019","[169][171][201][202]"
"Ace Angler","Racjin","Bandai Namco Entertainment","July 25, 2019","[203][204][205]"
"Ace Angler: Fishing Spirits","Racjin","Bandai Namco Entertainment","October 22, 2022",""
"Ace Attorney Investigations Collection","Capcom","Capcom","September 6, 2024","[206]"
"Ace Invaders","Max Interactive Studio","Max Interactive Studio","February 17, 2021","[207][208][209]"
"Ace of Seafood","Nussoft","Nussoft","February 22, 2018","[210][211]"
"Ace Strike","Benoit Varasse","Pix Arts","March 6, 2021","[212][213][214]"
"Aces of the Luftwaffe: Squadron","HandyGames","JP: Worker BeeWW: HandyGames","November 17, 2017","[215][216][217]"
"Achtung! Cthulhu Tactics","Auroch Digital","Ripstone","January 24, 2019","[218]"
"Acorn Tactics","Tacs Games","Tacs Games","November 30, 2017","[219]"
"Across the Grooves","Nova-box","Nova-box","June 17, 2020","[220][221][222][223][224]"
"Act it Out XL! A Game of Charades","Snap Finger Click","Snap Finger Click","January 12, 2021","[225][226][227]"
"Active Life: Outdoor Challenge","h.a.n.d.","Bandai Namco Entertainment","September 3, 2021",""
"Active Neurons","Sometimes You","Sometimes You","April 29, 2020","[228][229][230][231]"
"Active Neurons 2","Sometimes You","Sometimes You","September 16, 2020","[232][233][234][235]"
"Active Neurons 3: Wonders of the World","Sometimes You","Sometimes You","February 24, 2021","[236][237][238][239]"
"Active Soccer 2019","The Fox Software","The Fox Software","April 19, 2019","[240][241][242]"
"Actraiser Renaissance","Quintet","Square Enix","September 23, 2021",""
"Actual Sunlight","WZO Games","WZOGI","January 28, 2020","[243][244][245][246]"
"Adam's Venture: Origins","Vertigo Games","Soedesco","May 29, 2020",""
"The Addams Family: Mansion Mayhem","PHL Collective","Outright Games","September 24, 2021",""
"Adrenaline Rush: Miami Drive","Cool Small Games","Cool Small Games","July 12, 2019","[247][248][249]"
"Advance Wars 1+2: Re-Boot Camp","WayForward","Nintendo","April 21, 2023","[250]"
"Adventure Academia: The Factured Continent","Acquire","PQube","September 8, 2022","[251]"
"Adventure Field 4","Wathitdew Record","Ilya Chkoliar","August 22, 2021","[252][253][254]"
"The Adventure Pals","Massive Monster","Armor Games","April 3, 2018","[255][256][257][258][259]"
"Adventure Time: Pirates of the Enchiridion","Climax Studios","NA: Outright GamesPAL: Bandai Namco Entertainment","July 17, 2018",""
"Adventure Llama","Orube Game Studio","Orube Game Studio","November 1, 2020","[260][261][262]"
"The Adventures of 00 Dilly","Caipirinha Games","Toplitz Productions","February 20, 2020","[263][264][265]"
"Adventures of Bertram Fiddle Episode 1: A Dreadly Business","Rumpus Animation","Chorus Worldwide","March 29, 2018","[266][267]"
"Adventures of Bertram Fiddle Episode 2: A Bleaker Predicklement","Rumpus Animation","Chorus Worldwide","November 22, 2018","[268][269][270][271]"
"Adventures of Chris","Guin Entertainment","Graffiti Games","October 8, 2020","[272][273][274]"
"The Adventures of Elena Temple: Definitive Edition","GrimTalin","GrimTalin","May 15, 2018","[275][276]"
"Adventures of Pip","Tic Toc Games","Tic Toc Games","September 10, 2020",""
"The Adventures of Spunk Dodgers and Splat","Bolder Games","Bolder Games","October 9, 2021","[277][278][279]"
"Adverse","Loneminded","Loneminded","January 22, 2021","[194][280][281]"
"Aegis Defenders","Guts Department","Humble Bundle","February 8, 2018",""
"Aeolis Tournament","Beyond Fun Studio","Beyond Fun Studio","July 23, 2020","[282][283][284]"
"Aeon Drive","2Awesome Studio","Critical Reflex","September 30, 2021","[285][286][287][288][289]"
"Aeon Must Die!","Limestone Games","Focus Home Interactive","October 14, 2021","[290][291][292][293]"
"AER Memories of Old","Daedalic Entertainment","Daedalic Entertainment","August 28, 2019","[294][295][296][297][298]"
"Aerial_Knight's Never Yield","Aerial_Knight","Headup Games","May 19, 2021","[299][300][301]"
"Aery: Broken Memories","EpiXR Games","EpiXR","August 6, 2020","[33][302][303][304]"
"Aery: Calm Mind","EpiXR Games","EpiXR","July 22, 2021","[305][306][307][308]"
"Aery: A Journey Beyond Time","EpiXR Games","EpiXR","February 25, 2021","[309][310][311][312]"
"Aery: Little Bird Adventure","EpiXR Games","EpiXR","June 18, 2020","[313][314][315][316]"
"Aery: Sky Castle","EpiXR Games","EpiXR Games","October 8, 2020","[317][318][319][320]"
"Aeterna Noctis","Aeternum Game Studios","Aeternum Game Studios","December 15, 2021","[321]"
"AeternoBlade","Corecell Technology","JP: Corecell TechnologyWW: PQube","February 1, 2018","[322][323][324][325]"
"AeternoBlade II","Corecell Technology","JP: Corecell TechnologyWW: PQube","October 11, 2019","[326][327][328]"
"AEW Fight Forever","Yuke's","THQ Nordic","June 29, 2023","[329]"
"AFL Evolution 2","Wicked Witch Software","Tru Blu Games","April 16, 2020","[330][331][332]"
"Afterparty","Night School Studio","Night School Studio","March 6, 2020",""
"Afterpulse","Digital Legends","Digital Legends","March 30, 2021","[333][334][335][336]"
"Agartha-S","Mebius","Mebius","January 31, 2019","[337][338][339]"
"Agatha Christie – Hercule Poirot: The First Cases","Blazing Griffin","Microids","September 28, 2021","[340][341][342][343][344][345]"
"Agatha Christie: The ABC Murders","Artefacts Studio","Microids","October 6, 2020",""
"Agatha Knife","Mango Protocol","Mango Protocol","April 26, 2018","[346][347][348][349]"
"Age of Sokoban","Erik Games","Erik Games","June 10, 2021","[350][351][352]"
"Ageless","One More Dream Studios","Team17","July 28, 2020","[353][354][355][356]"
"Agent A: A Puzzle in Disguise","Yak","Yak","August 29, 2019",""
"Ages of Mages: The Last Keeper","YFC Games","YFC Games","May 30, 2019","[357][358][359][360]"
"Aggelos","Storybird Games","JP: Arc System WorksWW: PQube","April 24, 2019","[361][362][363][364][365]"
"Agony","Madmind Studio","Forever Entertainment","October 31, 2019",""
"Aground","Fancy Fish Games","Whitethorn Digital","February 11, 2021","[366][367][368]"
"Ai Kiss 2","Giga","Entergram","March 25, 2021","[369]"
"AI: The Somnium Files","Spike Chunsoft","Spike Chunsoft","September 17, 2019",""
"AI: The Somnium Files – Nirvana Initiative","Spike Chunsoft","Spike Chunsoft","June 23, 2022",""
"Aikano: Yukizora no Triangle","Prekano","Entergram","October 29, 2020","[370]"
"Ailment","BeardyBird Games","Ultimate Games","May 27, 2020","[371][372][373]"
"Air","Key","Prototype","September 9, 2021",""
"Air Bounce: The Jump 'n' Run Challenge","EpiXR Games","EpiXR","January 21, 2021","[374][375][376][377]"
"Air Conflicts: Pacific Carriers","Games Farm","JP: H2 InteractiveWW: Kalypso Media","March 26, 2019",""
"Air Conflicts: Secret Wars","Games Farm","JP: H2 InteractiveWW: Kalypso Media","March 26, 2019",""
"Air Hockey","Sabec","Sabec","February 28, 2018","[378][379][380][381]"
"Air Mail","N-Fusion Interactive","N-Fusion Interactive","June 26, 2018","[382][383][384][385]"
"Air Missions: Hind","3Division","Pikii","July 30, 2020","[386][387]"
"Air Racers","Benjamin Kistler","Kistler Studios","November 1, 2021","[388][389][390]"
"Air Stunt Racing","Pix Arts","Pix Arts","October 30, 2021","[391][392][393][394]"
"Airborne Kingdom","The Wandering Band","indie.io","December 17, 2020","[395][396][397][398]"
"Aircraft Evolution","Satur Entertainment","Sometimes You","July 22, 2020","[399][400][401]"
"Airfield Mania","Sprakelsoft","Sprakelsoft","March 27, 2019","[402][403][404][405]"
"Airhead","Octato","HandyGames","TBA","[406]"
"Airheart: Tales of Broken Wings","Blindflug Studios","Blindflug Studios","January 31, 2019","[407]"
"Airoheart","Pixel Heart Studio","Soedesco","September 30, 2022","[408]"
"An Airport for Aliens Currently Run by Dogs","Strange Scaffold","Strange Scaffold","May 25, 2021",""
"Akane","Ludic Studios","Qubic Games","May 17, 2019","[409][410][411][412][413][414]"
"Akash: Path of the Five","Truant Pixel","Truant Pixel","September 16, 2019","[415][416][417]"
"Akatori","TeamNora Games","HypeTrain Digital","2022","[418]"
"Akiba's Trip: Hellbound & Debriefed","Acquire","JP: AcquireWW: Xseed Games","May 20, 2021",""
"Akihabara: Feel the Rhythm Remixed","JMJ Interactive","JMJ Interactive","November 29, 2018","[419][420][421][422][423]"
"Akihabara Crash! 123 Stage +1","Dorasu","Dorasu","November 29, 2018","[424][425][426][427][428]"
"Akinofa","Pixel Lantern","Pixel Lantern","July 15, 2021","[429][430][431][432]"
"Akita Oga Mystery Guide: The Frozen Silverbell Flower","Happymeal","Flyhigh Works","December 24, 2020","[433]"
"Akuto: Showdown","Hut 90","QubicGames","December 26, 2019","[84][434][435]"
"Alan Wake Remastered","Remedy Entertainment","Epic Games Publishing","October 20, 2022",""
"Alba: A Wildlife Adventure","Ustwo","JP: SunsoftWW: PID Publishing","June 9, 2021",""
"Alchemic Cutie","Vakia, Viridian Software","PM Studios","TBA","[436]"
"Alchemic Dungeons DX","Q-Cumber Factory","Flyhigh Works","February 14, 2019","[437][438][439][440]"
"Alchemist Adventure","Bad Minions","Super.com","June 10, 2021","[350][441][442]"
"Alchemist Simulator","Art Games Studio, polyslash","Art Games Studio","March 11, 2021","[443][444][445]"
"Alchemist's Castle","Kodobur Yazilim","Kodobur Yazilim","October 13, 2019","[446][447][448][449]"
"Alchemic Jousts","Lunatic Pixels","Lunatic Pixels","June 12, 2018","[450][451][452][453]"
"Alder's Blood","Shockwork Games","No Gravity Games","March 13, 2020","[454][455][456]"
"Aldred Knight","QUByte Interactive","QUByte Interactive","October 8, 2019","[457][458][459]"
"Aleste Collection","M2","M2","December 24, 2020","[460][461][462][463]"
"Alex Kidd in Miracle World DX","Jankenteam","Merge Games","June 22, 2021",""
"Alfonzo's Arctic Adventure","Spoony Bard Productions","Limited Run Games","July 30, 2021","[464][465][466][467]"
"Alfred Hitchcock – Vertigo","Pendulo Studios","Microids","September 27, 2022",""
"Alice Gear Aegis CS: Concerto of Simulatrix","Pyramid","Mages","September 8, 2022",""
"Alice in the Country of Hearts: Wonderful Black World","Idea Factory","Idea Factory","TBA","[468]"
"Alice in the Country of Hearts: Wonderful White World","QuinRose","Idea Factory","September 2, 2021","[469]"
"Alien Cruise","Cotton Game","Orenda","March 14, 2019","[470][471][472][473]"
"Alien Escape","Korion","Korion","July 12, 2019","[247][474][475]"
"Alien Hominid Invasion","The Behemoth","The Behemoth","TBA","[476][477][478]"
"Alien: Isolation","Creative Assembly","Sega","December 5, 2019",""
"Aliens Drive Me Crazy","Rebel Twins","Rebel Twins","October 14, 2021","[479][480][481]"
"All-Star Fruit Racing","3D Clouds","JP: Circle EntertainmentWW: PQube","July 13, 2018","[482][483][484][485][486]"
"All Walls Must Fall","inbetweengames","Ultimate Games","January 20, 2021","[487][488][489]"
"The Alliance Alive HD Remastered","Cattle Call","JP: FuRyuWW: NIS America","October 8, 2019",""
"Alluris","562 Interactive","562 Interactive","September 24, 2020","[490][491][492]"
"Almightree: The Last Dreamer","Godspeed Games, Chocoarts","West Coast Software","December 13, 2018","[493][494][495]"
"The Almost Gone","Happy Volcano","Playdigious","June 25, 2020","[496][497][498][499]"
"Almost There: The Platformer","The Quantum Astrophysicists Guild","The Quantum Astrophysicists Guild","February 21, 2019","[500][501][502][503]"
"Alone With You","Benjamin Rivers","Benjamin Rivers","July 30, 2021","[504][505][506][507]"
"Along the Edge","Nova-box","Nova-box","October 15, 2020","[508][509][510]"
"Aloof","ButtonX","Red Deer Games","October 14, 2021","[511][512][513][514]"
"Alpaca Ball: Allstars","Salt Castle Studio","JP: LeofulWW: BadLand Publishing","October 15, 2020","[515][516]"
"Alpha","Kaname","Kaname","April 18, 2019","[517][518][519]"
"Alphadia Genesis","Exe Create","Kemco","August 6, 2020","[33][520][521][522]"
"Alphadia Genesis 2","EXE-CREATE","Kemco","July 1, 2021","[523][524][525][526]"
"Alphaset by Powgi","Lightwood Games","Lightwood Games","August 27, 2020","[527][528]"
"Alt-Frequencies","Accidental Queens","Plug In Digital","December 10, 2020","[529][530][531]"
"Alteric","Goonswarm","Sometimes You","March 30, 2018","[532][533][534]"
"Alternate Jake Hunter: Daedalus The Awakening of Golden Jazz","Neilo","Arc System Works","December 13, 2018","[357][358][535][536][537]"
"The Alto Collection","Team Alto","Snowman","November 26, 2020",""
"Aluna: Sentinel of the Shards","DigiArt Interactive","DigiArt Interactive","May 26, 2021","[538][539][540][541]"
"Alvastia Chronicles","Exe Create","Kemco","February 14, 2019","[542][543][544]"
"Alveole","Emil Ismaylov And Denis Petrov","Sometimes You","September 1, 2021","[545][546][547]"
"Alwa's Awakening","Elden Pixels","Elden Pixels","September 27, 2018","[548][549][550][551]"
"Alwa's Legacy","Elden Pixels","Elden Pixels","September 29, 2020","[552][553][554]"
"Always Sometimes Monsters","Vagabond Dog","Vagabond Dog","April 8, 2021","[555][556][557]"
"Amaekata wa Kanojo Nari ni","Entergram","Entergram","January 24, 2019","[558][559]"
"The Amazing American Circus","Juggler Games","Klabater","September 16, 2021","[560][561][562][563][564]"
"Amazing Breaker","Dekovir","Big Way","October 27, 2021","[565][566][567]"
"Amazing Brick Breaker","Cyberfront Korea","CFK","November 28, 2019","[568][569][570]"
"The Amazing Shinsengumi: Heroes in Love","D3 Publisher","D3 Publisher","August 9, 2018","[571][572][573][574]"
"The Ambassador: Fractured Timelines","TinyDino Games","The Quantum Astrophysicists Guild","August 13, 2020","[575][576][577]"
"Amber Isle","Ambertail Games","Team17","October 31, 2024","[578]"
"Ambition of the Slimes","Altairworks","Flyhigh Works","December 28, 2017","[579][580][581][582]"
"America Wild Hunting","Benoit Varasse","Pix Arts","March 5, 2021","[583][584][585]"
"American Fugitive","Fallen Tree Games","JP: TeyonWW: Curve Digital","May 23, 2019","[586][587][588][589][590][591]"
"American Ninja Warrior: Challenge","Gaming Corps Austin","GameMill Entertainment","March 19, 2019",""
"Amnesia","Design Factory","Idea Factory","September 12, 2019","[592][593]"
"Amnesia Collection","Frictional Games","Frictional Games","September 12, 2019",""
"Amnesia Later x Crowd","Design Factory","Idea Factory","October 3, 2019","[592][594]"
"Amnesia World","Design Factory","Idea Factory","August 19, 2021","[595]"
"Amoeba Battle: Microscopic RTS Action","Grab Games","Grab Games","March 3, 2020","[596][597][598]"
"Among Pipes","Prison Games","Prison Games","March 18, 2021","[128][599][600][601]"
"Among the Sleep: Enhanced Edition","Krillbite Studio","Soedesco","May 29, 2019",""
"Among Us","Innersloth","Innersloth","December 15, 2020",""
"Anarcute","Anarteam","JP: Digital BardsWW: Plug In Digital","May 30, 2019","[358][602][603]"
"Ancestors Legacy","Destructive Creations","JP: Destructive CreationsWW: 1C Company","June 11, 2020",""
"Ancient Rush 2","Heideland GameWork","Heideland GameWork","January 18, 2019","[604][605]"
"Ancient Stories: Gods of Egypt","Alawar, Panda Games Studio","ChiliDog Interactive","October 15, 2021","[606][607][608][609]"
"Angel's Punishment","B & GN Team","Game Nacional","September 3, 2021","[610][611][612]"
"Angels of Death","Hoshikuzu KRNKRN","Playism","June 28, 2018",""
"Angels with Scaly Wings","Radical Phi","Ratalaika Games","TBA","[613][614]"
"AngerForce: Reloaded","Screambox Studio","indienova","April 2, 2019","[615][616][617]"
"Angelique Luminarise","Ruby Party","Koei Tecmo","May 20, 2021",""
"Angry Bunnies: Colossal Carrot Crusade","YFC Games","YFC Games","September 19, 2019","[618][619][620]"
"Angry Golf","Tero Lunkka","Ultimate Games","March 23, 2021","[621][622]"
"The Angry Video Game Nerd I & II Deluxe","FreakZone Games","Screenwave Media","October 30, 2020",""
"Anima: Gate of Memories","Anima Project","BLG Publishing","June 29, 2018","[623][624][625]"
"Anima: Gate of Memories - The Nameless Chronicles","Anima Project","Badland Games","June 29, 2018","[623][626][627][628]"
"Animal Bomber","Piotr Skalski","Piotr Skalski","March 6, 2021","[212][629][630]"
"Animal Crossing: New Horizons","Nintendo EPD","Nintendo","March 20, 2020",""
"Animal Doctor","Caipirinha Games","Toplitz Productions","March 25, 2021","[631][632][633]"
"Animal Fight Club","Marco Amadei","Corvostudio di Amadei Marco","July 25, 2019","[634][635][636]"
"Animal Fun for Toddlers & Kids","winterworks","winterworks","April 23, 2020","[637][638][639]"
"Animal Pals Bubble Pop","Digital Game Group","Digital Game Group","November 20, 2020","[640][641][642]"
"Animal Pairs: Matching & Concentration Game For Toddlers & Kids","winterworks","winterworks","June 4, 2020","[643][644][645]"
"Animal Puzzle: Preschool Learning Game for Kids and Toddlers","McPeppergames","McPeppergames","September 2, 2021","[47][646][647][648]"
"Animal Rivals","Blue Sunset Games","Blue Sunset Games","July 18, 2018","[649][650][651][652]"
"Animal Super Squad","DoubleMoose","DoubleMoose","May 1, 2018","[653][654][655]"
"Animal Up!","Hook Games, FobTi Interactive","Nestor Yavorskyy","May 22, 2020","[656][657][658]"
"Animals for Toddlers","winterworks","winterworks","September 24, 2020","[659][660][661]"
"AnimaLudo","Marionette Games","Prison Games","June 25, 2021","[662][663][664][665]"
"Animated Jigsaws: Beautiful Japanese Scenery","Dico","Rainy Frog","April 5, 2018","[666][667][668][669]"
"Animated Jigsaws: Japanese Women","Dico","Rainy Frog","October 4, 2018","[670][671][672][673]"
"Animated Jigsaws: Wild Animals","Dico","Rainy Frog","December 20, 2018","[674][675][676][677]"
"Anime Studio Story","Kairosoft","Kairosoft","January 16, 2020","[678][679][680][681]"
"Animus: Harbinger","Tenbirds","Troooze","November 7, 2019","[682][683][684][685]"
"Animus: Revenant","Tenbirds","Troooze","June 10, 2021","[350][686]"
"Animus: Stand Alone","Tenbirds","Bandai Namco Entertainment","December 6, 2018","[687]"
"Ankh Guardian: Treasure of the Demon's Temple","Tom Create","Tom Create","July 4, 2019","[688][689][690][691]"
"Ankora: Lost Days","Chibig","Chibig","2022","[692]"
"Anna's Quest","Daedalic Entertainment","Daedalic Entertainment","June 30, 2021","[693][694][695][696]"
"Anode","Kittehface Software","Kittehface Software","August 17, 2019","[697][698][699]"
"Anodyne","Analgesic Productions","Nnooo","February 28, 2019",""
"Anodyne 2: Return to Dust","Analgesic Productions","Ratalaika Games","February 18, 2021",""
"Anonymous;Code","Mages, Chiyomaru Studio","Mages","July 28, 2022",""
"Another Code: Recollection","Arc System Works","Nintendo","January 19, 2024",""
"Another Lost Phone: Laura's Story","Accidental Queens, Seaven Studio","Plug In Digital","April 26, 2018",""
"Another Sight","Lunar Great Wall Studios","Lunar Great Wall Studios","June 28, 2019","[700][701][702][703][704]"
"Another World","Dotemu","Dotemu","July 9, 2018",""
"AnShi","Heideland GameWorks","Heideland GameWorks","February 22, 2021","[705][706]"
"Ant-Gravity: Tiny's Adventure","QUByte Interactive","QUByte Interactive","May 28, 2020","[707][708][709]"
"Anthill","Thunderful Publishing","Thunderful Publishing","October 24, 2019","[710][711][712][713][714]"
"Antiquia Lost","Exe Create","Kemco","November 16, 2017","[715][716][717][718]"
"Antonball Deluxe","Summitsphere","Proponent Games","September 28, 2021","[719][720]"
"AntVentor","Loopymood","Loopymood","June 24, 2020","[721][722][723][724]"
"AO Tennis 2","Big Ant Studios","JP: Oizumi AmuzioWW: Bigben Interactive","January 9, 2020",""
"Aokana: Four Rhythm Across the Blue","Sprite","JP: SpriteWW: PQube","March 29, 2018",""
"Ape Out","Gabe Cuzzillo","Devolver Digital","February 28, 2019",""
"Aperion Cyberstorm","aPriori Digital","aPriori Digital","February 8, 2018","[725][726][727]"
"Apex Legends","Respawn Entertainment","Electronic Arts","March 9, 2021",""
"Apocalipsis: Wormwood Edition","Punch Punk Games","Klabater","January 10, 2019","[728][729][730]"
