"Title","Developer(s)","Publisher(s)","Regions released","","","Ref."
"Mahjong (Selen)","ProSoft","Selen","July 12, 2001","Unreleased","Unreleased",""
"Mahjong Club","Natsu System","Hect","April 9, 1998","Unreleased","Unreleased",""
"Mahjong de Asobo","Vap","Vap","November 30, 2000","Unreleased","Unreleased",""
"Mahjong de Pon! Hanafuda de Koi! Our Graduation","Kid","Kid","February 3, 2000","Unreleased","Unreleased",""
"Mahjong Ganryuujima","Cosmos Computer","ASCII Entertainment","July 7, 1995","Unreleased","Unreleased",""
"Mahjong Gokuu Tenjiku","Chat Noir","Electronic Arts Victor","December 3, 1994","Unreleased","Unreleased",""
"Mahjong Gokuu Tenjiku 99","Chat Noir","Chat Noir","June 3, 1999","Unreleased","Unreleased",""
"Mahjong II","Mediarium","Success","July 22, 1999","Unreleased","Unreleased",""
"Mahjong Senjutsu: Andou Mitsuru Pro no Akuukan Satsuhou","Mediarium","Success","June 14, 1996","Unreleased","Unreleased",""
"Mahjong Station Mazin","Chat Noir","Chat Noir","December 3, 1994","Unreleased","Unreleased",""
"Mahjong Taikai II Special","Koei","Koei","November 29, 1996","Unreleased","Unreleased",""
"Mahjong Uranai Fortuna: Tsuki no Megami-tachi","Affect","Affect","January 1, 2002","Unreleased","Unreleased",""
"Mahjong Yarouze!","Konami","Konami","April 28, 1999","Unreleased","Unreleased",""
"Mahjong Youchien: Tamago Gumi","Affect","Affect","March 12, 1998","Unreleased","Unreleased",""
"Mahjong Youchien: Tamago Gumi 2","Affect","Affect","September 28, 2000","Unreleased","Unreleased",""
"Mahou Shoujo Fancy Coco","Pow","Planning Office Wada","September 13, 1996","Unreleased","Unreleased",""
"Mahou Shoujo Pretty Sammy Part 1: In The Earth","Pioneer LDC","Pioneer LDC","December 20, 1996","Unreleased","Unreleased",""
"Mahou Shoujo Pretty Sammy Part 2: In the Julyhelm","Pioneer LDC","Pioneer LDC","March 14, 1997","Unreleased","Unreleased",""
"Mahoutsukai ni Naru Houhou","TGL","TGL","February 18, 1999","Unreleased","Unreleased",""
"Mainichi Neko Youbi","Affect","Bandai","September 3, 1998","Unreleased","Unreleased",""
"Majokko Daisakusen: Little Witching Mischiefs","Toys for Bob","Bandai","February 4, 1999","Unreleased","Unreleased",""
"Makeruna! Makendō 2","Fill-in-Cafe","Datam Polystar","November 10, 1995","Unreleased","Unreleased",""
"Makikou: Mystery Adventure","Success","Success","May 24, 2001","Unreleased","Unreleased",""
"Manic Game Girl","Joycast Entertainment","Joycast Entertainment","This game was released exclusively in South Korea (2002)","","",""
"Marble Master•SwingPAL","Software 2000","Conspiracy Entertainment","Unreleased","2002","July 10, 2002",""
"Marby Baby Story","Ponos","Ponos","February 18, 1999","Unreleased","Unreleased",""
"Maria: Kimitachi ga Umareta Wake","Break","Axela","December 11, 1997","Unreleased","Unreleased",""
"Maria 2: Jutai Kokuchi no Nazo","Break","Axela","August 5, 1999","Unreleased","Unreleased",""
"Marie no Atelier: Salburg no Renkinjutsushi","Gust","Gust","May 23, 1997","Unreleased","Unreleased",""
"Marie no Atelier Plus - Salburg no Renkinjutsushi","Gust","Gust","June 4, 1998","Unreleased","Unreleased",""
"Mario Mushano no Chou-Shogi-Juku","King Records","King Records","October 23, 1997","Unreleased","Unreleased",""
"Marionette Company","Micro Cabin","Micro Cabin","May 20, 1999","Unreleased","Unreleased",""
"Marionette Company 2 Chu!","Micro Cabin","Micro Cabin","May 18, 2000","Unreleased","Unreleased",""
"Marl Jong!!","Nippon Ichi Software","Nippon Ichi Software","April 24, 2003","Unreleased","Unreleased",""
"Mars Moose Cosmic Quest 1: City Sights","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Mars Moose Cosmic Quest 2: Fairy Tale Island","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Mars Moose Cosmic Quest 3: Race Through France","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Mars Moose Stay & Play 1: In the Clubhouse","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Mars Moose Stay & Play 2: In Mars' Bedroom","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Mars Moose Stay & Play 3: In Lonnie's Classroom","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Mars Moose Walkabout 1: The Natural History Museum","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Mars Moose Walkabout 2: The Shakespeare Festival","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Mars Moose Walkabout 3: World Sports Day","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Martial Beat","Konami","Konami","February 7, 2002","Unreleased","Unreleased",""
"Martial Beat 2","Konami","Konami","September 12, 2002","Unreleased","Unreleased",""
"Martian Gothic: Unification","Coyote Developments","Take-Two Interactive","Unreleased","October 5, 2001","November 2, 2001",""
"Marvel Super Heroes","Capcom","Capcom","September 25, 1997","December 1997","September 25, 1997",""
"Marvel Super Heroes vs. Street Fighter","Capcom","Virgin InteractivePAL, CapcomJP,NA","February 25, 1999","May 1999","February 25, 1999",""
"Marvel vs. Capcom: Clash of Super Heroes","Capcom","Virgin InteractivePAL, CapcomJP,NA","November 11, 1999","January 30, 2000","January 31, 2000",""
"Mary-Kate and Ashley: Crush Course","n-Space","Acclaim","Unreleased","Unreleased","October 31, 2001",""
"Mary-Kate and Ashley: Magical Mystery Mall","n-Space","Acclaim","Unreleased","2000","October 15, 2000",""
"Mary-Kate and Ashley: Winner's Circle","Tantalus Software","Acclaim","Unreleased","May 25, 2001","March 1, 2001",""
"Mary King's Riding Star","Midas","Midas","Unreleased","December 10, 1999","Unreleased",""
"Mass Destruction","NMS Software","ASC GamesNA, BMG InteractivePAL","Unreleased","November 1997","September 30, 1997",""
"Master of Monsters: Disciples of Gaia","SystemSoft","ASCII Entertainment","Unreleased","Unreleased","October 13, 1998",""
"The Master's Fighter","Shinemasa Play","Shinemasa Play","November 20, 1997","Unreleased","Unreleased",""
"Masters: Shin Harukanaru Augusta","T&E Soft","Soft Bank","July 12, 1996","Unreleased","Unreleased",""
"Masumon Kids: The Another World of The Master of Monsters","SystemSoft","Toshiba EMI","June 25, 1998","Unreleased","Unreleased",""
"The Match Golf","Marble","Zoom-X","January 22, 1998","Unreleased","Unreleased",""
"Math Gallery Collection 1","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Math Gallery Collection 2","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Math on the Move!: Addition/Subtraction Advanced","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Math on the Move!: Addition/Subtraction Intermediate","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Math on the Move!: Multiplication/Division Advanced","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Math on the Move!: Multiplication/Division Intermediate","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Mat Hoffman's Pro BMX","Runecraft","Activision","September 5, 2002","May 25, 2001","May 16, 2001",""
"Matsukata Hiroki no World Fishing","TOSE","Bullet Proof Software","January 19, 1996","Unreleased","Unreleased",""
"Matsumoto Reiji 999: Story of Galaxy Express 999","Polygon Magic","Banpresto","June 28, 2001","Unreleased","Unreleased",""
"Max Surfing 2nd","KSS","KSS","September 21, 2000","Unreleased","Unreleased",""
"Maximum Force","Tantalus Interactive","Midway","Unreleased","Unreleased","September 30, 1997",""
"MaxRacer","PD","PD","April 18, 1997","Unreleased","Unreleased",""
"Mawatte Mucho!","Tohoku Shinsha","Tohoku Shinsha","June 25, 1998","Unreleased","Unreleased",""
"Maze Heroes: Meikyuu Densetsu","Media Entertainment","Media Entertainment","November 28, 2002","Unreleased","Unreleased",""
"MDK","Neversoft","Playmates Interactive Entertainment","August 5, 1999","November 1997","November 10, 1997",""
"MechWarrior 2","Quantum Factory","Activision","Unreleased","April 11, 1997","March 28, 1997",""
"Medal of Honor","DreamWorks Interactive","Electronic Arts","Unreleased","1999","October 31, 1999",""
"Medal of Honor: Underground","DreamWorks Interactive","Electronic Arts","Unreleased","December 1, 2000","October 27, 2000",""
"Medarot R","Natsume Co., Ltd.","Imagineer","November 25, 1999","Unreleased","Unreleased",""
"MediEvil","Sony Computer Entertainment","Sony Computer Entertainment","June 17, 1999","October 1, 1998","October 21, 1998",""
"MediEvil 2","Sony Computer Entertainment","Sony Computer Entertainment","Unreleased","April 19, 2000","May 15, 2000",""
"Mega Man 8•Rockman 8JP","Capcom","Capcom","December 17, 1996","February 27, 1997","February 28, 1997",""
"Mega Man: Battle & Chase","Capcom","Capcom","March 20, 1997","November 30, 1998","Unreleased",""
"Mega Man Legends•Rockman DASHJP","Capcom","Capcom","December 18, 1997","December 4, 1998","July 14, 1998",""
"Mega Man Legends 2•Rockman DASH 2JP","Capcom","Capcom","April 20, 2000","August 3, 2001","April 26, 2000",""
"Mega Man X3","Capcom","CapcomVirgin Interactive","April 26, 1996","March 1997","Unreleased",""
"Mega Man X4•Rockman X4JP","Capcom","CapcomVirgin Interactive","August 1, 1997","October 13, 1997","July 15, 1997",""
"Mega Man X5•Rockman X5JP","Capcom","Capcom","November 30, 2000","August 3, 2001","February 3, 2001",""
"Mega Man X6•Rockman X6JP","Capcom","Capcom","November 29, 2001","February 8, 2002","December 7, 2001",""
"Megatudo 2096","General Support","Banpresto","October 18, 1996","Unreleased","Unreleased",""
"Meguri Aishite","Sony Music Entertainment Japan","Sony Music Entertainment Japan","February 25, 1999","Unreleased","Unreleased",""
"Meitantei Conan","Jorudan","Bandai","November 19, 1998","Unreleased","Unreleased",""
"Meitantei Conan: 3-Jin no Meitantei","KID","Bandai","August 10, 2000","Unreleased","Unreleased",""
"Meitantei Conan: The Board Game","","Bandai","August 29, 2002","Unreleased","Unreleased",""
"Meitantei Conan: Saikou no Aibou","KID","Bandai","April 25, 2002","Unreleased","Unreleased",""
"Meitantei Conan: Trick Trick Vol. 1","Kamui","Bandai","April 17, 2003","Unreleased","Unreleased",""
"Melty Lancer: Ginga Shoujo Keisatsu 2086","Tenky","Imagineer","March 22, 1996","Unreleased","Unreleased",""
"Melty Lancer: Re-inforce","Tenky","Imagineer","December 4, 1997","Unreleased","Unreleased",""
"Melty Lancer: The 3rd Planet","Tenky","Konami","June 17, 1999","Unreleased","Unreleased",""
"Memorial * Series: Sunsoft Vol. 1: Ikki / Super Arabian","SunSoft","SunSoft","November 4, 2001","Unreleased","Unreleased",""
"Memorial * Series: Sunsoft Vol. 2: Route-16 Turbo / Atlantis no Nazo","SunSoft","SunSoft","December 6, 2001","Unreleased","Unreleased",""
"Memorial * Series: Sunsoft Vol. 3: Madoola no Tsubasa / Toukaidou Gojuusan Tsugi","SunSoft","SunSoft","December 27, 2001","Unreleased","Unreleased",""
"Memorial * Series: Sunsoft Vol. 4: Chou Wakusei Senki Metafight / Ripple Island","SunSoft","SunSoft","February 14, 2002","Unreleased","Unreleased",""
"Memorial * Series: Sunsoft Vol. 5: Raf World / Hebereke","SunSoft","SunSoft","March 28, 2002","Unreleased","Unreleased",""
"Memorial * Series: Sunsoft Vol. 6: Battle Formula / Gimmick!","SunSoft","SunSoft","November 21, 2002","Unreleased","Unreleased",""
"Memories Off","Kid","Kid","September 30, 1999","Unreleased","Unreleased",""
"Memories Off 2nd","Kid","Kid","September 27, 2001","Unreleased","Unreleased",""
"Men in Black: The Game","Gigawatt Studios","Gremlin Interactive","Unreleased","April 4, 1998","Unreleased",""
"Men in Black: The Series – Crashdown","Runecraft","Infogrames","Unreleased","November 2, 2001","November 1, 2001",""
"Menkyo o Torou","Twilight Express","Twilight Express","May 25, 2000","Unreleased","Unreleased",""
"Meremanoid","Xing Entertainment","Xing Entertainment","August 5, 1999","Unreleased","Unreleased",""
"Mermaid no Kisetsu","Game Village","NetVillage","December 13, 2001","Unreleased","Unreleased",""
"Mermaid no Kisetsu: Curtain Call","Game Village","NetVillage","August 1, 2002","Unreleased","Unreleased",""
"Merriment Carrying Caravan","Tenky","Imagineer","August 6, 1998","Unreleased","Unreleased",""
"Meru Purana","Gust","Gust","June 21, 1996","Unreleased","Unreleased",""
"Meta-Ph-List: Gamma X 2097","ADM","ADM","January 31, 1997","Unreleased","Unreleased",""
"Metal Angel 3","Victor Interactive Software","Victor Interactive Software","June 13, 1997","Unreleased","Unreleased",""
"Metal Gear Solid","Konami","Konami","September 3, 1998","February 22, 1999","October 21, 1998",""
"Metal Gear Solid: Integral","Konami","Konami","June 24, 1999","Unreleased","Unreleased",""
"Metal Gear Solid: VR Missions, Metal Gear Solid: Special MissionsPAL","Konami","Konami","Unreleased","1999","October 12, 1999",""
"Metal Jacket","Team Tornado","Pony Canyon","September 22, 1995","Unreleased","Unreleased",""
"Metal Slug","Nazca Corporation","SNK","August 7, 1997","Unreleased","Unreleased",""
"Metal Slug X","ProSoft","SCEIAU, SNKJP, AgetecNA, Virgin InteractivePAL","January 25, 2001","2000AU August 1, 2003","April 14, 2001",""
"Metamoru Panic: Doki Doki Youma Busters!!","Fill-In Cafe","Family Soft","December 22, 1995","Unreleased","Unreleased",""
"Mezase! Airline Pilot","Twilight Express","Twilight Express","August 5, 1999","Unreleased","Unreleased",""
"Mezase! Meimon Yakyubu","Dazz","Dazz","March 18, 1999","Unreleased","Unreleased",""
"Mezase! Senkyuu Ou","Seibu Kaihatsu","Seibu Kaihatsu","April 19, 1996","Unreleased","Unreleased",""
"Michael Owen's WLS 99","Silicon Dreams Studio","Eidos","Unreleased","1998","Unreleased",""
"Michael Schumacher Racing World Kart 2002","Radon Labs","JoWooD Productions","Unreleased","September 18, 2002","Unreleased",""
"Michelin Rally Masters: Race of Champions","Digital Illusions","Infogrames","Unreleased","2000","October 15, 2000",""
"Michinoku Hitou Koimonogatari Kai","Fog","Fog","December 22, 1999","Unreleased","Unreleased",""
"Mickey's Wild Adventure","Traveller's Tales","Sony Imagesoft","Unreleased","March 1996","Unreleased",""
"Mickey to Nakamatachi - Kazuasobi IroIro","Atlus","Atlus","November 15, 2001","Unreleased","Unreleased",""
"Micro Machines V3","Codemasters","Midway","January 1, 1998","March 1997","December 15, 1997",""
"Midnight Run: Road Fighter 2","Konami Computer Games Aoyama","Konami","November 27, 1997","January 1998","Unreleased",""
"Midori no Makibao: Kuroi Inazuma Shiroi Kiseki","Axela","Axela","March 19, 1998","Unreleased","Unreleased",""
"Mighty Hits","Altron","Altron","December 27, 1996","Unreleased","Unreleased",""
"Mighty Hits SpecialPAL, Mighty Hits Special (Pop Collection 1280 Vol. 4)JP","Altron","Altron","July 15, 1999","1999","Unreleased",""
"Mikagura Shōjo Tanteidan","Human Entertainment","Human Entertainment","September 17, 1998","Unreleased","Unreleased",""
"Mike Tyson Boxing•Prince Naseem BoxingPAL","Codemasters","Codemasters","Unreleased","November 3, 2000","October 31, 2000",""
"Milky Season","KID","KID","February 28, 2002","Unreleased","Unreleased",""
"Mille Miglia","Kung Fu Games","SCi","Unreleased","October 13, 2000","Unreleased",""
"Million Classic","Cepia","Bandai","March 18, 1999","Unreleased","Unreleased",""
"Minakata Hakudou Toujou","Thinking Rabbit","Atlus","August 7, 1997","Unreleased","Unreleased",""
"MiniMoni: Dice de Pyon!","Konami","Konami","March 20, 2002","Unreleased","Unreleased",""
"MiniMoni ni Naru no da Pyon!","","Bandai","September 26, 2002","Unreleased","Unreleased",""
"MiniMoni: Shaka tto Tambourine! Dapyon!","Sega","Sega","September 19, 2002","Unreleased","Unreleased",""
"MiniMoni: Step Up Pyon Pyon Pyon","Konami","Konami","December 12, 2002","Unreleased","Unreleased",""
"Minna Atsumare! Igo Kyoushitsu","SilverStar","I.Magic","December 11, 2003","Unreleased","Unreleased",""
"Minna no Igo","Sunsoft","SunSoft","October 25, 2001","Unreleased","Unreleased",""
"Minna no Kanji Kyoushitsu: Chousen!! Kanji Kentei•Kanji Quiz: Kanji Kentei ni ChallengeJP","Dyna Corporation","Dyna Corporation","April 26, 2001","Unreleased","Unreleased",""
"Minna no Mahjong","Success","Success","May 31, 2001","Unreleased","Unreleased",""
"Minna no Othello","Success","Success","February 28, 2002","Unreleased","Unreleased",""
"Minna no Shiiku Kyoushitsu: Kuwagata-hen","Dyna Corporation","Dyna Corporation","September 6, 2001","Unreleased","Unreleased",""
"Minna no Shogi: Chuukyuuhen","Success","Success","March 7, 2002","Unreleased","Unreleased",""
"Minna no Shogi: Jokyuuhen","Success","Success","March 7, 2002","Unreleased","Unreleased",""
"Minna no Shogi: Shokyuuhen","Success","Success","March 7, 2002","Unreleased","Unreleased",""
"Minnya de Ghost Hunter","E3 Staff","E3 Staff","December 5, 2002","Unreleased","Unreleased",""
"Minton Keibu no Sousa File: Doukeshi Satsujin Jiken","Thinking Rabbit","Riverhillsoft","December 4, 1997","Unreleased","Unreleased",""
"Miracle Jim no Bassing Beat","E3 Staff","Hearty Robin","February 11, 1998","Unreleased","Unreleased",""
"Miracle Space Race","Miracle Designs","Mud Duck Productions","Unreleased","Unreleased","May 15, 2003",""
"Miracle World: Fushigi no Kuni no IQ Meiro","Wizard","Wizard","December 8, 1995","Unreleased","Unreleased",""
"Mirano no Arubaito Collection","West One","Victor Interactive Software","July 1, 1999","Unreleased","Unreleased",""
"Misa no Mahou Monogatari","Sammy Studios","Sammy Studios","February 26, 1998","Unreleased","Unreleased",""
"Misaki-Aggressive","Zero System","Shoeisha","July 23, 1998","Unreleased","Unreleased",""
"The Misadventures of Tron Bonne","Capcom","Capcom","July 22, 1999","June 16, 2000","April 30, 2000",""
"Miss Spider's Tea Party","Hypnotix","Simon & Schuster Interactive","Unreleased","Unreleased","November 1, 2000",""
"Missile Command","Meyer/Glass Interactive","Hasbro Interactive (Under the Atari Interactive Label)","Unreleased","Unreleased","November 16, 1999",""
"The Mission","Microids","Microids","Unreleased","December 22, 2000","Unreleased",""
"Mission: Impossible","X-Ample Architectures","Infogrames","Unreleased","Unreleased","November 13, 1999",""
"Missland","Altron","Altron","April 28, 1995","Unreleased","Unreleased",""
"Missland 2","Altron","Altron","November 26, 1998","Unreleased","Unreleased",""
"Mitouhou e no Chousen: Alps-Hen","We Net","We Net","July 24, 1997","Unreleased","Unreleased",""
"Mitsumete Knight","Konami, Red Company","Konami","March 19, 1998","Unreleased","Unreleased",""
"Mitsumete Knight R Daibouken hen","Konami","Konami","November 26, 1998","Unreleased","Unreleased",""
"Mizuki Shigeru no Yokai Butouden","KSS","KSS","April 25, 1997","Unreleased","Unreleased",""
"Mizzurna Falls","Human Entertainment","Human Entertainment","December 23, 1998","Unreleased","Unreleased",""
"MLB '98","Sony Computer Entertainment","Sony Computer Entertainment","Unreleased","Unreleased","July 10, 1997",""
"MLB '99","Sony Computer Entertainment","Sony Computer Entertainment","Unreleased","Unreleased","April 1, 1998",""
"MLB 2000","989 Sports","989 Sports","Unreleased","Unreleased","March 1, 1999",""
"MLB 2001","989 Sports","989 Sports","Unreleased","Unreleased","March 29, 2000",""
"MLB 2002","989 Sports","Sony Computer Entertainment","Unreleased","Unreleased","May 8, 2001",""
"MLB 2003","989 Sports","Sony Computer Entertainment","Unreleased","Unreleased","June 19, 2002",""
"MLB 2004","989 Sports","Sony Computer Entertainment","Unreleased","Unreleased","April 29, 2003",""
"MLB 2005","989 Sports","Sony Computer Entertainment","Unreleased","Unreleased","March 4, 2004",""
"MLB Pennant Race","Sony Interactive Studios America","SCEA","Unreleased","Unreleased","September 30, 1996",""
"Mobil 1: Rally Championship","Magnetic Fields, Creative Asylum Limited","Actualize, Ubisoft, Europress Software","Unreleased","2000","March 7, 2000",""
"Mobile Armor•Simple 1500 Series Vol. 90: The SenshaJP","Highwaystar","Agetec Inc.","March 28, 2002","Unreleased","October 24, 2002",""
"Mobile Light Force","Psikyo","XS Games","December 15, 1995","2002","April 10, 2003",""
"Mobile Suit Gundam","Sunrise","Bandai","June 23, 1995","Unreleased","Unreleased",""
"Mobile Suit Gundam: Char's Counterattack","","Bandai","December 17, 1998","Unreleased","Unreleased",""
"Mobile Suit Gundam: Perfect One Year War","","Bandai","July 31, 1997","Unreleased","Unreleased",""
"Mobile Suit Z-Gundam","","Bandai","December 11, 1997","Unreleased","Unreleased",""
"Mobius Link 3D","I.Magic","Itochu","April 2, 1998","Unreleased","Unreleased",""
"Momotarou Densetsu","Make","Hudson","December 23, 1998","Unreleased","Unreleased",""
"Momotarou Dentetsu 7","Make","Hudson","December 23, 1997","Unreleased","Unreleased",""
"Momotarou Dentetsu V","Make","Hudson","December 16, 1999","Unreleased","Unreleased",""
"Momotarou Matsuri: Ishikawa Rokuemon no Maki","Make","Hudson","September 13, 2001","Unreleased","Unreleased",""
"Mona & Moki: Drive Me Wild","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Mona & Moki: Drive Me Wilder","Lightspan","Lightspan","Unreleased","Unreleased","1998",""
"Monaco Grand Prix Racing Simulation","Ubisoft Paris","Ubisoft","September 30, 1999","July 1999","July 15, 1999",""
"Money Idol Exchanger","Face","Affect","November 5, 1998","Unreleased","Unreleased",""
"Monkey Hero","Blam!","Take-Two Interactive","Unreleased","1999","February 28, 1999",""
"Monkey Magic","Mpen","Sunsoft","July 13, 2000","Unreleased","November 27, 1999",""
"Monopoly","Gremlin Interactive","Hasbro Interactive","January 8, 1998","1997","November 15, 1997","[3]"
"Monster * Race","Koei","Koei","December 17, 1998","Unreleased","Unreleased",""
"Monster Bass","Magical Company","XS Games","June 15, 2000","Unreleased","December 15, 2002","[4]"
"Monster Collection: Kamen no Madoushi","Kadokawa","ESP Software","October 28, 1999","Unreleased","Unreleased",""
"Monster Complete World","Idea Factory","Idea Factory","May 27, 1999","Unreleased","Unreleased",""
"Monster Punish","Siesta","Teichiku Records","December 16, 1999","Unreleased","Unreleased",""
"Monster Racer","Microids","Microids","Unreleased","2001","Unreleased",""
"Monster Rancher","Tecmo","Tecmo","July 24, 1997","Unreleased","November 30, 1997",""
"Monster Rancher 2","Tecmo","Tecmo","February 25, 1999","October 20, 2000","September 3, 1999",""
"Monster Rancher Battle Card: Episode II","Tecmo","Tecmo","March 23, 2000","Unreleased","August 2, 2000",""
"Monster Rancher Hop-A-Bout","Tecmo","Tecmo","March 22, 2001","Unreleased","December 10, 2000",""
"Monster Seed","NK System","Sunsoft","November 5, 1998","1999","April 5, 1999",""
"Monsters, Inc. Scream Team•Monsters, Inc. Scare IslandPAL•Monsters, Inc. Monster AcademyJP","Artificial Mind and Movement","Sony Computer Entertainment","March 14, 2002","February 1, 2002","October 30, 2001",""
"Monte Carlo Games Compendium","Mere Mortals","Midas Interactive","Unreleased","March 28, 2002","Unreleased",""
"Moon: Remix RPG Adventure","Love-de-Lic","ASCII Entertainment","October 16, 1997","Unreleased","Unreleased","[5]"
"Moonlight Syndrome","Human Entertainment","Human Entertainment","October 9, 1997","Unreleased","Unreleased",""
"Moorhen 3: Chicken Chase","Similis","Ubisoft","Unreleased","September 20, 2002","Unreleased",""
"Moorhuhn 2","Similis","Phenomedia","Unreleased","December 15, 2000","Unreleased",""
"Moorhuhn Kart","Sproing Interactive Media","Phenomedia","Unreleased","November 17, 2003","Unreleased",""
"Moorhuhn X","Sproing Interactive Media","Phenomedia","Unreleased","July 20, 2005DE","Unreleased",""
"Mori no Oukoku","Asmik Ace Entertainment, Inc","Asmik Ace Entertainment, Inc","October 12, 1999","Unreleased","Unreleased",""
"Morita Kazurou no Chess","Yuki","Yuki","December 16, 1999","Unreleased","Unreleased",""
"Morita Kazurou no Gomokunarabe to Renju","Yuki","Yuki","December 16, 1999","Unreleased","Unreleased",""
"Morita Kazurou no Hanafuda","Yuki","Yuki","December 16, 1999","Unreleased","Unreleased",""
"Morita Kazurou no Mahjong","Yuki","Yuki","February 17, 2000","Unreleased","Unreleased",""
"Morita Kazurou no Reversi","Yuki","Yuki","September 22, 1999","Unreleased","Unreleased",""
"Morita Kazurou no Shogi Dojo","Yuki","Yuki","September 22, 1999","Unreleased","Unreleased",""
"Morita Shogi","Random House","Seta Corporation","December 4, 1997","Unreleased","Unreleased",""
