"Title","Developer","Publisher","First released","JP","EU / PAL","NA"
"Legend of the Dragon","Neko Entertainment","The Game Factory","2007-05-01NA","","✔","✔"
"Legend of Herkules","Phoenix Games","Phoenix Games","2007EU","","✔",""
"Legend of Kay","Neon Studios","JoWooD ProductionsEU, CapcomNA","2005-03-04EU","","✔","✔"
"The Legend of Spyro: A New Beginning","Krome Studios","Sierra Entertainment","2006-10-10NA","","✔","✔"
"The Legend of Spyro: Dawn of the Dragon","Etranges Libellules","ActivisionNA, Sierra EntertainmentPAL","2008-10-21NA","","✔","✔"
"The Legend of Spyro: The Eternal Night","Krome Studios","Sierra Entertainment","2007-10-02NA","","✔","✔"
"Legends of Wrestling","Acclaim Studios Salt Lake City","Acclaim Entertainment","2001-12-03NA","","✔","✔"
"Legends of Wrestling II","Acclaim Studios Salt Lake City","Acclaim Entertainment","2002-11-26NA","","✔","✔"
"Legendz Gekitou! Saga Battle","Bandai","Bandai","2004-12-16JP","✔","",""
"Legion: Legend of Excalibur","7 Studios","Midway Games","2002-06-18NA","","✔","✔"
"Lego Batman: The Videogame","Traveller's Tales","Warner Bros. Interactive EntertainmentNA, PAL, ActivisionJP","2008-09-23NA","✔","✔","✔"
"Lego Indiana Jones: The Original Adventures","Traveller's Tales","LucasArts","2008-06-03NA","","✔","✔"
"Lego Racers 2","Attention to Detail","Lego SoftwareEU, NA, TaitoJP","2001-09-27NA","✔","✔","✔"
"Lego Star Wars: The Video Game","Traveller's Tales","Eidos Interactive","2005-04-02NA","✔","✔","✔"
"Lego Star Wars II: The Original Trilogy","Traveller's Tales","LucasArtsNA, PAL, Electronic ArtsJP","2006-09-12NA","✔","✔","✔"
"Leisure Suit Larry: Magna Cum Laude","High Voltage Software","Vivendi Universal Games","2004-10-05NA","","✔","✔"
"Lemmings","Team17","Sony Computer Entertainment","2006-10-13PAL","","✔",""
"Lemony Snicket's A Series of Unfortunate Events","Adrenium Games","Activision","2004-11-10NA","","✔","✔"
"Let's Bravo Music","Desert Productions","Sony Computer Entertainment","2002-12-12JP","✔","",""
"Let's Make a Soccer Team!•Pro Soccer Club o Tsukurou! Europe ChampionshipJP","Snilebit","Sega","2006-03-29JP","✔","✔",""
"Let's Ride: Silver Buckle Stables","Coresoft","THQ","2006-03-14NA","","✔","✔"
"Lethal Skies Elite Pilot: Team SW•SideWinder FJP","Asmik Ace Entertainment","Asmik Ace Entertainment","2001-12-13JP","✔","✔","✔"
"Lethal Skies II•SideWinder VJP","Asmik Ace Entertainment","Asmik Ace EntertainmentJP, Sammy StudiosEU, NA","2003-08-21JP","","","✔"
"Lifeline•Operator's SideJP","Sony Computer Entertainment","Sony Computer EntertainmentJP, KonamiNA","2003-01-30JP","✔","","✔"
"Like Life An Hour","Regista","GN Software","2005-04-28JP","✔","",""
"Lilie no Atelier Plus: Salberg no Renkinjutsushi 3","Gust","Gust","2002-04-04JP","✔","",""
"Lilie no Atelier: Salberg no Renkinjutsushi 3","Gust","Gust","2002-04-04JP","✔","",""
"Little Aid","Takuyo","Takuyo","2005-11-23JP","✔","",""
"Little Anchor","Vridge","D3 Publisher","2009-04-23JP","✔","",""
"Little Britain: The Video Game","Gamerholix, Gamesauce","MastertronicAU, Blast! Entertainment LtdEU","2007-02-01AU","","✔",""
"Little Busters! Converted Edition","Key","Prototype","2009-12-24JP","✔","",""
"Living World Racing","Data Design Interactive","Metro3D","2006-02-28EU","","✔",""
"LMA Manager 2002•BDFL Manager 2002DE•Roger Lemerre: La Selection des Champions 2002FR","Codemasters","Codemasters","2002-04-19EU","","✔",""
"LMA Manager 2003•BDFL Manager 2003DE•Roger Lemerre: La Selection des Champions 2003FR","Codemasters","Codemasters","2002-11-15EU","","✔",""
"LMA Manager 2004•BDFL Manager 2004DE","Codemasters","Codemasters","2004-03-12EU","","✔",""
"LMA Manager 2005•BDFL Manager 2005DE•Manchester United Manager 2005UK•Roger Lemerre: La Selection des Champions 2005FR","Codemasters","Codemasters","2004-10-22EU","","✔",""
"LMA Manager 2006•BDFL Manager 2006DE","Codemasters","Codemasters","2005-11-18EU","","✔",""
"LMA Manager 2007•BDFL Manager 2007DE","Codemasters","Codemasters","2006-09-22EU","","✔",""
"London Cab Challenge","Phoenix Games","Phoenix Games","2006-07-28EU","","✔",""
"London Racer II•Paris-Marseille Racing IIFR","Davilex Games","Davilex Games","2002-06-14EU","","✔",""
"London Racer: Destruction Madness•Paris-Marseille Racing: Destruction MadnessFR•Autobahn Raser: Destruction MadnessDE","Davilex Games","Davilex Games","2005-10-14EU","","✔",""
"London Racer: Police Madness•Paris-Marseille Racing: Police MadnessFR•Autobahn Raser: Police MadnessDE","Davilex Games","Davilex Games","2005-10-28EU","","✔",""
"London Racer: World Challenge•Paris-Marseille Racing: World ChallengeFR•Autobahn Raser: World ChallengeDE","Davilex Games","Davilex Games","2003-09-19EU","","✔",""
"London Taxi: Rush Hour","Data Design Interactive","Metro3D","2006-01-07EU","","✔",""
"Looney Tunes: Acme Arsenal","Redtribe","Warner Bros. Interactive Entertainment","2007-10-09NA","","✔","✔"
"Looney Tunes: Back in Action","Warthog Games","Electronic Arts","2003-11-19NA","","✔","✔"
"The Lord of the Rings: Aragorn's Quest","TT Fusion","Warner Bros. Interactive Entertainment","2010-09-14NA","","✔","✔"
"The Lord of the Rings: The Fellowship of the Ring","Surreal Software","Black Label Games","2002-10-15NA","","✔","✔"
"The Lord of the Rings: The Return of the King","EA Redwood Shores","Electronic Arts","2003-11-05NA","✔","✔","✔"
"The Lord of the Rings: The Third Age","EA Redwood Shores","Electronic Arts","2004-11-02NA","✔","✔","✔"
"The Lord of the Rings: The Two Towers","Stormfront Studios","Electronic Arts","2002-10-21NA","✔","✔","✔"
"Lost Aya Sophia","Idea Factory","Idea Factory","2004-05-27JP","✔","",""
"Lost Passage: Ushinawareta Hitofushi","PrincessSoft","PrincessSoft","2003-10-23JP","✔","",""
"Lotus Challenge","Kuju Entertainment","Virgin InteractiveEU, MTOJP","2001-11-02EU","✔","✔",""
"Love*Com: Punch de Court","AQ Interactive","AQ Interactive","2006-07-13JP","✔","",""
"Love*Mahjong•Simple 2000 Ultimate Series Vol. 5: Love * MahjongJP","HuneX","D3 Publisher","2002-11-14JP","✔","",""
"Love*Mahjong 2•Simple 2000 Ultimate Series Vol. 20: Love * Mahjong! 2JP","HuneX","D3 Publisher","2004-10-14JP","✔","",""
"Love*Smash! 5","HuneX","D3 Publisher","2003-11-13JP","✔","",""
"Love*Smash! 5.1 ~Tennis Robo no Hanran~•Simple 2000 Ultimate Series Vol. 26: Love * Smash! 5.1: Tennis Robo no HanranJP","HuneX","D3 Publisher","2005-06-23JP","✔","",""
"Love*Smash! Super Tennis Players•Simple 2000 Ultimate Series Vol. 1: Love * Smash!JP","HuneX","D3 Publisher","2002-01-17JP","✔","",""
"Love*Songs•Simple 2000 Ultimate Series Vol. 10: Love*SongsJP","HuneX","D3 Publisher","2003-08-14JP","✔","",""
"Love Doll: Lovely Idol","PrincessSoft","PrincessSoft","2005-04-28JP","✔","",""
"Love Drops","PrincessSoft","PrincessSoft","2007-05-31JP","✔","",""
"Love Hina Gorgeous: Chiratto Happening!!","Konami","Konami","2003-05-22JP","✔","",""
"Love Songs: ADV Futaba Riho 14-sai Natsu","HuneX","D3 Publisher","2004-09-30JP","✔","",""
"Love Songs: ADV Futaba Riho 19-sai Fuyu","HuneX","D3 Publisher","2004-11-03JP","✔","",""
"Love Songs: Idol ga Classmate","HuneX","D3 Publisher","2001-04-26JP","✔","",""
"Love Story•Ø StoryJP","General Entertainment","Enix","2000-04-27JP","✔","",""
"Loveroot Zero: Kiss Kiss * Labyrinth","Dimple Entertainment","Dimple Entertainment","2010-04-28JP","✔","",""
"Lowrider•LowRider: Round the WorldJP","Pacific Century Cyber Works","Pacific Century Cyber WorksJP, JalecoNA","2002-12-19JP","✔","","✔"
"Lucian Bee's: Evil Violet","HuneX","5pb","2010-05-20JP","✔","",""
"Lucian Bee's: Justice Yellow","HuneX","5pb","2010-05-20JP","✔","",""
"Lucian Bee's: Resurrection Supernova","HuneX","5pb","2009-07-30JP","✔","",""
"Lucinda Green's Equestrian Challenge","2Wg","Red Mile EntertainmentNA, CodemastersEU","2006-11-15NA","","✔","✔"
"Lucky*Star: Ryouou Gakuen Outousai","Vridge","Kadokawa Games","2008-01-24JP","✔","",""
"LuluRara vol.1","Studio9","Sony Computer Entertainment","2005-12-08KO","✔KO","",""
"LuluRara vol.2","Studio9","Sony Computer Entertainment","2006-05-11KO","✔KO","",""
"Lumines Plus","Q Entertainment","Buena Vista Games","2007-02-16EU","","✔","✔"
"Lunatic Dawn Tempest","Artdink","Artdink","2001-02-08JP","✔","",""
"Lupin the 3rd: Treasure of the Sorcerer King","Banpresto","BanprestoJP, BandaiNA, 505 Game StreetEU","2002-11-28JP","✔","✔","✔"
"Lupin Sansei: Columbus no Isan wa Akenisomaru","Nex Entertainment","Banpresto","2004-11-25JP","✔","",""
"Lupin Sansei: Lupin ni wa Shi o, Zenigata ni wa Koi o•Le avventure di ""Lupin III"": Lupin la morte, Zenigata l'amoreFR","Nex Entertainment","BanprestoJP, 505 Game StreetFR","2007-02-22JP","✔","✔FR",""
"Luxor: Pharaoh's Challenge","MumboJumbo","MumboJumbo","2007-11-20NA","","✔","✔"
"Ma-Gi: Marginal","PrincessSoft","PrincessSoft","2003-07-17JP","✔","",""
"Mabino Style","KID","KID","2005-04-28JP","✔","",""
"Mace Griffin: Bounty Hunter","Warthog Games","Black Label Games","2003-06-17NA","","✔","✔"
"Mad Maestro!•Bravo MusicJP","Desert Productions","Sony Computer EntertainmentJP, Eidos InteractiveEU, NA","2001-10-11JP","✔","✔","✔"
"Madagascar: Escape 2 Africa","Idol Minds","Activision","2008-11-04NA","","✔","✔"
"Madden NFL 2001•Madden NFL Super Bowel 2001JP","EA Tiburon","EA Sports","2000-10-23NA","✔","✔","✔"
"Madden NFL 2002•Madden NFL Super Bowel 2002JP","EA Tiburon","EA Sports","2001-08-19NA","✔","✔","✔"
"Madden NFL 2003•Madden NFL Super Bowel 2003JP","EA Tiburon","EA Sports","2002-08-12NA","✔","✔","✔"
"Madden NFL 2004","EA Tiburon","EA Sports","2003-08-12NA","","✔","✔"
"Madden NFL 2005•Madden NFL 2005 Collector's EditionNA•Madden NFL Super Bowel 2005JP","EA Tiburon","EA Sports","2004-08-09NA","✔","✔","✔"
"Madden NFL 06","EA Tiburon","EA Sports","2005-08-08NA","✔","✔","✔"
"Madden NFL 07•Madden NFL 07 (Hall of Fame Edition)NA","EA Tiburon","EA Sports","2006-08-22NA","✔","✔","✔"
"Madden NFL 08•Madden NFL 08 en EspañolNA","EA Tiburon","EA Sports","2007-08-14NA","✔","✔","✔"
"Madden NFL 09","EA Tiburon","EA Sports","2008-08-12NA","","✔","✔"
"Madden NFL 10","EA Tiburon","EA Sports","2009-08-14NA","","✔","✔"
"Madden NFL 11","EA Tiburon","EA Sports","2010-08-10NA","","","✔"
"Madden NFL 12","EA Tiburon","EA Sports","2011-08-30NA","","","✔"
"Made Man: Confessions of the Family Blood•Made ManEU","SilverBack Studios","Mastertronic Group Ltd.EU, Aspyr Media, Inc.NA","2006-11-30EU","","✔","✔"
"The Maestromusic II","Global A","Global A","2001-08-02JP","✔","",""
"Mafia","Illusion Softworks","Gathering of DevelopersNA, Illusion SoftworksEU","2004-01-27NA","","✔","✔"
"Mageru Tsukeru Hahiiru: Ore * Dead Heat","Success","Success","2002-08-01JP","✔","",""
"Magic Pengel: The Quest for Color","Taito","TaitoJP, AgetecNA","2002-03-20JP","✔","","✔"
"Magical Pachinko Cotton: Pachinko Jūki Simulation","Success","Success","2003-05-01JP","✔","",""
"Magical Sports 2000 Koushien","Mahou","Mahou","2000-08-10JP","✔","",""
"Magical Tale: Chitchana Mahoutsukai","PrincessSoft","PrincessSoft","2005-05-12JP","✔","",""
"The Magician's Academy","Enterbrain","Enterbrain","2007-06-07JP","✔","",""
"Magna Carta: Tears of Blood•Magna Carta: Crimson StigmataJP•Magna CartaEU","Softmax","BanprestoJP, AtlusNA, 505 Game StreetEU","2004-11-11JP","✔","✔","✔"
"Mahjong","Success","Success","2003-07-31JP","✔","✔","✔"
"The Mahjong•Simple 2000 Honkaku Shikou Series Vol. 4: The MahjongJP","Warashi","D3 Publisher","2002-07-25JP","✔","",""
"Mahjong Gokū Taisei","Artdink","Artdink","2000-11-02JP","✔","",""
"Mahjong Haoh: Battle Royale","NCS","NCS","2005-07-14JP","✔","",""
"Mahjong Haoh: Dankyū Battle II","NCS","NCS","2006-04-13JP","✔","",""
"Mahjong Haoh: Jansou Battle","Mycom","Mycom","2001-12-27JP","✔","",""
"Mahjong Haoh: Kaikyū Battle","Mycom","Mycom","2002-10-10JP","✔","",""
"Mahjong Haoh: Shinken Battle","NCS","NCS","2004-05-27JP","✔","",""
"Mahjong Haoh: Taikai Battle","Mycom","Mycom","2003-09-25JP","✔","",""
"Mahjong Hiryu Densetsu: Tenpai","Nippon Telenet","Nippon Telenet","2003-08-28JP","✔","",""
"Mahjong Party: Idol to Mahjong Shoubu•Mahjong Party: Swimming Suit BeautyAS","Nippon Telenet","Nippon Telenet","2004-03-25JP","✔AS, JP","",""
"Mahjong San Goku Shi","Mycom","Mycom","2004-12-16JP","✔","",""
"Mahjong Sengen Kyoujin de Ron!","Taito","Taito","2000-12-14JP","✔","",""
"Mahjong Taikai III","Koei","Koei","2000-03-04JP","✔","",""
"Mahjong Yarouze! 2","Konami","Konami","2000-04-13JP","✔","",""
"Mahoroba Stories","Dimple Entertainment","Dimple Entertainment","2007-07-26JP","✔","",""
"Mahoromatic: Moetto - KiraKira Maid-San","Konami","Konami","2003-07-31JP","✔","",""
"Mahou Sensei Negima! 1-Jikanme ~Okochama Sensei wa Mahoutsukai!~","Konami","Konami","2005-01-20JP","✔","",""
"Mahou Sensei Negima! 2-Jikanme ~Tatakau Otometachi! Mahora Daiundokai SP~","Konami","Konami","2005-07-28JP","✔","",""
"Mahou Sensei Negima! Kagai Jugyou ~Otome no Dokidoki Beachside~","Konami","Konami","2006-03-23JP","✔","",""
"Mahou Tsukai Kurohime","Tomy","Tomy","2006-03-30JP","✔","",""
"Mai-HiME: Unmei no Keitouju","Marvelous Entertainment","Marvelous Entertainment","2005-06-30JP","✔","",""
"Mai-Otome Hime: Otome Butou Shi","Sunrise Interactive","Sunrise Interactive","2006-11-09JP","✔","",""
"The Maid Fuku to Kikanjū•Simple 2000 Series Vol. 105: The Maid Fuku to KikanjūJP","Rideon Japan Inc.","D3 Publisher","2006-08-10JP","✔","",""
"Majin Tantei Nougami Neuro: Battle da Yo!","Compile Heart","Compile Heart","2008-08-28JP","✔","",""
"Majokko A La Mode","F&C","Interchannel","2004-11-25JP","✔","",""
"Majokko A La Mode II","GN Software","GN Software","2007-06-28JP","✔","",""
"Major League Baseball 2K10","Visual Concepts","2K Sports","2010-03-02NA","","","✔"
"Major League Baseball 2K11","Visual Concepts","2K Sports","2011-03-08NA","","","✔"
"Major League Baseball 2K12","Visual Concepts","Take-Two Interactive","2012-03-06NA","","","✔"
"Major League Baseball 2K5","Kush Games","2K Sports","2005-02-28NA","","","✔"
"Major League Baseball 2K5: World Series Edition","Kush Games","2K Sports","2005-10-18NA","","","✔"
"Major League Baseball 2K6","Kush Games","2K SportsNA, SpikeJP","2006-04-03NA","✔","","✔"
"Major League Baseball 2K7","Kush Games","2K SportsNA, SpikeJP","2007-02-26NA","✔","","✔"
"Major League Baseball 2K8","Kush Games","2K SportsNA, CyberFrontJP","2008-03-03NA","✔","","✔"
"Major League Baseball 2K9","Visual Concepts","2K SportsNA, SpikeJP","2009-03-03NA","✔","","✔"
"Makai Kingdom: Chronicles Of The Sacred Tome•Phantom KingdomJP","Nippon Ichi Software","Nippon Ichi SoftwareJP, NA, KoeiEU","2005-03-17JP","✔","✔","✔"
"Makai Tenshou•Simple 2000 Ultimate Series Vol. 24: Makai TenshouJP","Tamsoft","D3 Publisher","2003-07-31JP","✔","",""
"Maken Shao: Demon Sword•Maken ShaoJP","Atlus","AtlusJP, Midas Interactive EntertainmentEU","2001-06-07JP","✔","✔",""
"Malice","Argonaut Games","Evolved GamesEU, Mud Duck ProductionsNA","2004-04-08EU","","✔","✔"
"Mambo","Phoenix Games","Phoenix Games","2007EU","","✔",""
"Mamimune * Mogacho no Print Hour","Idea Factory","Idea Factory","2000-12-21JP","✔","",""
"Mana Khemia: Alchemists of Al-Revis•Mana-Khemia: Gakuen no Renkinjutsushi-tachiJP","Gust","GustJP, NIS AmericaNA, NIS EuropeEU","2007-06-21JP","✔","✔","✔"
"Mana Khemia 2: Fall of Alchemy•Mana Khemia 2: Ochita Gakuen to Renkinjutsushi TachiJP","Gust","GustJP, NIS AmericaNA","2008-05-29JP","✔","","✔"
"Manea Sugoroku: Kabukuro","Ertain","Ertain","2007-11-15JP","✔","",""
"Manhunt","Rockstar North","Rockstar Games","2003-11-18NA","","✔","✔"
"Manhunt 2","Rockstar London","Rockstar Games","2007-10-29NA","","✔","✔"
"Maniac Mole","Phoenix Games","Phoenix Games","2006-07-28EU","","✔",""
"Maple Colors","HuneX","Kadokawa Games","2005-03-31JP","✔","",""
"Mar Heaven: Arm Fight Dream","Konami","Konami","2005-11-03JP","✔","",""
"Marble Chaos","Phoenix Games","Phoenix Games","2007-08-10EU","","✔",""
"Marc Ecko's Getting Up: Contents Under Pressure","The Collective","Atari","2006-02-14NA","","✔","✔"
"Margot's Word Brain","Slam Games","Zoo Digital Publishing","2008-07-18EU","","✔",""
"Mark Davis Pro Bass Challenge•SuperLite 2000: Big Bass: Bass Tsuri Kanzen KouryakuJP","SIMS","Natsume Inc.NA, SuccessJP","2003-08-27NA","✔","✔","✔"
"The Mark of Kri","Sony Computer Entertainment","Sony Computer EntertainmentEU, NA, CapcomJP","2002-07-29NA","✔","✔","✔"
"Marl de Jigsaw","Nippon Ichi Software","Nippon Ichi Software","2001-11-15JP","✔","",""
"Marvel Nemesis: Rise of the Imperfects","Nihilistic Software","Electronic Arts","2005-09-20NA","✔KO","✔","✔"
"Marvel Super Hero Squad","Blue Tongue Entertainment","THQ","2009-10-20NA","","✔","✔"
"Marvel vs. Capcom 2•Marvel vs. Capcom 2: New Age of HeroesJP, KO","Capcom","Capcom","2002-09-19JP","✔JP, KO","✔","✔"
"Marvel: Ultimate Alliance","Raven Software","Activision","2006-10-24NA","","✔","✔"
"Marvel: Ultimate Alliance 2","n-Space","Activision","2009-09-15NA","","✔","✔"
"Mary-Kate and Ashley: Sweet 16 – Licensed to Drive","n-Space","Acclaim Entertainment","2002-11-20NA","","✔","✔"
"Mashed: Drive To Survive","SuperSonic Software","Empire Interactive","2004-06-18EU","","✔",""
"Master Chess•Simple 2000 Honkaku Shikou Series Vol. 3: The ChessJP","Yuki","D3 PublisherJP, 505 Game StreetEU","2002-07-25JP","✔","✔",""
"Master Rallye","Steel Monkeys","Microids","2002-11-15EU","","✔",""
"Masters of the Universe: He-Man: Defender of Grayskull","Savage Entertainment","Midas Interactive Entertainment","2005-02-25EU","","✔",""
"Mat Hoffman's Pro BMX 2•Mat Hoffman's Pro BMX 2003JP","Rainbow Studios","ActivisionEU, NA, CapcomJP","2002-08-12NA","✔","✔","✔"
"Matantei Loki Ragnarok Mayoukaku","Taito","Taito","2005-12-22JP","✔","",""
"The Matrix: Path of Neo","Shiny Entertainment","Atari","2005-11-07NA","✔","✔","✔"
"Mawaza","Media Vision","Sony Computer Entertainment","2005-10-06JP","✔","",""
"Max Payne","Remedy Entertainment","Rockstar Games","2001-12-06NA","✔","✔","✔"
"Max Payne 2: The Fall of Max Payne","Remedy Entertainment","Rockstar Games","2003-12-02NA","","✔","✔"
"Maximo: Ghosts to Glory•MaximoEU, JP, KO","Capcom","Capcom","2001-12-27JP","✔JP, KO","✔","✔"
"Maximo vs. Army of Zin•Makai Eiyūki Maximo: Machine Monster no YabouJP","Capcom","Capcom","2003-09-18JP","✔JP, KO","✔","✔"
"MaXXed Out Racing•Simple 2000 Ultimate Series Vol. 3: Saisoku! Zokusha KingJP","D3 Publisher","D3 PublisherJP, Midas Interactive EntertainmentEU","2002-09-26JP","✔","✔",""
"Maxxed Out Racing: Nitro•Simple 2000 Ultimate Series Vol. 30: Kourin! Zokusha GodJP","D3 Publisher","D3 PublisherJP, Essential GamesPAL","2006-02-02JP","✔","✔",""
"Maze Action•Simple 2000 Ultimate Series Vol. 8: Gekitou! Meiro KingJP","D3 Publisher","D3 PublisherJP, AgetecEU","2003-04-24JP","✔","✔",""
"McFarlane's Evil Prophecy","Konami","Konami","2004-06-15NA","","✔","✔"
"MDK2: Armageddon","BioWare","Interplay Entertainment","2001-03-26NA","","✔","✔"
"The Mechsmith: Run=Dim","Idea Factory","Idea Factory","2000-08-24JP","✔","",""
"Medal of Honor: European Assault","EA Los Angeles","Electronic Arts","2005-06-07NA","✔","✔","✔"
"Medal of Honor: Frontline","EA Los Angeles","Electronic Arts","2002-05-29NA","✔","✔","✔"
"Medal of Honor: Rising Sun","EA Los Angeles","Electronic Arts","2003-11-11NA","✔","✔","✔"
"Medal of Honor: Vanguard","EA Los Angeles","Electronic Arts","2007-03-26NA","✔","✔","✔"
"Medical 91","Takuyo","Takuyo","2005-07-21JP","✔","",""
"Medical and Engineering Joint Entrance Quiz","Candela Software","Sony Computer Entertainment","2009-06-03AS","✔AS","",""
"Mega Man Anniversary Collection","Atomic Planet Entertainment","Capcom","2004-06-22NA","","","✔"
"Mega Man X7•RockMan X7JP, KO","Capcom","Capcom","2003-07-17JP","✔JP, KO","✔","✔"
"Mega Man X8•RockMan X8JP, KO","Capcom","Capcom","2004-12-07JP","✔JP, KO","✔","✔"
"Mega Man X Collection","Capcom","Capcom","2006-01-10NA","","","✔"
"Mega Man X: Command Mission•RockMan X Command MissionJP","Capcom","Capcom","2004-07-29JP","✔","✔","✔"
"MegaRace 3: Nanotech Disaster","Cryo Interactive","Cryo Interactive","2002-03-29EU","","✔",""
"Meine Liebe: Yūbinaru Kioku","Konami","Konami","2004-09-22JP","✔","",""
"Meine Liebe II: Hokori to Seigi to Ai","Tenky","Konami","2006-02-09JP","✔","",""
"Meitantei Conan: Daiei Teikoku no Isan","Bandai","Bandai","2004-11-18JP","✔","",""
"Meitantei Evangelion","Headlock","Broccoli","2007-01-18JP","✔","",""
"Melty Blood: Act Cadenza","Ecole Software","Ecole Software","2006-08-10JP","✔","",""
"Melty Blood: Actress Again","Ecole Software","Ecole Software","2009-08-20JP","✔","",""
"Memorial Song","Datam Polystar","Datam Polystar","2002-08-22JP","✔","",""
"Memories Off 5: Encore","KID","KID","2007-07-12JP","✔","",""
"Memories Off 5: Togireta Film","KID","CyberFront","2005-10-27JP","✔","",""
"Memories Off 6: Next Relation","5pb","5pb","2009-08-27JP","✔","",""
"Memories Off 6: T-wave","5pb","CyberFront","2008-08-21JP","✔","",""
"Memories Off After Rain Vol. 1: Oridzuru","KID","KID","2005-01-27JP","✔","",""
"Memories Off After Rain Vol. 2: Souen","KID","KID","2005-02-24JP","✔","",""
"Memories Off After Rain Vol. 3: Sotsugyou","KID","KID","2005-03-31JP","✔","",""
"Memories Off Duet: 1st & 2nd Stories","KID","KID","2003-03-27JP","✔","",""
"Memories Off Mix","KID","KID","2003-09-25JP","✔","",""
"Memories Off: Sorekara","KID","KID","2004-06-24JP","✔","",""
"Memories Off: Sorekara Again","KID","KID","2006-03-23JP","✔","",""
"Men at Work! 3","KID","KID","2004-11-25JP","✔","",""
"Men in Black II: Alien Escape","Infogrames Melbourne House","Infogrames","2002-06-28NA","","✔","✔"
"The Menkyo Shutoku Simulation•Simple 2000 Series Vol. 25: The Menkyo Shutoku SimulationJP","Vingt-et-un Systems","D3 Publisher","2003-04-03JP","✔","",""
"The Menkou Shutoku Simulation ~Dourokoutsūhou Taiouban~•Simple 2000 Series Vol. 86: The Menkou Shutoku Simulation ~Dourokoutsūhou Taiouban~JP","Vingt-et-un Systems","D3 Publisher","2005-10-06JP","✔","",""
"Mercenaries: Playground of Destruction","Pandemic Studios","LucasArtsEU, NA, Electronic ArtsJP","2005-01-10NA","✔","✔","✔"
"Mercenaries 2: World in Flames","Artificial Mind and Movement","Electronic Arts","2008-08-31NA","✔","✔","✔"
"Mercury Meltdown Remix","Ignition Entertainment","Ignition Entertainment","2006-11-30EU","","✔","✔"
"Mermaid Prism•Simple 2000 Series Vol. 122: The Ningyo Hime Monogatari – Mermaid PrismJP","Vingt-et-un Systems","D3 Publisher","2006-10-26JP","✔","",""
"Meshimase Roman Sabou•Simple 2000 Series Vol. 98: The Roman SabouJP","Vingt-et-un Systems","D3 Publisher","2004-10-14JP","✔","",""
"Metal Arms: Glitch in the System","Mass Media Games","Vivendi Universal Games","2003-11-18NA","","✔","✔"
"Metal Gear Solid 2: Sons of Liberty","Konami","Konami","2001-11-12NA","✔JP, KO","✔","✔"
"Metal Gear Solid 2: Substance","Konami","Konami","2002-12-19JP","✔JP, KO","✔","✔"
"Metal Gear Solid 3: Snake Eater","Konami","Konami","2004-11-17NA","✔JP, KO","✔","✔"
"Metal Gear Solid 3: Subsistence","Konami","Konami","2005-12-22JP","✔JP, KO","✔","✔"
